comparison	tool	seconds
full_vs_full	dnadiff	9.304380856454372
full_vs_full	minco_best	0.0856088250875473
full_vs_full	minco_ctxmash	0.0838056430220604
full_vs_full	minco_naive	0.08332686871290207
full_vs_full	skani	0.058215171098709106
full_vs_full	mash_sketch_ref	0.18167613446712494
full_vs_full	mash_dist	0.17357221245765686
full_vs_full	fastANI	1.292604312300682
full_vs_half1	dnadiff	8.957415454089642
full_vs_half1	minco_best	0.07287371158599854
full_vs_half1	minco_ctxmash	0.07194431871175766
full_vs_half1	minco_naive	0.07413055747747421
full_vs_half1	skani	0.043323807418346405
full_vs_half1	mash_sketch_ref	0.18124518543481827
full_vs_half1	mash_dist	0.09647506475448608
full_vs_half1	fastANI	0.8036384582519531
full_vs_half2	dnadiff	9.215990409255028
full_vs_half2	minco_best	0.07152564823627472
full_vs_half2	minco_ctxmash	0.07277000695466995
full_vs_half2	minco_naive	0.07064536213874817
full_vs_half2	skani	0.042539484798908234
full_vs_half2	mash_sketch_ref	0.1810617372393608
full_vs_half2	mash_dist	0.0965551882982254
full_vs_half2	fastANI	0.7909184694290161
