profile	rank	gold_taxa	pred_taxa	tp	fp	fn	precision	recall	f1	pearson_common
current_default_posthoc	superkingdom	3	3	3	0	0	1.000000	1.000000	1.000000	0.999293
current_default_posthoc	phylum	17	19	14	5	3	0.736842	0.823529	0.777778	0.999468
current_default_posthoc	class	25	30	20	10	5	0.666667	0.800000	0.727273	0.999417
current_default_posthoc	order	67	51	47	4	20	0.921569	0.701493	0.796610	0.986808
current_default_posthoc	family	109	67	52	15	57	0.776119	0.477064	0.590909	0.990867
current_default_posthoc	genus	181	83	76	7	105	0.915663	0.419890	0.575758	0.995051
current_default_posthoc	species	259	99	85	14	174	0.858586	0.328185	0.474860	0.994639
optimized_f0.1_n0.94_t10	superkingdom	3	3	3	0	0	1.000000	1.000000	1.000000	0.999967
optimized_f0.1_n0.94_t10	phylum	17	22	16	6	1	0.727273	0.941176	0.820513	0.998952
optimized_f0.1_n0.94_t10	class	25	37	23	14	2	0.621622	0.920000	0.741935	0.997794
optimized_f0.1_n0.94_t10	order	67	74	64	10	3	0.864865	0.955224	0.907801	0.972961
optimized_f0.1_n0.94_t10	family	109	112	87	25	22	0.776786	0.798165	0.787330	0.831808
optimized_f0.1_n0.94_t10	genus	181	155	135	20	46	0.870968	0.745856	0.803571	0.803158
optimized_f0.1_n0.94_t10	species	259	231	167	64	92	0.722944	0.644788	0.681633	0.991915
