profile	rank	gold_taxa	pred_taxa	tp	fp	fn	precision	recall	f1	pearson_common
current_default_posthoc	superkingdom	3	2	2	0	1	1.000000	0.666667	0.800000	1.000000
current_default_posthoc	phylum	17	18	14	4	3	0.777778	0.823529	0.800000	0.999542
current_default_posthoc	class	25	29	20	9	5	0.689655	0.800000	0.740741	0.999456
current_default_posthoc	order	67	50	47	3	20	0.940000	0.701493	0.803419	0.987253
current_default_posthoc	family	109	66	52	14	57	0.787879	0.477064	0.594286	0.991031
current_default_posthoc	genus	181	85	79	6	102	0.929412	0.436464	0.593985	0.991826
current_default_posthoc	species	259	102	89	13	170	0.872549	0.343629	0.493075	0.994044
optimized_combo_f0.05_n0.92_t10	superkingdom	3	2	2	0	1	1.000000	0.666667	0.800000	1.000000
optimized_combo_f0.05_n0.92_t10	phylum	17	21	16	5	1	0.761905	0.941176	0.842105	0.998539
optimized_combo_f0.05_n0.92_t10	class	25	36	23	13	2	0.638889	0.920000	0.754098	0.996875
optimized_combo_f0.05_n0.92_t10	order	67	73	64	9	3	0.876712	0.955224	0.914286	0.897684
optimized_combo_f0.05_n0.92_t10	family	109	124	96	28	13	0.774194	0.880734	0.824034	0.811570
optimized_combo_f0.05_n0.92_t10	genus	181	179	156	23	25	0.871508	0.861878	0.866667	0.775527
optimized_combo_f0.05_n0.92_t10	species	259	305	205	100	54	0.672131	0.791506	0.726950	0.988600
optimized_species_f0.05_n0.94_t10	superkingdom	3	2	2	0	1	1.000000	0.666667	0.800000	1.000000
optimized_species_f0.05_n0.94_t10	phylum	17	21	16	5	1	0.761905	0.941176	0.842105	0.999005
optimized_species_f0.05_n0.94_t10	class	25	35	22	13	3	0.628571	0.880000	0.733333	0.997784
optimized_species_f0.05_n0.94_t10	order	67	69	60	9	7	0.869565	0.895522	0.882353	0.970998
optimized_species_f0.05_n0.94_t10	family	109	109	86	23	23	0.788991	0.788991	0.788991	0.825618
optimized_species_f0.05_n0.94_t10	genus	181	155	137	18	44	0.883871	0.756906	0.815476	0.795297
optimized_species_f0.05_n0.94_t10	species	259	233	171	62	88	0.733906	0.660232	0.695122	0.991829
