panel	sample	method	gtdb_species	status	truth_abundance	pred_abundance	signed_error_pp	abs_error_pp	truth_source	pred_source	prediction_rule	rank_abs_error
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Prevotella maculosa	TP	0.155707093671124	0.10094594151882842	-5.476115215229559	5.476115215229559	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	1
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Hungatella effluvii	TP	0.015593582234017331	0.03202148606548356	1.6427903831466226	1.6427903831466226	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	2
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Kineothrix sp000403275	FP	0.0	0.009088737186604873	0.9088737186604874	0.9088737186604874	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	3
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Petralouisia sp000403255	FP	0.0	0.007809819841040063	0.7809819841040063	0.7809819841040063	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	4
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Faecalibacterium prausnitzii	FN	0.006839935053701758	0.0	-0.6839935053701759	0.6839935053701759	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	5
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Eisenbergiella tayi	TP	0.0006769624614106057	0.005885097911491548	0.5208135450080942	0.5208135450080942	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	6
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Bacteroides thetaiotaomicron	FN	0.0049965301873740415	0.0	-0.49965301873740414	0.49965301873740414	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	7
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Enterocloster bolteae	TP	0.0012491325468435104	0.004846195276908139	0.35970627300646285	0.35970627300646285	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	8
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Alloprevotella tannerae	TP	0.0004163775156145035	0.003408640401954028	0.2992262886339524	0.2992262886339524	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	9
cami2_toy_mouse_gut	5	minco_current_code_refresh	s__Anaerostipes hadrus	FN	0.002914642609301525	0.0	-0.2914642609301525	0.2914642609301525	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized	10
