panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	union_L1_pp	truth_only_L1_pp	official_L1_kind	official_L1_pp	Pearson_union	Pearson_truth_only	official_Pearson_kind	official_Pearson	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	truth_mass_detected_pct	pred_mass_total_pct	pred_mass_on_truth_pct	pred_mass_extra_pct	truth_source	pred_source	prediction_rule
cami2_toy_mouse_gut	5	minco_current_code_refresh	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619656	15.414228172609334	truth_only	15.414228172609334	0.9913799211896313	0.9917478920123487	truth_only	0.9917478920123487	13.085848731095458	2.328379441513873	1.7716600070103221	97.67162055848611	99.99999999999997	98.22833999298967	1.7716600070103221	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; max per GTDB species; normalized
cami2_toy_mouse_gut	5	sylph_gtdb_profile	198	181	177	4	21	0.9779005524861878	0.8939393939393939	0.9340369393139841	8.710419807938461	6.955714543822669	truth_only	6.955714543822669	0.9969524156988561	0.9973219758868757	truth_only	0.9973219758868757	6.790009234310625	0.16570530951204546	1.7547052641157912	99.83429469048794	99.99999999999996	98.24529473588414	1.7547052641157912	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample5/profile.tsv	Sylph Toy Mouse GTDB mapping; max per GTDB species; normalized
cami2_toy_mouse_gut	5	oracle_fixed_calls_truth_mass	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	2.3283794415138734	2.3283794415138734	truth_only	2.3283794415138734	0.9997864841005819	0.999786527798687	truth_only	0.999786527798687	0.0	2.328379441513873	0.0	97.67162055848611	97.67162055848611	97.67162055848611	0.0	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	same MinCO call set; true abundance assigned to true-positive calls; false-positive calls get zero; no renormalization
cami2_toy_mouse_gut	5	oracle_fixed_calls_truth_renorm	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	4.656758883027769	4.656758883027769	truth_only	4.656758883027769	0.9997864841005812	0.9997865277986837	truth_only	0.9997865277986837	2.3283794415138925	2.328379441513873	0.0	97.67162055848611	99.99999999999997	99.99999999999997	0.0	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	same MinCO call set; true-positive truth abundance renormalized over detected truth mass; false-positive calls get zero
cami2_toy_mouse_gut	5	oracle_current_tp_abundance_renorm	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	16.16663680347647	16.16663680347647	truth_only	16.16663680347647	0.9917529877222302	0.9917478920123496	truth_only	0.9917478920123496	13.838257361962611	2.328379441513873	0.0	97.67162055848611	99.99999999999999	99.99999999999999	0.0	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	same MinCO call set; current MinCO abundance kept on true-positive calls then renormalized; false-positive calls get zero
cami2_toy_mouse_gut	6	minco_current_code_refresh	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189062683	20.06295582358045	truth_only	20.06295582358045	0.9729828392129994	0.9737545137280395	truth_only	0.9737545137280395	17.844387498567578	2.2185683250128787	2.8554433654822318	97.78143167498715	99.99999999999997	97.14455663451778	2.8554433654822318	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse6_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	calibrated MinCO called rows; max per GTDB species; normalized
cami2_toy_mouse_gut	6	sylph_gtdb_profile	201	193	185	8	16	0.9585492227979274	0.9203980099502488	0.9390862944162437	15.091798116406979	11.75907489716498	truth_only	11.75907489716498	0.9839994374523232	0.984875731368632	truth_only	0.984875731368632	11.561291216392092	0.19778368077288913	3.332723219241999	99.80221631922713	99.99999999999997	96.66727678075796	3.332723219241999	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse6_gtdb_species_profile.tsv	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample6/profile.tsv	Sylph Toy Mouse GTDB mapping; max per GTDB species; normalized
cami2_toy_mouse_gut	6	oracle_fixed_calls_truth_mass	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	2.218568325012879	2.218568325012879	truth_only	2.218568325012879	0.9997610842964421	0.9997610991648681	truth_only	0.9997610991648681	0.0	2.2185683250128787	0.0	97.78143167498715	97.78143167498715	97.78143167498715	0.0	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse6_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	same MinCO call set; true abundance assigned to true-positive calls; false-positive calls get zero; no renormalization
cami2_toy_mouse_gut	6	oracle_fixed_calls_truth_renorm	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	4.437136650025725	4.437136650025725	truth_only	4.437136650025725	0.9997610842964434	0.9997610991648684	truth_only	0.9997610991648684	2.2185683250128494	2.2185683250128787	0.0	97.78143167498715	99.99999999999999	99.99999999999999	0.0	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse6_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	same MinCO call set; true-positive truth abundance renormalized over detected truth mass; false-positive calls get zero
cami2_toy_mouse_gut	6	oracle_current_tp_abundance_renorm	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	21.692729599308198	21.692729599308198	truth_only	21.692729599308198	0.9737711707943884	0.9737545137280391	truth_only	0.9737545137280391	19.474161274295316	2.2185683250128787	0.0	97.78143167498715	99.99999999999991	99.99999999999991	0.0	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse6_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	same MinCO call set; current MinCO abundance kept on true-positive calls then renormalized; false-positive calls get zero
