panel	method	samples	mean_F1	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_official_L1_pp	mean_union_L1_pp	mean_truth_only_L1_pp	mean_official_Pearson	mean_truth_mass_detected_pct	mean_pred_mass_total_pct	mean_matched_abs_error_pp	mean_missing_truth_mass_pp	mean_extra_pred_mass_pp
cami2_toy_mouse_gut	minco_current_code_refresh	5,6,7	0.8938387600398774	373	10	94	0.8776470588235294	13.7678371229266	15.339987166975101	13.7678371229266	0.9879766077266378	98.32407375085376	99.99999999999999	12.091910873780362	1.6759262491462437	1.5721500440485014
cami2_toy_mouse_gut	oracle_current_tp_abundance_renorm	5,6,7	0.8938387600398774	373	10	94	0.8776470588235294	14.559559042513293	14.559559042513293	14.559559042513293	0.987976607726638	98.32407375085376	99.99999999999996	12.88363279336705	1.6759262491462437	0.0
cami2_toy_mouse_gut	oracle_fixed_calls_truth_mass	5,6,7	0.8938387600398774	373	10	94	0.8776470588235294	1.6759262491462439	1.6759262491462439	1.6759262491462439	0.999835470310102	98.32407375085376	98.32407375085376	0.0	1.6759262491462437	0.0
cami2_toy_mouse_gut	oracle_fixed_calls_truth_renorm	5,6,7	0.8938387600398774	373	10	94	0.8776470588235294	3.351852498292491	3.351852498292491	3.351852498292491	0.9998354703101011	98.32407375085376	100.0	1.675926249146247	1.6759262491462437	0.0
cami2_toy_mouse_gut	sylph_gtdb_profile	5,6,7	0.9528057837924289	429	13	38	0.943894389438944	6.731522945777084	8.450999177896561	6.731522945777084	0.9940402726623162	99.87881641985742	99.99999999999999	6.6103393656345135	0.1211835801425707	1.7194762321194765
cami3_toy_human_gut_gtdb_source_readmap	minco_universal_autoexact_gtdb_source_readmap	0,1,2	0.8159567931704953	246	62	50	0.8145695364238409	62.73202903342466	62.73202903342466	51.83240636632886	0.8239151096773085	79.08324791704064	99.99999999999999	30.915654283369477	20.916752082959373	10.899622667095798
cami3_toy_human_gut_gtdb_source_readmap	oracle_current_tp_abundance_renorm	0,1,2	0.8159567931704953	246	62	50	0.8145695364238409	58.38303026142258	58.38303026142258	58.38303026142258	0.8392381839763993	79.08324791704064	100.00000000000001	37.46627817846322	20.916752082959373	0.0
cami3_toy_human_gut_gtdb_source_readmap	oracle_fixed_calls_truth_mass	0,1,2	0.8159567931704953	246	62	50	0.8145695364238409	20.916752082959373	20.916752082959373	20.916752082959373	0.8757246571453859	79.08324791704064	79.08324791704064	0.0	20.916752082959373	0.0
cami3_toy_human_gut_gtdb_source_readmap	oracle_fixed_calls_truth_renorm	0,1,2	0.8159567931704953	246	62	50	0.8145695364238409	41.83350416591873	41.83350416591873	41.83350416591873	0.8757246571453859	79.08324791704064	99.99999999999999	20.916752082959345	20.916752082959373	0.0
cami3_toy_human_gut_gtdb_source_readmap	sylph_gtdb_source_readmap	0,1,2	0.7415214328232254	190	26	106	0.7421875000000001	32.6328407309855	32.6328407309855	26.604996394928747	0.945708365668897	98.72490952367251	100.0	25.32990591860124	1.275090476327512	6.027844336056753
