strategy_family	scope	best_signal	failure_mode	decision	source
selected candidate preset	default wrapper	F1=0.007199;L1=-1.994230;Pearson=0.013705	F1_wins=1/4;L1_wins=0/4;Pearson_wins=0/4	promote_candidate_for_minco_default_study_not_release_claim	results/candidate_default_decision_audit.tsv
candidate row abundance	candidate-only rows	mean_L1=-0.722425;max_worse_L1=0.000000;mean_Pearson=0.004448;worsened_samples=0	counts=0;F1=1.11e-16;L1=4.2;Pearson=0.0302	keep_as_candidate_preset_component_not_general_allocator	results/cross_panel_candidate_abundance_wrapper_audit.tsv
truth-aware allocation upper bound	current calls only	recoverable_L1_pp=22.82540327656117	oracle_vs_sylph_panels=2/4	allocation_model_can_close_some_not_all_sylph_gap	results/abundance_oracle_bounds_audit.tsv
fixed-call formula sweep	32 cached scored profiles	genus_realloc_xny;mean_delta=-1.865556;worsened_samples=9;max_worse=4.177992	sample_safe=0	reject_fixed_call_abundance_replacement	results/abundance_variant_safety_audit.tsv
adaptive output switch	output-derived thresholds	genus_realloc_xny;breadth_ratio_median>=1.11111;mean_delta=-1.195622;worsened_panels=0;max_worse=0.000000;switched=25	mean_delta=-0.737243;worsened=1;max_worse=1.218914	reject_as_overfit_by_leave_one_panel_out	results/adaptive_abundance_switch_audit.tsv
supervised row calibrator	leave-one-panel-out	lopo_hgb_log_l2_1_blend0.75;mean_delta=-0.090593;worsened_panels=1;max_worse=0.062803	candidate_requires_independent_holdout	candidate_requires_independent_holdout	results/supervised_abundance_calibrator_audit.tsv
supervised external stress test	cached external exact-split profiles	rf_log_leaf3_blend0.75;mean_delta_l1=-0.000068;worsened_datasets=1;max_dataset_worse=0.001128	external_safe_blends=0	reject_supervised_abundance_external_default	results/supervised_abundance_external_exactsplit_audit.tsv
edge-level mass redistribution	three spot panels	vs_current_L1_delta=-18.5786236509	vs_current_F1_delta=-0.0150869449894; vs_sylph_F1_delta=-0.0514250837048	not promotable: F1 is lower on CAMI3 and marine	results/edge_em_cross_domain_policy_summary.tsv
selected-default genus-XnY blend	posthoc selected-default profiles	mean_L1_delta_pp=-0.780907827013158	sample_direction=improved=26;worsened=6; max_worse_pp=0.9934199183847312	do_not_promote_abundance_blend	results/candidate_preset_genus_xny_blend_audit.tsv
selected-default blend guard	output-derived guard rules	two_feature_and;s_xny_mean<=783.804 AND blend_perturb_max_frac>=0.00184827;mean_delta=-0.798743;switched=22	mean_delta=-0.505883;holdouts_with_mean_regression=0;holdouts_with_sample_regression=2;max_sample_worse=0.220479	sample_safe_in_panel_but_fails_lopo	results/candidate_preset_genus_xny_blend_guard_audit.tsv
selected-default alpha/cap sweep	conservative nonzero blends	genus_xny_a0.15;mean_panel_delta=-0.309376;worsened_samples=4;max_worse=0.580806	sample_safe=0	do_not_promote_alpha_sweep	results/candidate_preset_genus_xny_alpha_sweep_audit.tsv
selected call-set oracle feasibility	32 selected-candidate cached samples	allocation_only_can_close_samples=31/32	call_recovery_required_samples=1	prioritize_allocator_plus_call_recovery	results/candidate_callset_oracle_feasibility_audit.tsv
