panel	sample	profile	collapse_rule	called_rows_mapped	called_species_mapped	n_calls	abundance_entropy	top1_abundance	top3_abundance	probability_mean	probability_median	probability_min	split_xny_median	unique_xny_median	xny_ratio_median	breadth_ratio_median	zip_af_split_median	zip_af_unique_median	depth_split_median	depth_unique_median	breadth_split_median	breadth_unique_median	depth_cv_mean	abs_ani_delta_mean	raw_mass_sum
cami2_toy_mouse_gut	5	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	max	162	162	162.0	2.9186326232318818	0.4168705037010741	0.5687209865705384	0.840311521890512	0.9101599766140375	0.3611660369475717	249.0	196.5	1.2595238095238095	1.0727675213675214	0.720898	0.7208715	0.2773625	0.2215	0.20597549999999998	0.1965	2.750825274691358	0.011210339506172787	447.62143312003894
cami2_toy_mouse_gut	6	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	max	157	157	157.0	3.1388651758657247	0.297565896884793	0.5507792143943954	0.8190962215783656	0.8646073626033869	0.2175481366422357	289.0	205.0	1.2771929824561403	1.0854603174603177	0.698416	0.744466	0.314361	0.263	0.244993	0.205	2.2827356528662426	0.010341808917197408	474.90679864876057
cami2_toy_mouse_gut	7	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	max	64	64	64.0	2.6321961369408324	0.2322398302997202	0.5256724271418082	0.8441663742921348	0.9152630631301883	0.2537453255923714	455.5	383.5	1.1966792226532486	1.0689384069954935	0.7622445	0.71704	0.6119969999999999	0.5365	0.4066955	0.3835	1.511919296875	0.005231578124999957	814.556394518021
cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	sum	94	94	94.0	3.0535345979869235	0.3167379390890516	0.44363185737232225	0.7149276103836254	0.7226971759858505	0.3514657929361656	210.0	79.5	2.0046604839141375	1.3202596561469617	0.395238	0.6990315	0.218329	0.1225	0.11603849999999999	0.0795	12.552561723404256	0.05382351063829784	795.4924379803074
cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	sum	99	99	99.0	3.314505492156466	0.173939035482444	0.3565894079479801	0.7293188680544018	0.749735430840311	0.3577539232049566	174.0	103.0	1.90228013029316	1.2273938848920862	0.508718	0.708367	0.184111	0.114	0.123425	0.103	13.529492272727273	0.05300976767676764	681.8391684987407
cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv	sum	115	115	115.0	3.043862427627168	0.239753202976825	0.4265626890940756	0.6643937308414368	0.643634856964667	0.2800379685577531	109.0	31.0	2.1751824817518246	1.3095599999999998	0.351657	1.0	0.134391	0.068	0.0616	0.031	14.21270326521739	0.0668058869565217	582.6412581835528
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv	sum	36	36	36.0	2.312764224857559	0.4012979127775566	0.6192855417270018	0.7779897524555616	0.8241438599703732	0.3577064869556492	622.0	369.5	1.6273920942377873	1.1927641287824617	0.65008	1.0	1.2599595	0.401	0.4579	0.3695	8.042492402777778	0.07661452777777772	408.9642011941639
hmp_airskin_gtdb_source_abundance	1	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	sum	99	99	99.0	2.3487521486960277	0.4509201316584091	0.6914413394442369	0.6526832247296572	0.5449530918387928	0.3749368973642101	412.0	132.0	1.3663366336633664	1.1666666666666667	0.772362	1.0	0.643812	0.145	0.194308	0.132	9.667425914141413	0.025406222222222177	797.3620335604977
hmp_airskin_gtdb_source_abundance	10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	sum	69	69	69.0	2.6950136586876883	0.2076503416393362	0.5142230242631106	0.8117746856157045	0.8850472080034513	0.3723527197478625	409.0	250.0	1.4154929577464788	1.1617825311942958	0.665448	1.0	0.5689	0.264	0.282367	0.25	7.438817666666666	0.035404246376811555	544.9605847625855
hmp_airskin_gtdb_source_abundance	11	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	sum	32	32	32.0	2.5306329745367555	0.1894421312224603	0.4667641340632604	0.846857413231869	0.9005392221195301	0.4616591226730817	922.5	554.5	1.490796493902439	1.183014519817073	0.6910810000000001	1.0	3.5829895	0.8175	0.6840310000000001	0.5545	3.405567890625	0.015447093749999948	721.1873437604959
hmp_airskin_gtdb_source_abundance	13	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	sum	40	40	40.0	2.2476944614108954	0.349584274004052	0.699637758315744	0.8313151421599437	0.8833427711420064	0.394052863565713	309.0	218.0	1.4129756904670994	1.1370481564038264	1.0	1.0	0.26559	0.2255	0.2551565	0.218	7.1215197125000005	0.0045846749999999825	73.84212257489807
hmp_airskin_gtdb_source_abundance	14	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	sum	30	30	30.0	1.889552243696348	0.5727444598569386	0.7207139747859848	0.8809609006698412	0.9488161075951622	0.4370190420866554	935.5	659.5	1.3631844899286758	1.1589087691378388	0.8410225	1.0	4.643645	0.771	0.782718	0.6595	9.378257699999999	0.01642239999999996	690.5499292614517
hmp_airskin_gtdb_source_abundance	15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	sum	22	22	22.0	1.1931712680125837	0.7214983103823736	0.8570508666922028	0.8379524860416112	0.9056106946970179	0.5231920773375729	777.0	598.5	1.2621525709747865	1.095609550271388	0.7079215000000001	1.0	2.004049	0.76	0.6873925000000001	0.5985	3.1569544545454544	0.02260981818181815	670.5257898257688
hmp_airskin_gtdb_source_abundance	16	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	sum	10	10	10.0	1.1552525099779345	0.71788102649343	0.8440494861254986	0.8893429581675198	0.9154575193697241	0.609185135408064	923.5	677.0	1.4340237151389204	1.1745121453609377	0.7847235	0.9923664999999999	20.177993	1.19	0.7847235	0.677	4.9392239	0.012273999999999941	700.4183300548
hmp_airskin_gtdb_source_abundance	17	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	sum	73	73	73.0	2.398346652777461	0.5062832210182114	0.6412523749243779	0.7428647843864737	0.831306647757623	0.3856249602568238	594.0	322.0	1.504	1.1949528158295282	0.732249	1.0	1.170239	0.352	0.4141	0.322	10.875300979452057	0.025048547945205436	765.7900750735467
hmp_airskin_gtdb_source_abundance	18	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	sum	26	26	26.0	1.912081045382859	0.3564176318857567	0.7842136843876159	0.8945484952463334	0.920377163166742	0.5891990458334775	946.0	665.0	1.4112439811399988	1.163308694414849	0.8265745	1.0	3.236945	0.8725	0.7924420000000001	0.665	7.64957398076923	0.015822423076923036	770.2414630299387
hmp_airskin_gtdb_source_abundance	19	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	sum	147	147	147.0	3.9390557965201447	0.1402342241630733	0.2633757249095427	0.734044033259167	0.793493778121547	0.3569811256805111	660.0	323.0	1.5022727272727272	1.1666666666666667	0.671833	1.0	1.201349	0.401	0.44737	0.323	8.390601275510203	0.024233816326530568	861.9825544299003
hmp_airskin_gtdb_source_abundance	20	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	sum	106	106	106.0	2.8814190841566005	0.3966736609315463	0.5216915261115583	0.7480924038646374	0.817375149705639	0.4119697462899382	619.5	348.0	1.3333333333333333	1.1666666666666667	0.7843195000000001	1.0	0.9391045	0.3755	0.4319225	0.348	9.41216558018868	0.021902452830188643	724.4890725705683
