variant_method	feature	op	threshold	switched_samples	sample_count	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
genus_realloc_xny	breadth_ratio_median	>=	1.111107130512372	25	32	-2.0843626750286584	4.177991585407593	22	3	-1.1956221549816688	0.0	3	0
genus_realloc_xny	xny_ratio_median	>=	1.3342952251130997	25	32	-1.9134910988563112	4.177991585407593	21	4	-1.1386649629242196	0.0	3	0
genus_realloc_xny	probability_median	<=	0.9087951920389316	22	32	-2.1601530508137343	1.5232847616562388	20	2	-1.1098127663725932	0.5077615872187463	3	1
genus_realloc_xny	breadth_ratio_median	>=	1.1583186447273657	22	32	-1.8189544687678314	4.177991585407593	20	2	-1.1071527528947263	0.0	3	0
genus_realloc_xny	xny_ratio_median	>=	1.3426150507719747	22	32	-1.81748155356116	4.177991585407593	19	3	-1.1066617811591692	0.0	3	0
genus_realloc_xny	probability_median	<=	0.8843654332588733	19	32	-2.1374939121519994	1.5232847616562388	18	1	-1.1022597201520148	0.5077615872187463	3	1
genus_realloc_xny	breadth_ratio_median	>=	1.1646518833155761	19	32	-1.7770302095029546	4.177991585407593	17	2	-1.093177999806434	0.0	3	0
genus_realloc_xny	breadth_ratio_median	>=	1.1666666666666667	19	32	-1.7770302095029546	4.177991585407593	17	2	-1.093177999806434	0.0	3	0
genus_realloc_xny	depth_cv_mean	>=	5.862105344601063	22	32	-2.188608220626156	1.2292031869592996	21	1	-1.0895244716750812	0.0	3	0
genus_realloc_xny	xny_ratio_median	>=	1.3842995726540195	19	32	-1.7658053349374905	4.177991585407593	17	2	-1.0894363749512794	0.0	3	0
genus_realloc_xny	depth_cv_mean	>=	4.86339978	25	32	-2.079732043452338	4.177991585407593	22	3	-1.0532324126171422	0.0	3	0
genus_realloc_xny	xny_ratio_median	>=	1.2597866856689073	28	32	-1.9791451742879782	4.177991585407593	23	5	-1.0494768075306746	0.5077615872187463	3	1
genus_realloc_xny	breadth_ratio_median	>=	1.074036800976801	28	32	-1.9791451742879782	4.177991585407593	23	5	-1.0494768075306746	0.5077615872187463	3	1
genus_realloc_xny	probability_mean	<=	0.8264275739273125	19	32	-1.9571598379845407	1.5232847616562388	18	1	-1.0421483620961953	0.5077615872187463	3	1
genus_realloc_xny	probability_mean	<=	0.843009918571648	22	32	-2.1572920017574972	1.5232847616562388	20	2	-1.0233587101849262	0.8986204359909576	3	1
genus_realloc_xny	depth_cv_mean	>=	2.7914381926767677	28	32	-1.9883352234972578	4.177991585407593	23	5	-1.0227668059654487	0.0	3	0
genus_realloc_xny	depth_cv_mean	>=	7.781962973862997	19	32	-1.9854967040033855	1.2292031869592996	18	1	-1.0218206328008246	0.0	3	0
genus_realloc_xny	xny_ratio_median	>=	1.4215926327193933	16	32	-1.5626938183147205	4.177991585407593	14	2	-1.0217325360770229	0.0	3	0
genus_realloc_xny	xny_ratio_median	>=	1.4976822339246119	13	32	-1.4653220888077365	4.177991585407593	12	1	-0.9892752929080281	0.0	3	0
genus_realloc_xny	zip_af_unique_median	>=	0.996696	25	32	-2.0416345330389136	3.4123058285657404	20	5	-0.9678196921006079	0.0	3	0
genus_realloc_xny	zip_af_unique_median	>=	1.0	25	32	-2.0416345330389136	3.4123058285657404	20	5	-0.9678196921006079	0.0	3	0
blend_current_genus_realloc_xny_a0.75	breadth_ratio_median	>=	1.111107130512372	25	32	-1.725530484574386	3.133493689055701	22	3	-0.9594272154237842	0.0	3	0
genus_realloc_xny	probability_median	<=	0.9193028552667324	25	32	-2.1310760286179105	1.5232847616562388	21	4	-0.9445558426139721	1.2189139667692832	3	1
genus_realloc_xny	depth_split_median	<=	2.08587515	22	32	-2.114045485388619	1.5232847616562388	19	3	-0.9388789948708749	1.2189139667692832	3	1
blend_current_genus_realloc_xny_a0.75	probability_median	<=	0.9087951920389316	22	32	-1.7842330382879905	0.6094569355599688	20	2	-0.9345551651104047	0.20315231185332294	3	1
genus_realloc_xny	probability_mean	<=	0.863001206202996	25	32	-2.077575061714002	1.5232847616562388	20	5	-0.9267221869793358	1.2189139667692832	3	1
blend_current_genus_realloc_xny_a0.75	probability_median	<=	0.8843654332588733	19	32	-1.7529966717105396	0.6094569355599688	18	1	-0.9241430429179212	0.20315231185332294	3	1
blend_current_genus_realloc_xny_a0.75	xny_ratio_median	>=	1.3342952251130997	25	32	-1.5962790364610697	3.133493689055701	21	4	-0.9163433993860122	0.0	3	0
blend_current_genus_realloc_xny_a0.75	probability_mean	<=	0.843009918571648	22	32	-1.7918160498768334	0.6094569355599688	20	2	-0.910857959010374	0.32303746216027146	3	1
genus_realloc_xny	probability_median	<=	0.9348140929083602	28	32	-2.0164686574654014	3.4123058285657404	22	6	-0.9063533855631356	1.2189139667692832	3	1
genus_realloc_xny	breadth_ratio_median	>=	1.1714408149133557	13	32	-1.2141706762836946	4.177991585407593	11	2	-0.9055581554000139	0.0	3	0
blend_current_genus_realloc_xny_a0.75	xny_ratio_median	>=	1.2597866856689073	28	32	-1.6724162726129173	3.133493689055701	23	5	-0.8972829098853802	0.20315231185332294	3	1
blend_current_genus_realloc_xny_a0.75	breadth_ratio_median	>=	1.074036800976801	28	32	-1.6724162726129173	3.133493689055701	23	5	-0.8972829098853802	0.20315231185332294	3	1
genus_realloc_xny	called_rows_mapped	>=	34.599999999999994	22	32	-1.9687771403903005	1.5232847616562388	18	4	-0.8904562132047688	1.2189139667692832	3	1
genus_realloc_xny	called_species_mapped	>=	34.599999999999994	22	32	-1.9687771403903005	1.5232847616562388	18	4	-0.8904562132047688	1.2189139667692832	3	1
genus_realloc_xny	n_calls	>=	34.599999999999994	22	32	-1.9687771403903005	1.5232847616562388	18	4	-0.8904562132047688	1.2189139667692832	3	1
genus_realloc_xny	unique_xny_median	<=	540.55	22	32	-1.9687771403903005	1.5232847616562388	18	4	-0.8904562132047688	1.2189139667692832	3	1
genus_realloc_xny	depth_unique_median	<=	0.7336499999999999	22	32	-1.9687771403903005	1.5232847616562388	18	4	-0.8904562132047688	1.2189139667692832	3	1
genus_realloc_xny	breadth_unique_median	<=	0.54055	22	32	-1.9687771403903005	1.5232847616562388	18	4	-0.8904562132047688	1.2189139667692832	3	1
blend_current_genus_realloc_xny_a0.75	breadth_ratio_median	>=	1.1583186447273657	22	32	-1.5153022870410031	3.133493689055701	20	2	-0.8893511495793233	0.0	3	0
blend_current_genus_realloc_xny_a0.75	xny_ratio_median	>=	1.3426150507719747	22	32	-1.494191007260763	3.133493689055701	19	3	-0.8823140563192432	0.0	3	0
blend_current_genus_realloc_xny_a0.75	probability_mean	<=	0.8264275739273125	19	32	-1.6249842973497404	0.6094569355599688	18	1	-0.8814722514643213	0.20315231185332294	3	1
blend_current_genus_realloc_xny_a0.75	depth_cv_mean	>=	5.862105344601063	22	32	-1.7879718030644856	0.864246976758011	21	1	-0.8812126888336287	0.0	3	0
blend_current_genus_realloc_xny_a0.75	breadth_ratio_median	>=	1.1646518833155761	19	32	-1.4723649668996184	3.133493689055701	17	2	-0.8750387095321951	0.0	3	0
blend_current_genus_realloc_xny_a0.75	breadth_ratio_median	>=	1.1666666666666667	19	32	-1.4723649668996184	3.133493689055701	17	2	-0.8750387095321951	0.0	3	0
genus_realloc_xny	breadth_split_median	<=	0.6867202000000001	25	32	-1.921920799367566	3.4123058285657404	19	6	-0.8748374328638572	1.2189139667692832	3	1
blend_current_genus_realloc_xny_a0.75	probability_median	<=	0.9193028552667324	25	32	-1.7846701607471545	0.6094569355599688	21	4	-0.8699321765741918	0.49923777938521346	3	1
genus_realloc_xny	unique_xny_median	<=	595.1	25	32	-1.8979931194662583	4.177991585407593	19	6	-0.8668615395634212	1.2189139667692832	3	1
genus_realloc_xny	breadth_unique_median	<=	0.5951000000000001	25	32	-1.8979931194662583	4.177991585407593	19	6	-0.8668615395634212	1.2189139667692832	3	1
