sample	method	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	abundance_column	tp_abundance_n	tp_abundance_pearson	tp_abundance_mae	bacteria_scope_l1	dataset	sample_key	profile_path	adaptive_call_filter_switch	adaptive_call_filter_applied	adaptive_call_filter_removed_n	adaptive_call_filter_input_call_n	adaptive_call_filter_output_call_n	adaptive_call_filter_max_xny_median
3	current_exactsplit_calls	85	80	51	29	34	0.6375	0.6	0.6181818181818182	calibrated_abundance	51	0.9921425285240929	0.0016780966748911178	1.0469200616844558	plant_holdout	plant_holdout3	/tmp/minco_exactsplit_universal_20260626/plant_holdout3_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	80	80	217.0
3	adaptive_call_filter_lopo_min_xny25	85	80	51	29	34	0.6375	0.6	0.6181818181818182	calibrated_abundance	51	0.9921425285240929	0.0016780966748911178	1.0469200616844558	plant_holdout	plant_holdout3	/tmp/minco_exactsplit_universal_20260626/plant_holdout3_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	80	80	217.0
4	current_exactsplit_calls	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	calibrated_abundance	51	0.9981029922806188	0.0013381241817579542	0.47369915881872293	plant_holdout	plant_holdout4	/tmp/minco_exactsplit_universal_20260626/plant_holdout4_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	78	78	197.5
4	adaptive_call_filter_lopo_min_xny25	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	calibrated_abundance	51	0.9981029922806188	0.0013381241817579542	0.47369915881872293	plant_holdout	plant_holdout4	/tmp/minco_exactsplit_universal_20260626/plant_holdout4_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	78	78	197.5
5	current_exactsplit_calls	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	calibrated_abundance	35	0.7768171258847472	0.011782496410616815	0.9483396147682904	plant_holdout	plant_holdout5	/tmp/minco_exactsplit_universal_20260626/plant_holdout5_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	64	64	271.0
5	adaptive_call_filter_lopo_min_xny25	55	58	33	25	22	0.5689655172413793	0.6	0.584070796460177	calibrated_abundance	33	0.7796613004821906	0.012361292849595364	0.9810245912886563	plant_holdout	plant_holdout5	/tmp/minco_exactsplit_universal_20260626/plant_holdout5_universal_exactsplit_strategy.tsv	lopo-min-xny25	True	6	64	58	271.0
0	current_exactsplit_calls	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	calibrated_abundance	8	0.8939718661852695	0.05151790168735876	0.6538287291428433	strainmadness	strain0	/tmp/minco_exactsplit_universal_20260626/strain0_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	14	14	666.0
0	adaptive_call_filter_lopo_min_xny25	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	calibrated_abundance	8	0.8939718661852695	0.05151790168735876	0.6538287291428433	strainmadness	strain0	/tmp/minco_exactsplit_universal_20260626/strain0_universal_exactsplit_strategy.tsv	lopo-min-xny25	True	0	14	14	666.0
1	current_exactsplit_calls	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	calibrated_abundance	15	0.7930644499006302	0.04342494942591353	0.8734446798401095	strainmadness	strain1	/tmp/minco_exactsplit_universal_20260626/strain1_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	23	23	389.0
1	adaptive_call_filter_lopo_min_xny25	20	19	13	6	7	0.6842105263157895	0.65	0.6666666666666667	calibrated_abundance	13	0.7840726532116882	0.04694452004036047	0.7648098860668789	strainmadness	strain1	/tmp/minco_exactsplit_universal_20260626/strain1_universal_exactsplit_strategy.tsv	lopo-min-xny25	True	4	23	19	389.0
2	current_exactsplit_calls	20	19	14	5	6	0.7368421052631579	0.7	0.717948717948718	calibrated_abundance	14	0.7844286373343009	0.05206210113628636	0.7520632692341463	strainmadness	strain2	/tmp/minco_exactsplit_universal_20260626/strain2_universal_exactsplit_strategy.tsv	lopo-min-xny25	False	0	19	19	316.0
2	adaptive_call_filter_lopo_min_xny25	20	15	10	5	10	0.6666666666666666	0.5	0.5714285714285715	calibrated_abundance	10	0.7643349074859906	0.06499607999381123	0.674696066572345	strainmadness	strain2	/tmp/minco_exactsplit_universal_20260626/strain2_universal_exactsplit_strategy.tsv	lopo-min-xny25	True	4	19	15	316.0
