variant_method	feature	op	threshold	switched_samples	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	cami2_toy_mouse_gut_delta_F1	cami2_toy_mouse_gut_delta_L1_pp	cami2_toy_mouse_gut_delta_Pearson	cami2_toy_mouse_gut_switched_samples	cami2_toy_mouse_gut_improved_samples	cami2_toy_mouse_gut_worsened_samples	cami3_toy_human_gut_gtdb_source_readmap_delta_F1	cami3_toy_human_gut_gtdb_source_readmap_delta_L1_pp	cami3_toy_human_gut_gtdb_source_readmap_delta_Pearson	cami3_toy_human_gut_gtdb_source_readmap_switched_samples	cami3_toy_human_gut_gtdb_source_readmap_improved_samples	cami3_toy_human_gut_gtdb_source_readmap_worsened_samples	hmp_airskin_gtdb_source_abundance_delta_F1	hmp_airskin_gtdb_source_abundance_delta_L1_pp	hmp_airskin_gtdb_source_abundance_delta_Pearson	hmp_airskin_gtdb_source_abundance_switched_samples	hmp_airskin_gtdb_source_abundance_improved_samples	hmp_airskin_gtdb_source_abundance_worsened_samples	hmp_gastrooral_gtdb_source_abundance_delta_F1	hmp_gastrooral_gtdb_source_abundance_delta_L1_pp	hmp_gastrooral_gtdb_source_abundance_delta_Pearson	hmp_gastrooral_gtdb_source_abundance_switched_samples	hmp_gastrooral_gtdb_source_abundance_improved_samples	hmp_gastrooral_gtdb_source_abundance_worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	mean_panel_delta_Pearson
drop_prob_lt_0.7_and_breadth_lt_0.2	max_xny_median	>=	377.40000000000003	25	32	0.04755078131033631	-0.01719479243429145	16	1	-2.959251403862046	0.7654741840761368	0.0016921240226678881	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.06218722072227426	-3.959633070028089	0.002351068043497819	22	14	1	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.019188268255091047	0.0	2	0	-0.9480146728709374	0.1675743785443391	0.0003030589710525505
drop_prob_lt_0.7_and_breadth_lt_0.2	max_real_min_af_median	>=	0.3774	25	32	0.04755078131033631	-0.01719479243429145	16	1	-2.959251403862046	0.7654741840761368	0.0016921240226678881	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.06218722072227426	-3.959633070028089	0.002351068043497819	22	14	1	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.019188268255091047	0.0	2	0	-0.9480146728709374	0.1675743785443391	0.0003030589710525505
drop_prob_lt_0.7_and_breadth_lt_0.2	max_mean_depth_median	>=	0.4820724	25	32	0.04755078131033631	-0.01719479243429145	16	1	-2.959251403862046	0.7654741840761368	0.0016921240226678881	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.06218722072227426	-3.959633070028089	0.002351068043497819	22	14	1	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.019188268255091047	0.0	2	0	-0.9480146728709374	0.1675743785443391	0.0003030589710525505
drop_prob_lt_0.7_and_breadth_lt_0.2	max_mean_depth_median	>=	0.6253353	22	32	0.04666190158321313	-0.01719479243429145	14	1	-2.7032591219309046	0.7654741840761368	0.0016503902417740156	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.06100204775277668	-3.618310027453235	0.0022954230023059887	20	12	1	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.018891975012716652	0.0	2	0	-0.862683912227224	0.1675743785443391	0.0002891477107545929
drop_prob_lt_0.7_and_breadth_lt_0.2	max_xny_median	>=	253.0	28	32	0.04359298328266313	-0.05008388031988542	16	4	-3.28872125967907	0.7654741840761368	0.0018674009142198196	-0.01669462677329514	0.0688633398204388	2.3628855449597808e-05	2	0	1	0.0	0.0	0.0	0	0	0	0.05899698503203857	-4.40753412859501	0.002581816958635861	24	14	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.01421705263920834	-0.01669462677329514	2	1	-1.042774102557558	0.1675743785443391	0.0003666534136994604
drop_prob_lt_0.7_and_breadth_lt_0.2	max_real_min_af_median	>=	0.253	28	32	0.04359298328266313	-0.05008388031988542	16	4	-3.28872125967907	0.7654741840761368	0.0018674009142198196	-0.01669462677329514	0.0688633398204388	2.3628855449597808e-05	2	0	1	0.0	0.0	0.0	0	0	0	0.05899698503203857	-4.40753412859501	0.002581816958635861	24	14	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.01421705263920834	-0.01669462677329514	2	1	-1.042774102557558	0.1675743785443391	0.0003666534136994604
drop_prob_lt_0.7_and_breadth_lt_0.2	max_mean_depth_median	>=	0.26676725	28	32	0.04307512907490507	-0.0615713346482577	16	4	-3.266436576432506	0.7654741840761368	0.001878596038628045	-0.03721840498938104	0.09458650559942801	6.216530798600998e-05	3	0	2	0.0	0.0	0.0	0	0	0	0.06087198503203858	-4.381036613321964	0.00259192673461311	23	14	2	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.009554858085186867	-0.03721840498938104	2	1	-1.0297189322945492	0.1675743785443391	0.00037881497082787566
drop_prob_lt_0.7_and_breadth_lt_0.2	max_zip_af_median	>=	0.996696	25	32	0.041657037276015954	-0.11203415253259486	16	4	-3.408089800203843	0.7654741840761368	0.0019622798304830893	0.0	0.0	0.0	0	0	0	-0.037344717510864954	-1.2044010924438027	0.001035670628924475	1	0	1	0.05899698503203857	-4.40753412859501	0.002581816958635861	22	14	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.009054529954815886	-0.037344717510864954	2	1	-1.3610902106236185	0.1675743785443391	0.0006196638570681798
drop_prob_lt_0.7_and_breadth_lt_0.2	max_zip_af_median	>=	1.0	25	32	0.041657037276015954	-0.11203415253259486	16	4	-3.408089800203843	0.7654741840761368	0.0019622798304830893	0.0	0.0	0.0	0	0	0	-0.037344717510864954	-1.2044010924438027	0.001035670628924475	1	0	1	0.05899698503203857	-4.40753412859501	0.002581816958635861	22	14	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.009054529954815886	-0.037344717510864954	2	1	-1.3610902106236185	0.1675743785443391	0.0006196638570681798
drop_prob_lt_0.7_and_breadth_lt_0.2	max_depth_cv_mean	<=	14.150729289589046	28	32	0.04060050300652901	-0.0615713346482577	15	5	-3.265706824550745	0.7654741840761368	0.0018789840516136164	-0.03721840498938104	0.09458650559942801	6.216530798600998e-05	3	0	2	0.0	0.0	0.0	0	0	0	0.057572483607537146	-4.38006361081295	0.002592444085260539	23	13	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.00872998272906151	-0.03721840498938104	2	1	-1.0294756816672959	0.1675743785443391	0.00037894430848973287
