variant_method	feature	op	threshold	switched_samples	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	cami2_toy_mouse_gut_delta_F1	cami2_toy_mouse_gut_delta_L1_pp	cami2_toy_mouse_gut_delta_Pearson	cami2_toy_mouse_gut_switched_samples	cami2_toy_mouse_gut_improved_samples	cami2_toy_mouse_gut_worsened_samples	cami3_toy_human_gut_gtdb_source_readmap_delta_F1	cami3_toy_human_gut_gtdb_source_readmap_delta_L1_pp	cami3_toy_human_gut_gtdb_source_readmap_delta_Pearson	cami3_toy_human_gut_gtdb_source_readmap_switched_samples	cami3_toy_human_gut_gtdb_source_readmap_improved_samples	cami3_toy_human_gut_gtdb_source_readmap_worsened_samples	hmp_airskin_gtdb_source_abundance_delta_F1	hmp_airskin_gtdb_source_abundance_delta_L1_pp	hmp_airskin_gtdb_source_abundance_delta_Pearson	hmp_airskin_gtdb_source_abundance_switched_samples	hmp_airskin_gtdb_source_abundance_improved_samples	hmp_airskin_gtdb_source_abundance_worsened_samples	hmp_gastrooral_gtdb_source_abundance_delta_F1	hmp_gastrooral_gtdb_source_abundance_delta_L1_pp	hmp_gastrooral_gtdb_source_abundance_delta_Pearson	hmp_gastrooral_gtdb_source_abundance_switched_samples	hmp_gastrooral_gtdb_source_abundance_improved_samples	hmp_gastrooral_gtdb_source_abundance_worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	mean_panel_delta_Pearson
drop_prob_lt_0.7_and_breadth_lt_0.2	max_xny_median	>=	387.5	28	35	0.046540480427272116	-0.032352941176470584	17	3	-2.928443324047847	0.7654741840761368	0.0017517985572562075	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.05925130038364239	-3.8085431518060484	0.0023552079193534256	25	15	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.01845428817043308	0.0	2	0	-0.9102421933154273	0.1675743785443391	0.0003040939400164521
drop_prob_lt_0.7_and_breadth_lt_0.2	max_real_min_af_median	>=	0.3875	28	35	0.046540480427272116	-0.032352941176470584	17	3	-2.928443324047847	0.7654741840761368	0.0017517985572562075	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.05925130038364239	-3.8085431518060484	0.0023552079193534256	25	15	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.01845428817043308	0.0	2	0	-0.9102421933154273	0.1675743785443391	0.0003040939400164521
drop_prob_lt_0.7_and_breadth_lt_0.2	max_mean_depth_median	>=	0.46514669999999997	28	35	0.046540480427272116	-0.032352941176470584	17	3	-2.928443324047847	0.7654741840761368	0.0017517985572562075	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.05925130038364239	-3.8085431518060484	0.0023552079193534256	25	15	3	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.01845428817043308	0.0	2	0	-0.9102421933154273	0.1675743785443391	0.0003040939400164521
min_breadth_ge_0.05	max_xny_median	>=	265.0	31	35	0.044059355559373625	-0.018333333333333313	16	2	-2.4347050082709694	0.19677882569514793	0.0015379873714841206	-0.0021446655367940806	0.012304203120926616	-1.7817844074248987e-07	2	0	1	0.0	0.0	0.0	0	0	0	0.05665940585908378	-3.149267699522616	0.002004719990959052	27	15	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.01596712045472208	-0.0021446655367940806	2	1	-0.8119108755674307	0.012304203120926616	0.0004639670508010833
min_breadth_ge_0.05	max_real_min_af_median	>=	0.265	31	35	0.044059355559373625	-0.018333333333333313	16	2	-2.4347050082709694	0.19677882569514793	0.0015379873714841206	-0.0021446655367940806	0.012304203120926616	-1.7817844074248987e-07	2	0	1	0.0	0.0	0.0	0	0	0	0.05665940585908378	-3.149267699522616	0.002004719990959052	27	15	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.01596712045472208	-0.0021446655367940806	2	1	-0.8119108755674307	0.012304203120926616	0.0004639670508010833
min_xny_ge_50	max_xny_median	>=	265.0	31	35	0.044059355559373625	-0.018333333333333313	16	2	-2.4347050082709694	0.19677882569514793	0.0015379873714841206	-0.0021446655367940806	0.012304203120926616	-1.7817844074248987e-07	2	0	1	0.0	0.0	0.0	0	0	0	0.05665940585908378	-3.149267699522616	0.002004719990959052	27	15	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.01596712045472208	-0.0021446655367940806	2	1	-0.8119108755674307	0.012304203120926616	0.0004639670508010833
min_xny_ge_50	max_real_min_af_median	>=	0.265	31	35	0.044059355559373625	-0.018333333333333313	16	2	-2.4347050082709694	0.19677882569514793	0.0015379873714841206	-0.0021446655367940806	0.012304203120926616	-1.7817844074248987e-07	2	0	1	0.0	0.0	0.0	0	0	0	0.05665940585908378	-3.149267699522616	0.002004719990959052	27	15	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.01596712045472208	-0.0021446655367940806	2	1	-0.8119108755674307	0.012304203120926616	0.0004639670508010833
min_breadth_ge_0.05	max_xny_median	>=	387.5	28	35	0.043658645640906955	0.0	15	0	-2.1270682241607575	0.19677882569514793	0.001380937141425931	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.05590167090513133	-2.749112141995942	0.0018011165617976123	25	14	0	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.01631385310043249	0.0	2	0	-0.7149480369659938	0.0	0.000413110738120909
min_breadth_ge_0.05	max_real_min_af_median	>=	0.3875	28	35	0.043658645640906955	0.0	15	0	-2.1270682241607575	0.19677882569514793	0.001380937141425931	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.05590167090513133	-2.749112141995942	0.0018011165617976123	25	14	0	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.01631385310043249	0.0	2	0	-0.7149480369659938	0.0	0.000413110738120909
min_breadth_ge_0.05	max_mean_depth_median	>=	0.46514669999999997	28	35	0.043658645640906955	0.0	15	0	-2.1270682241607575	0.19677882569514793	0.001380937141425931	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.05590167090513133	-2.749112141995942	0.0018011165617976123	25	14	0	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.01631385310043249	0.0	2	0	-0.7149480369659938	0.0	0.000413110738120909
