dataset	sample	Ref	block_XnY_ctx	exact_XnY_ctx	block_Ref_breadth	exact_Ref_breadth	block_Ref_mean_depth	exact_Ref_mean_depth	block_Normalized_abundance_depth	exact_Normalized_abundance_depth	normalized_abundance_abs_delta	ref_mean_depth_abs_delta
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000306945.1_ASM30694v1_genomic.fna.gz	1000.0	1000.0	0.802881	0.802881	18.082161	139.87634	0.06128	0.135832	0.07455200000000001	121.794179
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000067205.1_ASM6720v1_genomic.fna.gz	1000.0	1000.0	0.826138	0.827834	2.080701	52.830142	0.007051	0.051303	0.044252	50.749441000000004
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000025905.1_ASM2590v1_genomic.fna.gz	1000.0	1000.0	0.990527	0.991027	2.100803	46.732297	0.00712	0.045381	0.038260999999999996	44.631494
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000225345.1_ASM22534v1_genomic.fna.gz	1000.0	1000.0	0.705634	0.70765	1.484357	32.069718	0.00503	0.031143	0.026113	30.585361000000002
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000331995.1_ASM33199v1_genomic.fna.gz	1000.0	1000.0	0.983711	0.983711	2.613104	32.777888	0.008856	0.03183	0.022973999999999998	30.164783999999997
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001276985.1_CBOT009-SEQ-1-ASM-1_genomic.fna.gz	958.0	958.0	0.750749	0.751749	2.933537	32.553725	0.009942	0.031613	0.021671000000000003	29.620188
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000657795.2_gbh03v02_genomic.fna.gz	1000.0	1000.0	0.827496	0.833398	1.271852	16.969286	0.00431	0.016479	0.012169000000000001	15.697434000000001
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCF_051904045.1_ASM5190404v1_genomic.fna.gz	582.0	614.0	0.379239	0.414677	3.161509	21.994478	0.010714	0.021359	0.010645	18.832969000000002
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_006742065.1_ASM674206v1_genomic.fna.gz	798.0	799.0	0.762085	0.762451	2.4783	18.565312	0.008399	0.018029	0.00963	16.087011999999998
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_902781225.1_Rumen_uncultured_genome_RUG12649_genomic.fna.gz	401.0	442.0	0.23816	0.264401	0.412598	7.681593	0.001398	0.00746	0.006062	7.268995
