dataset	method	samples	sample_count	mean_precision	mean_recall	mean_F1	mean_L1	mean_Pearson	pooled_TP	pooled_FP	pooled_FN	pooled_F1
hmp_gastrooral	fixed_calls_max_su_mean_zip_p1	hmp_gastrooral6	1	0.7843137254901961	0.8695652173913043	0.8247422680412372	0.9153749435825592	0.8261227180299678	40	11	6	0.8247422680412372
hmp_gastrooral	fixed_calls_s_mean_zip_p1	hmp_gastrooral6	1	0.7843137254901961	0.8695652173913043	0.8247422680412372	0.9148994480208256	0.8261071994556622	40	11	6	0.8247422680412372
hmp_gastrooral	minco_split_exact_direct_ani0.95	hmp_gastrooral6	1	0.9230769230769232	0.782608695652174	0.8470588235294118	0.6860132874722696	0.9860515196800326	36	3	10	0.8470588235294118
hmp_gastrooral	minco_universal_exactsplit	hmp_gastrooral6	1	0.7916666666666666	0.8260869565217391	0.8085106382978724	0.561430025671431	0.9936630562148054	38	10	8	0.8085106382978724
hmp_gastrooral	raw_unique95	hmp_gastrooral6	1	0.825	0.717391304347826	0.7674418604651162	1.397153241715392	0.7681968564746987	33	7	13	0.7674418604651162
hmp_gastrooral	sylph	hmp_gastrooral6	1	0.9090909090909092	0.8695652173913043	0.888888888888889	0.4983849038592995	0.9989405482995176	40	4	6	0.888888888888889
marine	fixed_calls_max_su_mean_zip_p1	marine0,marine2	2	0.8243163048316107	0.8852218293795621	0.8536717957557396	0.2628946147606065	0.9935210603411485	469	100	61	0.8535031847133758
marine	fixed_calls_s_mean_zip_p1	marine0,marine2	2	0.8243163048316107	0.8852218293795621	0.8536717957557396	0.26164870006448204	0.99352060467698	469	100	61	0.8535031847133758
marine	minco_split_exact_direct_ani0.95	marine0,marine2	2	0.8387168559328892	0.8622975593065694	0.8503393108420039	0.30548648013002466	0.9892383262178935	457	88	73	0.8502325581395349
marine	minco_universal_exactsplit	marine0,marine2	2	0.8330359537720556	0.9210481295620438	0.8748340048166738	0.2454267268131619	0.9917988152639932	488	98	42	0.8745519713261648
marine	raw_unique95	marine0,marine2	2	0.8618793165039296	0.8434078467153285	0.8525003823214559	0.34885054218555983	0.9868058174308707	447	72	83	0.8522402287893233
plant	fixed_calls_max_su_mean_zip_p1	plant0,plant1,plant2	3	0.5681104833647207	0.6998786020062616	0.6270869642090374	0.7466203615180896	0.9371653709907312	91	68	38	0.6319444444444444
plant	fixed_calls_s_mean_zip_p1	plant0,plant1,plant2	3	0.5681104833647207	0.6998786020062616	0.6270869642090374	0.7457779320881509	0.9373795571996199	91	68	38	0.6319444444444444
plant	minco_split_exact_direct_ani0.95	plant0,plant1,plant2	3	0.4963629750863794	0.5153280940514983	0.5055629808907994	1.1142865800974773	0.9948991982238309	67	67	62	0.5095057034220533
plant	minco_universal_exactsplit	plant0,plant1,plant2	3	0.6293588227565367	0.786505654590761	0.6987598849748382	0.6078710877968666	0.8822528162351149	102	60	27	0.7010309278350516
plant	raw_unique95	plant0,plant1,plant2	3	0.5475810738968634	0.46282026707558616	0.5014478080388781	1.1424000703031807	0.9960532153347393	60	49	69	0.5042016806722689
plant	sylph	plant0,plant1,plant2	3	0.5386562671045428	0.676369987008285	0.5996431575930702	1.0264129138847768	0.6628246236585336	88	74	41	0.6048109965635738
plant_holdout	fixed_calls_max_su_mean_zip_p1	plant_holdout3,plant_holdout4,plant_holdout5	3	0.6102752057613169	0.6223919870978695	0.615014782839021	0.8240775091406319	0.9226925664738636	139	87	85	0.6177777777777778
plant_holdout	fixed_calls_s_mean_zip_p1	plant_holdout3,plant_holdout4,plant_holdout5	3	0.6102752057613169	0.6223919870978695	0.615014782839021	0.8238060885021842	0.9227481053370786	139	87	85	0.6177777777777778
plant_holdout	minco_split_exact_direct_ani0.95	plant_holdout3,plant_holdout4,plant_holdout5	3	0.5398907791159607	0.4021602580426109	0.4588078588078588	1.1325834320402801	0.9944244478878238	88	75	136	0.45478036175710596
plant_holdout	minco_universal_exactsplit	plant_holdout3,plant_holdout4,plant_holdout5	3	0.6127403846153846	0.6145021645021645	0.6120155806430317	0.822986278423823	0.9223542155631529	137	85	87	0.6143497757847535
plant_holdout	raw_unique95	plant_holdout3,plant_holdout4,plant_holdout5	3	0.5560098815912768	0.33250148544266195	0.41428704740574834	1.1688047674455393	0.9955049065044914	73	58	151	0.4112676056338028
plant_holdout	sylph	plant_holdout3,plant_holdout4,plant_holdout5	3	0.6083249894794887	0.5948476360241065	0.5999925716183384	1.070000751545544	0.6112482571280909	132	84	92	0.6
strain	fixed_calls_max_su_mean_zip_p1	strain0,strain1,strain2	3	0.6025641025641025	0.45	0.51010101010101	0.5925751506231324	0.8967854921471857	27	19	33	0.5094339622641509
strain	fixed_calls_s_mean_zip_p1	strain0,strain1,strain2	3	0.6025641025641025	0.45	0.51010101010101	0.5834280922331506	0.8968662688491617	27	19	33	0.5094339622641509
strain	minco_split_exact_direct_ani0.95	strain0,strain1,strain2	3	0.6017094017094017	0.31666666666666665	0.41267850923023336	0.9867410955849202	0.902880004287847	19	13	41	0.41304347826086957
strain	minco_universal_exactsplit	strain0,strain1,strain2	3	0.6534815299117359	0.6166666666666666	0.6287371239491623	0.7597788927390331	0.8238216511400669	37	19	23	0.6379310344827587
strain	raw_unique95	strain0,strain1,strain2	3	0.583994708994709	0.2333333333333333	0.33275557988201665	1.4408077200989833	0.9474224174782755	14	10	46	0.33333333333333337
strain	sylph	strain0,strain1,strain2	3	0.5503703703703704	0.5166666666666667	0.5273739905318853	0.20300030921542736	0.9940055711009831	31	27	29	0.5254237288135593
toy_gut	fixed_calls_max_su_mean_zip_p1	toy0,toy1,toy2	3	0.857175925925926	0.4914644762897107	0.6241043859173078	0.6549512393429842	0.96893974078906	168	28	174	0.6245353159851301
toy_gut	fixed_calls_s_mean_zip_p1	toy0,toy1,toy2	3	0.857175925925926	0.4914644762897107	0.6241043859173078	0.6826038613195395	0.9601390333092154	168	28	174	0.6245353159851301
toy_gut	minco_split_exact_direct_ani0.95	toy0,toy1,toy2	3	0.06899470899470893	0.03514436370361343	0.046510925191056006	1.995875769415643	-0.18091791244024732	12	164	330	0.04633204633204634
toy_gut	minco_universal_exactsplit	toy0,toy1,toy2	3	0.7485106382978723	0.31621582610499915	0.4444232452782783	1.8320671429770357	-0.1036230195849498	108	36	234	0.44444444444444436
toy_gut	raw_unique95	toy0,toy1,toy2	3	0.8339181286549708	0.252099938203945	0.3861838034755524	1.0863952116591378	0.9817706478171155	86	17	256	0.3865168539325843
toy_gut	sylph	toy0	1	0.8142857142857143	0.5277777777777778	0.6404494382022472	0.5166782591394675	0.9955604616621608	57	13	51	0.6404494382022472
