method	sample_key	dataset	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	FP_plus_FN	L1	Pearson	tp_abundance_n	raw_unique_fallback	source_file
fixed_calls_max_su_mean_zip_p1	hmp_gastrooral6	hmp_gastrooral	46	51	40	11	6	0.7843137254901961	0.8695652173913043	0.8247422680412372	17	0.9153749435825592	0.8261227180299678	40	False	/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv
fixed_calls_s_mean_zip_p1	hmp_gastrooral6	hmp_gastrooral	46	51	40	11	6	0.7843137254901961	0.8695652173913043	0.8247422680412372	17	0.9148994480208256	0.8261071994556622	40	False	/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv
minco_split_exact_direct_ani0.95	hmp_gastrooral6	hmp_gastrooral	46	39	36	3	10	0.9230769230769232	0.782608695652174	0.8470588235294118	13	0.6860132874722696	0.9860515196800326	36		/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv
minco_universal_exactsplit	hmp_gastrooral6	hmp_gastrooral	46	48	38	10	8	0.7916666666666666	0.8260869565217391	0.8085106382978724	18	0.561430025671431	0.9936630562148054	38		/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv
raw_unique95	hmp_gastrooral6	hmp_gastrooral	46	40	33	7	13	0.825	0.717391304347826	0.7674418604651162	20	1.397153241715392	0.7681968564746987	33		/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv
sylph	hmp_gastrooral6	hmp_gastrooral	46	44	40	4	6	0.9090909090909092	0.8695652173913043	0.888888888888889	10	0.4983849038592995	0.9989405482995176	40		/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv
fixed_calls_max_su_mean_zip_p1	marine0	marine	256	277	229	48	27	0.8267148014440433	0.89453125	0.8592870544090057	75	0.2633690022038296	0.9909024138208842	229	False	/tmp/minco_exactsplit_universal_20260626/marine0_exactsplit_score.tsv
fixed_calls_s_mean_zip_p1	marine0	marine	256	277	229	48	27	0.8267148014440433	0.89453125	0.8592870544090057	75	0.2624263789151899	0.9909093904641268	229	False	/tmp/minco_exactsplit_universal_20260626/marine0_exactsplit_score.tsv
minco_split_exact_direct_ani0.95	marine0	marine	256	262	221	41	35	0.8435114503816794	0.86328125	0.8532818532818532	76	0.3011680373474198	0.9856401359342076	221		/tmp/minco_exactsplit_universal_20260626/marine0_exactsplit_score.tsv
minco_universal_exactsplit	marine0	marine	256	283	238	45	18	0.8409893992932862	0.9296875	0.8831168831168831	63	0.2496917341082848	0.9893162459454876	238		/tmp/minco_exactsplit_universal_20260626/marine0_exactsplit_score.tsv
raw_unique95	marine0	marine	256	247	216	31	40	0.8744939271255061	0.84375	0.8588469184890656	71	0.3429510946411238	0.981797536827431	216		/tmp/minco_exactsplit_universal_20260626/marine0_exactsplit_score.tsv
fixed_calls_max_su_mean_zip_p1	marine2	marine	274	292	240	52	34	0.821917808219178	0.8759124087591241	0.8480565371024735	86	0.2624202273173834	0.9961397068614128	240	False	/tmp/minco_exactsplit_universal_20260626/marine2_exactsplit_score.tsv
fixed_calls_s_mean_zip_p1	marine2	marine	274	292	240	52	34	0.821917808219178	0.8759124087591241	0.8480565371024735	86	0.2608710212137742	0.9961318188898332	240	False	/tmp/minco_exactsplit_universal_20260626/marine2_exactsplit_score.tsv
minco_split_exact_direct_ani0.95	marine2	marine	274	283	236	47	38	0.833922261484099	0.8613138686131386	0.8473967684021545	85	0.3098049229126295	0.9928365165015794	236		/tmp/minco_exactsplit_universal_20260626/marine2_exactsplit_score.tsv
minco_universal_exactsplit	marine2	marine	274	303	250	53	24	0.8250825082508251	0.9124087591240876	0.8665511265164645	77	0.241161719518039	0.9942813845824988	250		/tmp/minco_exactsplit_universal_20260626/marine2_exactsplit_score.tsv
raw_unique95	marine2	marine	274	272	231	41	43	0.8492647058823529	0.843065693430657	0.8461538461538463	84	0.3547499897299959	0.9918140980343104	231		/tmp/minco_exactsplit_universal_20260626/marine2_exactsplit_score.tsv
fixed_calls_max_su_mean_zip_p1	plant0	plant	45	54	33	21	12	0.6111111111111112	0.7333333333333333	0.6666666666666666	33	0.7281332933115422	0.8486017015276719	33	False	/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv
fixed_calls_s_mean_zip_p1	plant0	plant	45	54	33	21	12	0.6111111111111112	0.7333333333333333	0.6666666666666666	33	0.7273589956080311	0.849168148240612	33	False	/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv
minco_split_exact_direct_ani0.95	plant0	plant	45	48	24	24	21	0.5	0.5333333333333333	0.5161290322580646	45	1.3548358452506544	0.9905005078729536	24		/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv
minco_universal_exactsplit	plant0	plant	45	59	36	23	9	0.6101694915254238	0.8	0.6923076923076924	32	0.8041007386606189	0.8500898805192084	36		/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv
raw_unique95	plant0	plant	45	38	21	17	24	0.5526315789473685	0.4666666666666667	0.5060240963855421	41	1.4054799225616943	0.9942760257156448	21		/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv
sylph	plant0	plant	45	56	32	24	13	0.5714285714285714	0.7111111111111111	0.6336633663366337	37	1.2660519367592542	0.454534169312248	32		/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv
fixed_calls_max_su_mean_zip_p1	plant1	plant	47	59	35	24	12	0.5932203389830508	0.7446808510638298	0.6603773584905661	36	0.5306823889492918	0.9937173051935232	35	False	/tmp/minco_exactsplit_universal_20260626/plant1_exactsplit_score.tsv
fixed_calls_s_mean_zip_p1	plant1	plant	47	59	35	24	12	0.5932203389830508	0.7446808510638298	0.6603773584905661	36	0.5289578080252769	0.9937920754884788	35	False	/tmp/minco_exactsplit_universal_20260626/plant1_exactsplit_score.tsv
minco_split_exact_direct_ani0.95	plant1	plant	47	47	26	21	21	0.5531914893617021	0.5531914893617021	0.5531914893617021	42	0.6734659429642965	0.9995158346769718	26		/tmp/minco_exactsplit_universal_20260626/plant1_exactsplit_score.tsv
minco_universal_exactsplit	plant1	plant	47	60	39	21	8	0.65	0.8297872340425532	0.7289719626168223	29	0.3420351751599297	0.9776883812355188	39		/tmp/minco_exactsplit_universal_20260626/plant1_exactsplit_score.tsv
