method_minco	sample_key	dataset	gold_taxa_minco	pred_taxa_minco	TP_minco	FP_minco	FN_minco	precision_minco	recall_minco	F1_minco	FP_plus_FN_minco	L1_minco	Pearson_minco	tp_abundance_n_minco	raw_unique_fallback_minco	source_file_minco	method_sylph	gold_taxa_sylph	pred_taxa_sylph	TP_sylph	FP_sylph	FN_sylph	precision_sylph	recall_sylph	F1_sylph	FP_plus_FN_sylph	L1_sylph	Pearson_sylph	tp_abundance_n_sylph	raw_unique_fallback_sylph	source_file_sylph	delta_F1_minco_minus_sylph	delta_L1_minco_minus_sylph	delta_Pearson_minco_minus_sylph
minco_universal_exactsplit	hmp_gastrooral6	hmp_gastrooral	46	48	38	10	8	0.7916666666666666	0.8260869565217391	0.8085106382978724	18	0.561430025671431	0.9936630562148054	38		/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv	sylph	46	44	40	4	6	0.9090909090909092	0.8695652173913043	0.888888888888889	10	0.4983849038592995	0.9989405482995176	40		/tmp/minco_exactsplit_universal_20260626/hmp_gastrooral6_exactsplit_score.tsv	-0.08037825059101655	0.06304512181213145	-0.0052774920847121765
minco_universal_exactsplit	plant0	plant	45	59	36	23	9	0.6101694915254238	0.8	0.6923076923076924	32	0.8041007386606189	0.8500898805192084	36		/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv	sylph	45	56	32	24	13	0.5714285714285714	0.7111111111111111	0.6336633663366337	37	1.2660519367592542	0.454534169312248	32		/tmp/minco_exactsplit_universal_20260626/plant0_exactsplit_score.tsv	0.05864432597105873	-0.4619511980986353	0.3955557112069604
minco_universal_exactsplit	plant1	plant	47	60	39	21	8	0.65	0.8297872340425532	0.7289719626168223	29	0.3420351751599297	0.9776883812355188	39		/tmp/minco_exactsplit_universal_20260626/plant1_exactsplit_score.tsv	sylph	47	58	34	24	13	0.5862068965517241	0.723404255319149	0.6476190476190475	37	0.5640441039693747	0.9583263521792778	34		/tmp/minco_exactsplit_universal_20260626/plant1_exactsplit_score.tsv	0.08135291499777475	-0.22200892880944495	0.01936202905624107
minco_universal_exactsplit	plant2	plant	37	43	27	16	10	0.627906976744186	0.7297297297297297	0.675	26	0.6774773495700512	0.8189801869506176	27		/tmp/minco_exactsplit_universal_20260626/plant2_exactsplit_score.tsv	sylph	37	48	22	26	15	0.4583333333333333	0.5945945945945946	0.5176470588235293	41	1.2491427009257017	0.5756133494840749	22		/tmp/minco_exactsplit_universal_20260626/plant2_exactsplit_score.tsv	0.1573529411764707	-0.5716653513556504	0.24336683746654264
minco_universal_exactsplit	plant_holdout3	plant_holdout	85	80	51	29	34	0.6375	0.6	0.6181818181818182	63	1.0469200616844558	0.9921425285240928	51		/tmp/minco_exactsplit_universal_20260626/plant_holdout3_exactsplit_score.tsv	sylph	85	78	47	31	38	0.6025641025641025	0.5529411764705883	0.5766871165644172	69	1.2549010762416108	0.502593611847573	47		/tmp/minco_exactsplit_universal_20260626/plant_holdout3_exactsplit_score.tsv	0.041494701617400986	-0.207981014557155	0.4895489166765198
minco_universal_exactsplit	plant_holdout4	plant_holdout	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	60	0.473699158818723	0.9981029922806186	51		/tmp/minco_exactsplit_universal_20260626/plant_holdout4_exactsplit_score.tsv	sylph	84	76	50	26	34	0.6578947368421053	0.5952380952380952	0.625	60	0.7199828174928432	0.9396963582719068	50		/tmp/minco_exactsplit_universal_20260626/plant_holdout4_exactsplit_score.tsv	0.00462962962962965	-0.24628365867412022	0.05840663400871182
minco_universal_exactsplit	plant_holdout5	plant_holdout	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	49	0.9483396147682904	0.776817125884747	35		/tmp/minco_exactsplit_universal_20260626/plant_holdout5_exactsplit_score.tsv	sylph	55	62	35	27	20	0.5645161290322581	0.6363636363636364	0.5982905982905983	47	1.2351183609021776	0.3914548012647929	35		/tmp/minco_exactsplit_universal_20260626/plant_holdout5_exactsplit_score.tsv	-0.010055304172951085	-0.2867787461338872	0.3853623246199542
minco_universal_exactsplit	strain0	strain	20	14	8	6	12	0.5714285714285714	0.4	0.4705882352941176	18	0.6538287291428432	0.8939718661852695	8		/tmp/minco_exactsplit_universal_20260626/strain0_exactsplit_score.tsv	sylph	20	18	11	7	9	0.6111111111111112	0.55	0.5789473684210527	16	0.1882811084018584	0.9896572560806316	11		/tmp/minco_exactsplit_universal_20260626/strain0_exactsplit_score.tsv	-0.10835913312693507	0.46554762074098477	-0.09568538989536213
minco_universal_exactsplit	strain1	strain	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	13	0.8734446798401098	0.7930644499006304	15		/tmp/minco_exactsplit_universal_20260626/strain1_exactsplit_score.tsv	sylph	20	25	11	14	9	0.44	0.55	0.4888888888888889	23	0.3335852797876767	0.9943500224391076	11		/tmp/minco_exactsplit_universal_20260626/strain1_exactsplit_score.tsv	0.2087855297157623	0.539859400052433	-0.20128557253847723
minco_universal_exactsplit	strain2	strain	20	19	14	5	6	0.7368421052631579	0.7	0.717948717948718	11	0.7520632692341465	0.784428637334301	14		/tmp/minco_exactsplit_universal_20260626/strain2_exactsplit_score.tsv	sylph	20	15	9	6	11	0.6	0.45	0.5142857142857143	17	0.087134539456747	0.99800943478321	9		/tmp/minco_exactsplit_universal_20260626/strain2_exactsplit_score.tsv	0.2036630036630036	0.6649287297773995	-0.213580797448909
minco_universal_exactsplit	toy0	toy_gut	108	47	34	13	74	0.723404255319149	0.3148148148148148	0.4387096774193549	87	1.912186107521461	-0.167842911952701	34		/tmp/minco_exactsplit_universal_20260626/toy0_exactsplit_score.tsv	sylph	108	70	57	13	51	0.8142857142857143	0.5277777777777778	0.6404494382022472	64	0.5166782591394675	0.9955604616621608	57		/tmp/minco_exactsplit_universal_20260626/toy0_exactsplit_score.tsv	-0.2017397607828923	1.3955078483819934	-1.163403373614862
