sample	source_genome_id	species_label	recommended_gtdb_species	recommended_resolution_rule	gtdb_binomial_species_count	taxid_gtdb_species_count	ncbi_name_gtdb_species_count	prior_wgs_or_unique_taxid_rows	prior_mapped_gtdb_species	fallback_added_rows	source_priority_case	source_priority_ok
0	ASV783.5	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		137208	unmapped_source	true
0	ASV134.7	Bacteroides fragilis	s__Bacteroides fragilis	unique_gtdb_binomial	1	22	22	0		104128	unmapped_source	true
0	ASV476.8	Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	1	9	9	649372	s__Clostridioides difficile	84300	same_species_remainder	true
0	ASV607.0	Veillonella parvula	s__Veillonella parvula	unique_gtdb_binomial	1	28	28	0		29434	unmapped_source	true
0	ASV444.5	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	1	4	4	0		28894	unmapped_source	true
0	ASV71.10	Bifidobacterium bifidum	s__Bifidobacterium bifidum	unique_gtdb_binomial	1	3	3	0		6846	unmapped_source	true
0	ASV74.2	Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	1	11	11	0		1516	unmapped_source	true
0	ASV670.1	Comamonas kerstersii	s__Comamonas kerstersii	unique_gtdb_binomial	1	2	2	0		1136	unmapped_source	true
0	ASV156.5	Bacteroides intestinalis	s__Bacteroides intestinalis	unique_gtdb_binomial	1	7	7	0		1094	unmapped_source	true
0	ASV577.0	Acidaminococcus intestini	s__Acidaminococcus intestini	unique_gtdb_binomial	1	5	5	0		708	unmapped_source	true
0	ASV627.1	Fusobacterium polymorphum	s__Fusobacterium polymorphum	unique_gtdb_binomial	1	3	3	0		546	unmapped_source	true
0	ASV676.10	Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	1	11	11	0		512	unmapped_source	true
0	ASV790.3	Pseudomonas aeruginosa	s__Pseudomonas aeruginosa	unique_gtdb_binomial	1	5	5	0		502	unmapped_source	true
0	ASV368.3	Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	1	9	9	0		328	unmapped_source	true
0	ASV709.10	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		194	unmapped_source	true
0	ASV737.3	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		194	unmapped_source	true
0	ASV592.0	Megasphaera elsdenii	s__Megasphaera elsdenii	unique_gtdb_binomial	1	5	5	0		188	unmapped_source	true
0	ASV348.5	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		184	unmapped_source	true
1	ASV134.7	Bacteroides fragilis	s__Bacteroides fragilis	unique_gtdb_binomial	1	22	22	0		280814	unmapped_source	true
1	ASV476.8	Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	1	9	9	1221964	s__Clostridioides difficile	158700	same_species_remainder	true
1	ASV444.5	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	1	4	4	0		24668	unmapped_source	true
1	ASV71.10	Bifidobacterium bifidum	s__Bifidobacterium bifidum	unique_gtdb_binomial	1	3	3	0		22762	unmapped_source	true
1	ASV815.4	Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	1	9	9	0		8132	unmapped_source	true
1	ASV670.1	Comamonas kerstersii	s__Comamonas kerstersii	unique_gtdb_binomial	1	2	2	0		7870	unmapped_source	true
1	ASV709.10	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		4324	unmapped_source	true
1	ASV783.5	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		4308	unmapped_source	true
1	ASV368.3	Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	1	9	9	0		3176	unmapped_source	true
1	ASV577.0	Acidaminococcus intestini	s__Acidaminococcus intestini	unique_gtdb_binomial	1	5	5	0		2808	unmapped_source	true
1	ASV676.10	Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	1	11	11	0		818	unmapped_source	true
1	ASV675.7	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		704	unmapped_source	true
1	ASV671.4	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		648	unmapped_source	true
1	ASV689.9	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		646	unmapped_source	true
1	ASV74.2	Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	1	11	11	0		506	unmapped_source	true
1	ASV395.17	Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	1	11	11	0		312	unmapped_source	true
1	ASV357.0	Hungatella hathewayi	s__Hungatella hathewayi	unique_gtdb_binomial	1	6	6	0		254	unmapped_source	true
1	ASV627.1	Fusobacterium polymorphum	s__Fusobacterium polymorphum	unique_gtdb_binomial	1	3	3	0		246	unmapped_source	true
2	ASV466.9	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	1	4	4	0		402874	unmapped_source	true
2	ASV577.0	Acidaminococcus intestini	s__Acidaminococcus intestini	unique_gtdb_binomial	1	5	5	0		371112	unmapped_source	true
2	ASV627.8	Fusobacterium polymorphum	s__Fusobacterium polymorphum	unique_gtdb_binomial	1	3	3	0		18528	unmapped_source	true
