sample	source_genome_id	taxid	read_rows	primary_mapping_method	primary_mapping_read_rows	wgs_prefix_read_rows	unique_taxid_read_rows	unmapped_read_rows
0	ASV1.11	216816	2900	wgs_prefix	2900	2900	0	0
0	ASV10.0	103621	2280	wgs_prefix	2280	2280	0	0
0	ASV101.4	820	11676	wgs_prefix	11676	11676	0	0
0	ASV102.10	818	1432884	wgs_prefix	1432884	1432884	0	0
0	ASV12.3	28026	336	wgs_prefix	336	336	0	0
0	ASV124.5	821	24320	wgs_prefix	24320	24320	0	0
0	ASV134.7	817	104128	unmapped	104128	0	0	104128
0	ASV137.1	544644	49300	wgs_prefix	49300	49300	0	0
0	ASV139.5	28118	166	wgs_prefix	166	166	0	0
0	ASV149.0	762982	8834646	unique_taxid	8834646	0	8834646	0
0	ASV150.14	28116	1154044	wgs_prefix	1154044	1154044	0	0
0	ASV153.8	818	437894	wgs_prefix	437894	437894	0	0
0	ASV154.6	2293124	200	wgs_prefix	200	200	0	0
0	ASV156.5	329854	1094	unmapped	1094	0	0	1094
0	ASV166.0	328813	358	wgs_prefix	358	358	0	0
0	ASV173.0	46503	344	wgs_prefix	344	344	0	0
0	ASV174.18	823	141618	wgs_prefix	141618	141618	0	0
0	ASV178.5	820	190	wgs_prefix	190	190	0	0
0	ASV19.14	1680	254	wgs_prefix	254	254	0	0
0	ASV221.15	666	436	wgs_prefix	436	436	0	0
0	ASV222.0	1309	3808	wgs_prefix	3808	3808	0	0
0	ASV227.0	29391	394	wgs_prefix	394	394	0	0
0	ASV23.7	1685	41680	wgs_prefix	41680	41680	0	0
0	ASV245.8	1318	1956	wgs_prefix	1956	1956	0	0
0	ASV255.2	1351	794	wgs_prefix	794	794	0	0
0	ASV257.1	1351	104	wgs_prefix	104	104	0	0
0	ASV258.8	1354	97122	wgs_prefix	97122	97122	0	0
0	ASV265.0	1584	538	wgs_prefix	538	538	0	0
0	ASV266.11	3143214	769598	wgs_prefix	769598	769598	0	0
0	ASV284.4	1583	108396	wgs_prefix	108396	108396	0	0
0	ASV286.1	1304	234	wgs_prefix	234	234	0	0
0	ASV287.1	1940789	1366	wgs_prefix	1366	1366	0	0
0	ASV290.6	1304	234316	wgs_prefix	234316	234316	0	0
0	ASV297.4	2763658	236	wgs_prefix	236	236	0	0
0	ASV300.2	2293016	297736	wgs_prefix	297736	297736	0	0
0	ASV300.8	29363	773386	wgs_prefix	773386	773386	0	0
0	ASV305.7	1496	170	wgs_prefix	170	170	0	0
0	ASV309.7	1496	2586	wgs_prefix	2586	2586	0	0
0	ASV316.11	37734	140	wgs_prefix	140	140	0	0
0	ASV324.5	1297617	1448	wgs_prefix	1448	1448	0	0
0	ASV329.2	626937	38576	unique_taxid	38576	0	38576	0
0	ASV334.1	2293045	4150	wgs_prefix	4150	4150	0	0
0	ASV337.1	2292004	114354	wgs_prefix	114354	114354	0	0
0	ASV341.3	2293000	860	wgs_prefix	860	860	0	0
0	ASV347.10	2990469	388	unique_taxid	388	0	388	0
0	ASV348.5	562	184	unmapped	184	0	0	184
0	ASV364.1	1776384	654	unmapped	654	0	0	654
0	ASV368.3	1496	328	unmapped	328	0	0	328
0	ASV371.2	2981771	5386	wgs_prefix	5386	5386	0	0
0	ASV372.2	2041044	41554	wgs_prefix	41554	41554	0	0
0	ASV373.9	244366	1476	wgs_prefix	1476	1476	0	0
0	ASV374.3	1351	762	wgs_prefix	762	762	0	0
0	ASV380.3	2293107	106	wgs_prefix	106	106	0	0
0	ASV385.7	1351	450	wgs_prefix	450	450	0	0
0	ASV387.0	1912855	1766260	wgs_prefix	1766260	1766260	0	0
