sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	pred_rows_unmapped
0	minco_universal_autoexact_gtdb_transfer	31	21	19	2	12	0.9047619047619048	0.6129032258064516	0.7307692307692307	61.20963135844283	60.91653630074709	0.9473565952200895	0.947366720033429	94	73
0	sylph_gtdb_transfer	31	71	23	48	8	0.323943661971831	0.7419354838709677	0.45098039215686275	101.88367256205015	51.43822300749973	0.9298670287935876	0.9995538723836163	71	0
1	minco_universal_autoexact_gtdb_transfer	37	25	24	1	13	0.96	0.6486486486486487	0.7741935483870968	96.41551008056732	96.02479268939618	0.7947798744492617	0.7946093430328882	99	74
1	sylph_gtdb_transfer	37	78	25	53	12	0.32051282051282054	0.6756756756756757	0.4347826086956522	139.88660853697445	70.96386392325135	0.6775350882388789	0.9983009744897822	78	0
2	minco_universal_autoexact_gtdb_transfer	31	20	18	2	13	0.9	0.5806451612903226	0.7058823529411764	52.59039494838649	45.670600790919515	0.9068433584040012	0.9178882597685515	115	95
2	sylph_gtdb_transfer	31	67	19	48	12	0.2835820895522388	0.6129032258064516	0.38775510204081626	144.29766965397067	75.70643247149629	0.35033168890892796	0.87339789258749	67	0
3	minco_universal_autoexact_gtdb_transfer	31	20	19	1	12	0.95	0.6129032258064516	0.7450980392156863	134.69538292268405	67.46499808727219	0.0365399166451866	0.7739758716092802	80	60
3	sylph_gtdb_transfer	31	74	21	53	10	0.28378378378378377	0.6774193548387096	0.4	175.42478198657702	87.73186967948934	0.04054389293693508	0.997448498790093	74	0
4	minco_universal_autoexact_gtdb_transfer	28	13	12	1	16	0.9230769230769231	0.42857142857142855	0.5853658536585366	10.798247322615074	10.795663020781483	0.9935532931235678	0.9935160403556402	64	51
4	sylph_gtdb_transfer	28	72	20	52	8	0.2777777777777778	0.7142857142857143	0.4	159.38855777135814	82.71273444718148	0.23913904910566725	0.9344217447890467	72	0
5	minco_universal_autoexact_gtdb_transfer	31	17	16	1	15	0.9411764705882353	0.5161290322580645	0.6666666666666666	92.3379709429454	46.693935863620325	0.43651714347636394	0.977699716488881	75	58
5	sylph_gtdb_transfer	31	77	19	58	12	0.24675324675324675	0.6129032258064516	0.35185185185185186	147.50925445149744	73.77238071462368	0.3285447063747485	0.9996976716339352	77	0
