gtdb_species	sample	abundance_pct_all	source_taxids	truth_names	truth_abundance
s__Actinomyces urogenitalis	0	0.0054	103621	Actinomyces urogenitalis	0.00021645976053136863
s__Aeromonas sp023093515	0	0.0007	3086176	Aeromonas genomosp. paramedia	2.805959858739964e-05
s__Agathobaculum butyriciproducens	0	0.2235	2292004	Butyricicoccus sp. AM05-1	0.008959028977548312
s__Bacteroides uniformis	0	0.0002	585543	Bacteroides sp. D20	8.017028167828468e-06
s__Bifidobacterium bifidum	0	0.0002	2922858	Bifidobacterium sp. TKU	8.017028167828468e-06
s__Blautia_A faecis	0	2.7667	2787121,2986996	Ruminococcus sp. 1001136B_160425_D2;Ruminococcus sp. 1001136sp1	0.11090355915965512
s__Christensenella minuta	0	0.086	626937	Christensenella minuta	0.0034473221121662408
s__Coprococcus ammoniilyticus	0	0.0108	2293000,2293045	Clostridium sp. AF17-2;Clostridium sp. OM05-9	0.00043291952106273726
s__Cutibacterium avidum	0	0.0005	33010	Cutibacterium avidum	2.004257041957117e-05
s__Desulfovibrio fairfieldensis	0	0.1837	665942	Desulfovibrio sp. 6_1_46AFAA	0.007363640372150448
s__Eggerthella lenta	0	0.0157	2584638	Eggerthella sp. BIOML-A1	0.0006293367111745347
s__Eisenbergiella porci	0	0.0345	2652274	Eisenbergiella porci	0.0013829373589504107
s__Eubacterium maltosivorans	0	0.0616	2041044	Eubacterium maltosivorans	0.002469244675691168
s__Eubacterium_G sp000435815	0	0.0002	2293107	Eubacterium sp. AF34-35BH	8.017028167828468e-06
s__Faecalibacterium taiwanense	0	3.9798999999999998	2302955,2817018	Faecalibacterium sp. AF10-46;Faecalibacterium sp. Marseille-Q4896	0.15953485202570258
s__Kingella kingae	0	0.0002	504	Kingella kingae	8.017028167828468e-06
s__Lachnoanaerobaculum sp000296385	0	0.0005	936595	Lachnoanaerobaculum sp. OBRC5-5	2.004257041957117e-05
s__Lacticaseibacillus rhamnosus	0	0.0063	47715	Lacticaseibacillus rhamnosus	0.00025253638728659676
s__Lactobacillus paragasseri	0	2.3304	3143214	Lactobacillus sp. RTP31084st1_D4_RTP31084_210423	0.0934144122115373
s__Lactococcus petauri	0	0.0042	1940789	Lactococcus petauri	0.00016835759152439782
s__Laedolimicola ammoniilytica	0	0.0094	2981771	Laedolimicola ammoniilytica	0.000376800323887938
s__Ligaoa zhengdingensis	0	0.0005	2763658	Ligaoa zhengdingensis	2.004257041957117e-05
s__Longicatena caecimuris	0	0.0333	1796635	Longicatena caecimuris	0.00133483518994344
s__Megamonas funiformis	0	0.0009	437897	Megamonas funiformis	3.6076626755228105e-05
s__Oscillibacter welbionis	0	0.3067	2109687	Oscillibacter sp. PEA192	0.012294112695364954
s__Parabacteroides distasonis	0	0.0002	2293124	Parabacteroides sp. OF04-13BH	8.017028167828468e-06
s__Paraprevotella xylaniphila	0	14.4335	454155	Paraprevotella xylaniphila	0.578568880301761
s__Parolsenella catena	0	0.0002	2003188	Parolsenella catena	8.017028167828468e-06
