method	sample_key	dataset	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	FP_plus_FN	L1	Pearson	tp_abundance_n	added	abundance_mode	source	p_extra	count_ratio	base_n	prob035_n	old_mode	median_uaf	tail_rule_triggered	tail_rescue_added_n	tail_rescue_median_uaf_threshold	tail_rescue_probability_threshold	prob_min	s_xny_min	s_ani_min	s_af_min	s_breadth_min	s_mean_depth_min	topn_per_genus
baseline_tail_low_uaf_probability	marine0	marine	256	277	229	48	27	0.8267148014440433	0.89453125	0.8592870544090057	75	0.2624263789151899	0.9909093904641268	229	0	tail_safe	cached20	0.02106340518705175	1.0905511811023623	254	277	probability	0.302	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	marine0	marine	256	278	229	49	27	0.8237410071942446	0.89453125	0.8576779026217228	76	0.2691055939827204	0.9909093904641273	229	1	tail_safe	cached20	0.02106340518705175	1.0905511811023623	254	277	probability	0.302	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	marine0	marine	256	278	229	49	27	0.8237410071942446	0.89453125	0.8576779026217228	76	0.2890985055603462	0.9870246146645517	229	1	zip_p025	cached20	0.02106340518705175	1.0905511811023623	254	277	probability	0.302	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	marine1	marine	300	321	270	51	30	0.8411214953271028	0.9	0.8695652173913043	81	0.24646373375421468	0.9938344943584109	270	0	tail_safe	cached20	0.016007104971357593	1.07	300	321	probability	0.332	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	marine1	marine	300	325	270	55	30	0.8307692307692308	0.9	0.8640000000000001	85	0.2607223999726721	0.9938344943584103	270	4	tail_safe	cached20	0.016007104971357593	1.07	300	321	probability	0.332	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	marine1	marine	300	325	270	55	30	0.8307692307692308	0.9	0.8640000000000001	85	0.2798567323370525	0.9883857954401841	270	4	zip_p025	cached20	0.016007104971357593	1.07	300	321	probability	0.332	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	marine2	marine	274	292	240	52	34	0.821917808219178	0.8759124087591241	0.8480565371024735	86	0.2608710212137742	0.9961318188898333	240	0	tail_safe	cached20	0.02015818495467747	1.0503597122302157	278	292	probability	0.3365	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	marine2	marine	274	297	240	57	34	0.8080808080808081	0.8759124087591241	0.840630472854641	91	0.27990945499454023	0.9961318188898328	240	5	tail_safe	cached20	0.02015818495467747	1.0503597122302157	278	292	probability	0.3365	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	marine2	marine	274	297	240	57	34	0.8080808080808081	0.8759124087591241	0.840630472854641	91	0.29861589787064513	0.9939709116329236	240	5	zip_p025	cached20	0.02015818495467747	1.0503597122302157	278	292	probability	0.3365	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	toy0	toy_gut	108	60	52	8	56	0.8666666666666667	0.48148148148148145	0.6190476190476191	64	0.6327178700918121	0.9994484326422474	52	0	tail_safe	cached20	0.11122833021647703	1.1764705882352942	51	60	probability	0.211	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
