sample	source_genome_id	source_profile_taxid	species_taxid	species_label	abundance_pct_all	profile_scope	taxpathsn	recommended_gtdb_species	recommended_resolution_rule	taxid_gtdb_species_count	ncbi_name_gtdb_species_count	gtdb_binomial_species_count
3	ASV487.6	1160721.1	1160721	Ruminococcus bicirculans (ex Wegman et al. 2014)	9.9927	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminococcus|Ruminococcus bicirculans (ex Wegman et al. 2014)|Ruminococcus bicirculans (ex Wegman et al. 2014) strain		unresolved	14	14	0
3	ASV102.2	817.1	817	Bacteroides fragilis	4.1547	gtdb_profile_scope	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides fragilis|Bacteroides fragilis strain	s__Bacteroides fragilis	unique_gtdb_binomial	22	22	1
3	vASV46.0	2892346.1	213769	Skunavirus sv712	3.0686	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv712|Lactococcus phage 712 strain		out_of_scope	0	0	0
3	hvASV7.0	3052041.1	3052041	Bocaparvovirus primate2	2.5594	out_of_scope	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Quintoviricetes|Piccovirales|Parvoviridae|Bocaparvovirus|Bocaparvovirus primate2|Bocaparvovirus primate2 strain		out_of_scope	0	0	0
3	ASV743.2	562.6	562	Escherichia coli	2.3123	gtdb_profile_scope	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli|Escherichia coli strain	s__Escherichia coli	unique_gtdb_binomial	51	51	1
3	ASV436.0	89153.1	89153	[Clostridium] hylemonae	2.0605	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium|[Clostridium] hylemonae|[Clostridium] hylemonae strain		unresolved	2	2	0
3	vASV75.0	1041524.1	1985722	Przondovirus K30	2.0378	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales|Autotranscriptaviridae|Przondovirus|Przondovirus K30|Escherichia phage K30 strain		out_of_scope	0	0	0
3	hvASV29.0	2844803.1	2844803	Gyrovirus homsa2	2.0062	out_of_scope	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae|Gyrovirus|Gyrovirus homsa2|Gyrovirus homsa2 strain		out_of_scope	0	0	0
3	vASV95.0	1437363.1	2843978	Sherbrookevirus CDHM13	1.965	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Sherbrookevirus|Sherbrookevirus CDHM13|Clostridium phage phiCDHM13 strain		out_of_scope	0	0	0
3	pASV33	45202.34	45202	unidentified plasmid	1.8934	out_of_scope	other entries||||||||unidentified plasmid|unidentified plasmid strain		out_of_scope	0	0	0
3	ASV540.10	1304.19	1304	Streptococcus salivarius	1.7421	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus salivarius|Streptococcus salivarius strain	s__Streptococcus salivarius	unique_gtdb_binomial	10	10	1
3	vASV84.0	2589652.1	2844204	Henuseptimavirus henu7	1.7166	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Drexlerviridae|Henuseptimavirus|Henuseptimavirus henu7|Escherichia phage Henu7 strain		out_of_scope	0	0	0
3	ASV166.16	328813.3	328813	Alistipes onderdonkii	1.6528	gtdb_profile_scope	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes onderdonkii|Alistipes onderdonkii strain	s__Alistipes onderdonkii	unique_gtdb_binomial	17	17	1
3	vASV96.0	2029659.1	2845153	Skunavirus sv16802	1.5779	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv16802|Lactococcus phage 16802 strain		out_of_scope	0	0	0
3	hvASV41.0	1930509.1	1930509	Husavirus sp.	1.4684	out_of_scope	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales||Husavirus|Husavirus sp.|Husavirus sp. strain		out_of_scope	0	0	0
3	ASV73.2	626935.1	626935	Collinsella tanakaei	1.4074	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella|Collinsella tanakaei|Collinsella tanakaei strain	s__Collinsella tanakaei	unique_gtdb_binomial	7	7	1
3	ASV406.7	3144490.1	3144490	Blautia sp. 1033sp1_1033st1_G9_1033SCRN_220408	1.3267	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Blautia|Blautia sp. 1033sp1_1033st1_G9_1033SCRN_220408|Blautia sp. 1033sp1_1033st1_G9_1033SCRN_220408 strain	s__Blautia_A ammoniilytica	unique_species_taxid	1	1	0
3	ASV507.7	853.8	853	Faecalibacterium prausnitzii	1.2326	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Faecalibacterium|Faecalibacterium prausnitzii|Faecalibacterium prausnitzii strain	s__Faecalibacterium prausnitzii	unique_gtdb_binomial	57	57	1
3	vASV60.0	2576478.1	3428526	Epseptimavirus ev26175I	1.2026	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Demerecviridae|Epseptimavirus|Epseptimavirus ev26175I|Escherichia phage vB_EcoS-26175I strain		out_of_scope	0	0	0
3	ASV406.0	871665.1	871665	Blautia faecis	1.1189	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Blautia|Blautia faecis|Blautia faecis strain		unresolved	3	3	0
3	hvASV3.8	2029673.1	2845181	Skunavirus sv88605	1.1092	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv88605|Lactococcus phage 88605 strain		out_of_scope	0	0	0
3	ASV399.7	649756.3	649756	Anaerostipes hadrus	1.0936	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Anaerostipes|Anaerostipes hadrus|Anaerostipes hadrus strain	s__Anaerostipes hadrus	unique_gtdb_binomial	11	11	1
3	ASV829.7	239935.4	239935	Akkermansia muciniphila	1.0872	gtdb_profile_scope	cellular organisms|Bacteria|Pseudomonadati|Verrucomicrobiota|Verrucomicrobiia|Verrucomicrobiales|Akkermansiaceae|Akkermansia|Akkermansia muciniphila|Akkermansia muciniphila strain	s__Akkermansia muciniphila	unique_gtdb_binomial	110	110	1
3	ASV300.7	2293160.1	2293160	Ruminococcus sp. AF20-12LB	1.0698	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminococcus|Ruminococcus sp. AF20-12LB|Ruminococcus sp. AF20-12LB strain	s__Blautia_A sp005848555	unique_species_taxid	1	1	0
3	hvASV32.0	2021738.1	2021738	Hudisavirus sp.	1.0558	out_of_scope	Viruses||||||||Hudisavirus sp.|Hudisavirus sp. strain		out_of_scope	0	0	0
3	vASV5.0	665033.1	10677	Muvirus mu	0.9846	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Muvirus|Muvirus mu|Escherichia phage D108 strain		out_of_scope	0	0	0
3	hvASV8.3	2859655.1	3060551	Philippevirus philippe	0.9548	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Schitoviridae|Philippevirus|Philippevirus philippe|Stenotrophomonas phage Philippe strain		out_of_scope	0	0	0
3	vASV72.0	2986411.1	2955712	Cohcovirus splanchnicus	0.9359	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Suoliviridae|Cohcovirus|Cohcovirus splanchnicus|uncultured phage cr30_1 strain		out_of_scope	0	0	0
3	vASV100.0	1965472.1	2845189	Audreyjarvisvirus AM4	0.9345	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Audreyjarvisvirus|Audreyjarvisvirus AM4|Lactococcus phage AM4 strain		out_of_scope	0	0	0
3	ASV426.7	39486.3	39486	Dorea formicigenerans	0.9203	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Dorea|Dorea formicigenerans|Dorea formicigenerans strain	s__Dorea formicigenerans	unique_gtdb_binomial	3	3	1
3	ASV406.1	2292960.1	2292960	Blautia sp. AF19-1	0.8608	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Blautia|Blautia sp. AF19-1|Blautia sp. AF19-1 strain	s__Fusicatenibacter saccharivorans	unique_species_taxid	1	1	0
3	hvASV38.16	1414766.1	2734259	Murrayvirus EC2	0.8565	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Murrayvirus|Murrayvirus EC2|Enterobacteria phage IME_EC2 strain		out_of_scope	0	0	0
3	vASV15.0	1141139.1	2733583	Vectrevirus ACGC91	0.8325	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales|Autosignataviridae|Vectrevirus|Vectrevirus ACGC91|Escherichia phage vB_EcoP_ACG-C91 strain		out_of_scope	0	0	0
3	vASV23.0	1933774.1	3430497	Loudonvirus EC3a	0.8306	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Drexlerviridae|Loudonvirus|Loudonvirus EC3a|Escherichia phage vB_EcoS_CEB_EC3a strain		out_of_scope	0	0	0
3	vASV54.0	338106.1	1945585	Alphatrevirus NC28	0.8051	out_of_scope	Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Alphatrevirus|Alphatrevirus NC28|Escherichia phage NC28 strain		out_of_scope	0	0	0
3	vASV31.0	2681630.1	29252	Eganvirus ev186	0.7896	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Peduoviridae|Eganvirus|Eganvirus ev186|Escherichia phage 186 strain		out_of_scope	0	0	0
3	vASV33.0	2562174.1	3427486	Bimevirus IME346	0.7896	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Bimevirus|Bimevirus IME346|Klebsiella phage vB_KpnM_IME346 strain		out_of_scope	0	0	0
3	vASV73.0	1346893.1	2011078	Scuticavirus SMA6	0.7753	out_of_scope	Viruses|Monodnaviria|Loebvirae|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae|Scuticavirus|Scuticavirus SMA6|Stenotrophomonas phage SMA6 strain		out_of_scope	0	0	0
3	vASV34.0	2873413.1	2873413	Escherichia phage 26	0.7727	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Sarkviridae|Kagunavirus|Escherichia phage 26|Escherichia phage 26 strain		out_of_scope	0	0	0
3	hvASV11.0	3052121.1	3052121	Circovirus eniyan	0.739	out_of_scope	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|Circovirus|Circovirus eniyan|Circovirus eniyan strain		out_of_scope	0	0	0
3	hvASV30.0	2844805.1	2844805	Gyrovirus homsa4	0.7311	out_of_scope	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae|Gyrovirus|Gyrovirus homsa4|Gyrovirus homsa4 strain		out_of_scope	0	0	0
3	vASV76.0	2860374.1	3060722	Suseptimavirus IME267	0.7204	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Mktvariviridae|Suseptimavirus|Suseptimavirus IME267|Escherichia phage IME267 strain		out_of_scope	0	0	0
3	vASV7.0	948870.1	2956041	Justusliebigvirus phi92	0.6884	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Justusliebigvirus|Justusliebigvirus phi92|Escherichia phage phi92 strain		out_of_scope	0	0	0
3	hvASV2.1	2865806.1	3428256	Dhillonvirus CHD5UKE2	0.6511	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Dhillonvirus|Dhillonvirus CHD5UKE2|Escherichia phage vB_EcoS-CHD5UKE2 strain		out_of_scope	0	0	0
3	ASV397.2	39491.3	39491	Agathobacter rectalis	0.6246	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Agathobacter|Agathobacter rectalis|Agathobacter rectalis strain		unresolved	28	28	0
3	ASV174.3	823.2	823	Parabacteroides distasonis	0.6156	gtdb_profile_scope	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides distasonis|Parabacteroides distasonis strain	s__Parabacteroides distasonis	unique_gtdb_binomial	23	23	1
3	vASV40.0	2508195.1	3431624	Phapecoctavirus schickermooser	0.5482	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Phapecoctavirus|Phapecoctavirus schickermooser|Escherichia phage vB_EcoM_Schickermooser strain		out_of_scope	0	0	0
3	vASV25.0	338102.1	1945587	Alphatrevirus ID32	0.5414	out_of_scope	Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Alphatrevirus|Alphatrevirus ID32|Escherichia phage ID32 strain		out_of_scope	0	0	0
3	fASV1.1	1196081.1	1196081	Talaromyces amestolkiae	0.5327	out_of_scope	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Trichocomaceae|Talaromyces|Talaromyces amestolkiae|Talaromyces amestolkiae strain		out_of_scope	0	0	0
3	vASV49.0	2315629.1	3432849	Tlsvirus blueshaddow	0.5069	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Drexlerviridae|Tlsvirus|Tlsvirus blueshaddow|Citrobacter phage Sazh strain		out_of_scope	0	0	0
3	ASV515.1	1309.5	1309	Streptococcus mutans	0.4827	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus mutans|Streptococcus mutans strain	s__Streptococcus mutans	unique_gtdb_binomial	2	2	1
3	ASV442.9	1720300.1	1720300	Mediterraneibacter massiliensis	0.4795	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Mediterraneibacter|Mediterraneibacter massiliensis|Mediterraneibacter massiliensis strain	s__Mediterraneibacter massiliensis	unique_species_taxid	1	1	1
