sample	gtdb_species	abundance_pct_all	truth_abundance	source_genomes	source_genome_ids
3	s__Acidaminococcus intestini	0.1724	0.007151746453165186	1	ASV577.0
3	s__Actinomyces urogenitalis	0.0154	0.0006388451008047789	1	ASV10.0
3	s__Agathobaculum butyriciproducens	0.0954	0.003957520949141292	1	ASV337.1
3	s__Akkermansia muciniphila	1.0964999999999998	0.04548660084626233	3	ASV828.13,ASV829.7,ASV830.8
3	s__Akkermansia sp004167605	0.0009	3.733510329378578e-05	1	ASV827.0
3	s__Alistipes onderdonkii	1.6569	0.06873392516385962	2	ASV165.0,ASV166.16
3	s__Anaerococcus vaginalis	0.0026	0.00010785696507093669	1	ASV615.1
3	s__Anaeromassilibacillus stercoravium	0.0006	2.4890068862523848e-05	1	ASV498.1
3	s__Anaerostipes hadrus	1.0936	0.045366298846760134	1	ASV399.7
3	s__Anaerotruncus colihominis	0.0035	0.00014519206836472248	1	ASV499.2
3	s__Bacteroides cellulosilyticus	0.0058	0.0002406039990043972	1	ASV101.0
3	s__Bacteroides fragilis	4.1553	0.17237617190740895	3	ASV102.2,ASV194.9,ASV606.9
3	s__Bacteroides ovatus	0.016700000000000003	0.0006927735833402474	4	ASV134.1,ASV150.2,ASV96.12,ASV99.0
3	s__Bacteroides thetaiotaomicron	0.0024	9.956027545009539e-05	4	ASV148.12,ASV153.6,ASV156.7,ASV585.9
3	s__Barnesiella intestinihominis	0.0003	1.2445034431261924e-05	1	ASV127.7
3	s__Bifidobacterium angulatum	0.0006	2.4890068862523848e-05	1	ASV35.0
3	s__Bifidobacterium animalis	0.0029	0.0001203019995021986	1	ASV61.11
3	s__Bifidobacterium bifidum	0.0003	1.2445034431261924e-05	1	ASV49.7
3	s__Bifidobacterium catenulatum	0.0088	0.0003650543433170165	2	ASV19.6,ASV88.8
3	s__Bifidobacterium longum	0.010199999999999999	0.00042313117066290545	5	ASV23.2,ASV60.14,ASV67.4,ASV8.0,ASV80.0
3	s__Bifidobacterium pseudocatenulatum	0.005899999999999999	0.0002447523438148178	4	ASV62.4,ASV64.9,ASV71.8,ASV87.9
3	s__Blautia_A ammoniilytica	1.3267	0.05503609059985066	1	ASV406.7
3	s__Blautia_A hydrogenotrophica	0.378	0.015680743383390025	1	ASV410.0
3	s__Blautia_A sp005848555	1.0698	0.04437899278188003	1	ASV300.7
3	s__Christensenella minuta	0.3399	0.014100224010619762	1	ASV329.2
3	s__Clostridioides difficile	0.0236	0.0009790093752592714	1	ASV486.9
3	s__Clostridium paraputrificum	0.007	0.00029038413672944496	1	ASV334.4
3	s__Clostridium tertium	0.0032	0.00013274703393346054	1	ASV504.8
3	s__Collinsella tanakaei	1.4074	0.058383804861860115	1	ASV73.2
3	s__Corynebacterium hesseae	0.0012	4.9780137725047696e-05	1	ASV31.1
3	s__Desulfovibrio fairfieldensis	0.0003	1.2445034431261924e-05	1	ASV714.0
3	s__Dorea formicigenerans	0.9203	0.038177217290301164	1	ASV426.7
3	s__Eggerthella lenta	0.1264	0.005243507840371692	2	ASV81.10,ASV86.2
3	s__Enterocloster bolteae	0.0157	0.0006512901352360407	1	ASV447.2
3	s__Enterococcus faecalis	0.0033	0.00013689537874388117	3	ASV497.8,ASV576.14,ASV596.10
3	s__Enterococcus_B durans	0.0003	1.2445034431261924e-05	1	ASV420.7
3	s__Escherichia coli	2.3429000000000006	0.09719157056334525	7	ASV331.10,ASV418.2,ASV495.16,ASV677.5,ASV729.10,ASV74.8,ASV743.2
3	s__Eubacterium_G segne	0.0003	1.2445034431261924e-05	1	ASV380.6
3	s__Faecalibacillus faecis	0.0207	0.0008587073757570728	1	ASV222.14
3	s__Faecalibacterium prausnitzii	1.2326	0.05113249813324483	1	ASV507.7
3	s__Faecalicoccus pleomorphus	0.157	0.006512901352360408	2	ASV545.10,ASV547.0
3	s__Faecalitalea cylindroides	0.0198	0.0008213722724632872	1	ASV563.0
3	s__Finegoldia magna	0.0003	1.2445034431261924e-05	1	ASV617.0
3	s__Fusicatenibacter saccharivorans	1.1048	0.04583091346552725	2	ASV406.1,ASV431.3
3	s__Fusobacterium nucleatum	0.0003	1.2445034431261924e-05	1	ASV630.10
3	s__Fusobacterium_A hominis	0.0015	6.222517215630963e-05	1	ASV627.14
3	s__Gemella morbillorum	0.0006	2.4890068862523848e-05	1	ASV227.0
3	s__Holdemanella biformis	0.0006	2.4890068862523848e-05	1	ASV564.0
3	s__Holdemania massiliensis	0.0076	0.0003152742055919688	1	ASV565.1
3	s__Intestinibacter bartlettii	0.051500000000000004	0.0021363975773666306	2	ASV476.9,ASV481.4
3	s__Intestinimonas butyriciproducens	0.0111	0.0004604662739566913	1	ASV324.5
3	s__Klebsiella aerogenes	0.0009	3.733510329378578e-05	1	ASV506.3
3	s__Klebsiella michiganensis	0.0003	1.2445034431261924e-05	1	ASV710.0
3	s__Klebsiella oxytoca	0.0126	0.0005226914461130009	2	ASV1.9,ASV689.12
3	s__Klebsiella pneumoniae	0.0034999999999999996	0.00014519206836472245	4	ASV219.10,ASV472.11,ASV741.7,ASV789.1
3	s__Lacticaseibacillus paracasei	0.0003	1.2445034431261924e-05	1	ASV265.16
3	s__Lacticaseibacillus rhamnosus	0.023	0.0009541193063967476	2	ASV385.9,ASV550.3
3	s__Lactiplantibacillus plantarum	0.0003	1.2445034431261924e-05	1	ASV602.9
3	s__Lactobacillus acidophilus	0.0425	0.001763046544428773	3	ASV374.8,ASV491.8,ASV520.10
3	s__Lactobacillus gasseri	0.0029	0.0001203019995021986	1	ASV266.10
3	s__Lactobacillus panisapium	0.0058	0.0002406039990043972	1	ASV266.8
3	s__Lactobacillus paragasseri	0.0047	0.00019497220608977018	1	ASV266.3
3	s__Lactococcus lactis	0.0273	0.0011324981332448353	1	ASV287.11
3	s__Ligilactobacillus ruminis	0.0006	2.4890068862523848e-05	1	ASV493.9
3	s__Ligilactobacillus salivarius	0.0064	0.0002654940678669211	1	ASV570.2
3	s__Mediterraneibacter gnavus	0.1077	0.004467767360823031	4	ASV297.3,ASV444.0,ASV451.3,ASV466.4
3	s__Mediterraneibacter massiliensis	0.4795	0.019891313365966976	1	ASV442.9
3	s__Megamonas funiformis	0.37920000000000004	0.015730523521115074	2	ASV575.3,ASV582.2
3	s__Odoribacter splanchnicus	0.0893	0.0037044719157056333	1	ASV139.5
3	s__Oscillibacter welbionis	0.0654	0.0027130175060151	1	ASV470.1
3	s__Parabacteroides distasonis	0.6162000000000001	0.025562100721812	2	ASV173.5,ASV174.3
3	s__Parolsenella catena	0.1774	0.007359163693686219	1	ASV65.2
3	s__Peptostreptococcus anaerobius	0.0006	2.4890068862523848e-05	1	ASV483.9
3	s__Phocaeicola plebeius	0.0009	3.733510329378578e-05	1	ASV113.4
3	s__Phocaeicola vulgatus	0.0006	2.4890068862523848e-05	1	ASV124.1
3	s__Romboutsia_C sp015668195	0.4571	0.018962084128432755	1	ASV484.8
3	s__Roseburia hominis	0.3338	0.013847174977184101	1	ASV456.0
3	s__Ruthenibacterium lactatiformans	0.0003	1.2445034431261924e-05	1	ASV468.3
3	s__Salmonella enterica	0.0097	0.0004023894466108023	5	ASV204.0,ASV221.3,ASV398.11,ASV423.14,ASV655.10
3	s__Staphylococcus hominis	0.0012	4.9780137725047696e-05	1	ASV243.0
3	s__Streptococcus agalactiae	0.0797	0.003306230813905251	1	ASV290.8
3	s__Streptococcus anginosus	0.0003	1.2445034431261924e-05	1	ASV248.13
3	s__Streptococcus mutans	0.4859	0.020156807433833898	2	ASV515.1,ASV621.4
3	s__Streptococcus oralis	0.0009	3.733510329378578e-05	1	ASV245.13
3	s__Streptococcus parasanguinis	0.0003	1.2445034431261924e-05	1	ASV286.3
3	s__Streptococcus pasteurianus	0.0003	1.2445034431261924e-05	1	ASV546.4
3	s__Streptococcus salivarius	1.7433	0.07231809508006305	2	ASV519.11,ASV540.10
3	s__Streptococcus sanguinis	0.0034999999999999996	0.00014519206836472245	3	ASV475.12,ASV514.4,ASV614.0
3	s__Thomasclavelia ramosa	0.0023	9.541193063967476e-05	1	ASV557.8
3	s__Turicibacter sanguinis	0.0102	0.0004231311706629055	1	ASV573.4
3	s__Vibrio cholerae	0.007600000000000001	0.00031527420559196884	2	ASV440.14,ASV638.0
4	s__Acidaminococcus intestini	1.1079	0.033221784422734386	1	ASV577.0
4	s__Actinomyces urogenitalis	0.0116	0.0003478406889644542	1	ASV10.0
4	s__Agathobaculum ammoniilyticum	0.0097	0.00029086678301337986	1	ASV473.2
4	s__Agathobaculum butyriciproducens	0.0678	0.0020330688544646547	1	ASV337.1
4	s__Akkermansia massiliensis	0.0049	0.00014693270482119187	1	ASV827.5
4	s__Akkermansia muciniphila	0.006699999999999999	0.00020090798414326233	2	ASV825.7,ASV830.4
4	s__Akkermansia sp004167605	2.5253	0.07572431826223588	2	ASV828.10,ASV829.6
4	s__Alistipes shahii	0.0749	0.0022459713451239327	1	ASV96.11
4	s__Anaerotruncus colihominis	0.0037	0.00011094918527314489	1	ASV499.2
4	s__Bacteroides cellulosilyticus	0.007500000000000001	0.0002248969971752937	3	ASV135.6,ASV136.11,ASV440.6
4	s__Bacteroides fragilis	0.0019	5.69739059510744e-05	1	ASV126.6
4	s__Bacteroides ovatus	0.040400000000000005	0.0012114451581175822	2	ASV101.12,ASV99.7
4	s__Bacteroides uniformis	7.4324	0.22286992557408705	1	ASV102.7
4	s__Barnesiella intestinihominis	1.1757	0.03525485327719904	1	ASV127.7
4	s__Bifidobacterium adolescentis	0.1838	0.005511475744109197	1	ASV71.1
4	s__Bifidobacterium bifidum	0.0008	2.3989013032031326e-05	2	ASV19.5,ASV64.8
4	s__Bifidobacterium catenulatum	0.0004	1.1994506516015663e-05	1	ASV8.4
4	s__Bifidobacterium longum	0.18160000000000004	0.005445505958271112	4	ASV23.5,ASV6.0,ASV87.10,ASV88.7
4	s__Blautia_A hydrogenotrophica	0.0015	4.4979399435058736e-05	1	ASV410.0
4	s__Christensenella minuta	2.3988	0.07193105557654593	1	ASV329.2
4	s__Citrobacter portucalensis	0.0019	5.69739059510744e-05	1	ASV92.7
4	s__Clostridioides difficile	0.20740000000000003	0.006219151628554122	4	ASV222.8,ASV297.2,ASV476.7,ASV576.11
4	s__Clostridium tertium	0.0004	1.1994506516015663e-05	1	ASV504.9
4	s__Collinsella tanakaei	0.0498	0.00149331606124395	1	ASV73.2
4	s__Desulfovibrio fairfieldensis	0.0419	0.0012564245575526407	1	ASV714.0
4	s__Dorea formicigenerans	0.7918999999999999	0.023746124275082006	2	ASV371.9,ASV426.3
4	s__Eggerthella lenta	0.023899999999999998	0.0007166717643319358	2	ASV81.8,ASV86.5
4	s__Eisenbergiella porci	0.0011	3.2984892919043075e-05	1	ASV429.0
4	s__Enterobacter cloacae	0.0004	1.1994506516015663e-05	1	ASV681.12
4	s__Enterobacter roggenkampii	0.018	0.0005397527932207048	1	ASV685.5
4	s__Enterocloster bolteae	0.36360000000000003	0.01090300642305824	2	ASV444.11,ASV447.2
4	s__Enterococcus faecalis	0.2509	0.007523554212170825	6	ASV245.3,ASV420.3,ASV491.5,ASV493.1,ASV497.5,ASV519.7
4	s__Enterococcus_B faecium	0.0008	2.3989013032031326e-05	1	ASV463.0
4	s__Enterococcus_L caccae	0.0037	0.00011094918527314489	1	ASV514.3
4	s__Escherichia coli	0.24819999999999998	0.007442591293187718	5	ASV213.6,ASV338.16,ASV527.4,ASV531.13,ASV639.13
4	s__Eubacterium callanderi	0.0004	1.1994506516015663e-05	1	ASV380.1
4	s__Faecalibacterium prausnitzii	0.568	0.01703219925274224	1	ASV507.2
4	s__Faecalimonas umbilicata	0.0041	0.00012294369178916055	1	ASV392.1
4	s__Faecalitalea cylindroides	0.8417	0.02523944033632596	1	ASV547.7
4	s__Flavonifractor plautii	12.460299999999998	0.3736378738537749	2	ASV487.4,ASV509.0
4	s__Fusicatenibacter saccharivorans	0.1063	0.0031875401066311627	1	ASV431.3
4	s__Holdemania massiliensis	0.015	0.00044979399435058736	1	ASV565.1
4	s__Intestinibacter bartlettii	0.0011	3.2984892919043075e-05	1	ASV481.0
4	s__Intestinimonas butyriciproducens	0.073	0.0021889974391728585	1	ASV324.5
