sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only
0	current_calibrated_abundance	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	63.07645271846174	51.39098086404699	0.910778777663967	0.9228891836223626
0	current_calibrated_raw	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	63.076452718461915	51.39098086404711	0.910778777663967	0.9228891836223625
0	split_mean_depth	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	64.97884478366655	60.62615983255169	0.932468213782429	0.9350433365857863
0	split_hit_mean_x_breadth	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	96.7476514757966	91.60509737320027	0.6004006325371424	0.6000052104612148
0	split_normalized_depth	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	64.98016221270032	60.627701056788176	0.9324678826117934	0.9350431647432024
0	split_relative_depth	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	64.98016221270032	60.627701056788176	0.9324678826117934	0.9350431647432024
0	unique_mean_depth	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	74.42818503524501	71.50362909055484	0.9290484510084863	0.9307705840476097
0	split_mean_prob	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	70.36792650222587	66.07914658015474	0.9294252956782343	0.9322357447133649
0	split_mean_prob2	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	74.0040165136773	69.67633773494322	0.9266714194689692	0.9296854738085382
0	split_mean_over_zip_p0.25	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	62.879672457347056	57.48757294933032	0.9325223295702089	0.9359940086928542
0	split_mean_over_zip_p0.5	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	60.992536892068074	54.16576996367716	0.9309033546778657	0.9358578989282886
0	split_mean_over_zip_p0.75	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	59.79110365155417	50.93353452173719	0.9257494143640622	0.9332352720136448
0	split_mean_over_zip_p1	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	63.076452718461915	51.39098086404711	0.910778777663967	0.9228891836223625
0	split_mean_over_zip_p1.25	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	84.79249930880799	69.69428880576923	0.8442778883989993	0.8651397891079046
0	split_mean_over_zip_floor0.01	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	61.129853762359566	49.16893358778908	0.913258383172503	0.9256707300397151
0	split_mean_over_zip_floor0.05	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	58.551419568096755	47.85892953389942	0.9152316410379148	0.92722145771111
0	split_mean_over_zip_floor0.1	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	58.37876349357347	48.16155401753973	0.9156904195202455	0.9275669986788984
1	current_calibrated_abundance	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	75.04358937786799	65.46100214605643	0.6504147643645246	0.6658588506113589
1	current_calibrated_raw	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	75.04358937786795	65.46100214605637	0.6504147643645247	0.6658588506113589
1	split_mean_depth	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	73.94579168791434	68.56644002592793	0.6693189577246254	0.6720027247938812
1	split_hit_mean_x_breadth	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	112.4851121384551	103.84067622036048	0.22686371873424233	0.22792429019540705
1	split_normalized_depth	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	73.94637744628628	68.56692962531469	0.6693191636107445	0.6720030178285878
1	split_relative_depth	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	73.94637744628628	68.56692962531469	0.6693191636107445	0.6720030178285878
1	unique_mean_depth	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	81.80319112377146	77.5182183577681	0.6691458596206229	0.6700130922525022
1	split_mean_prob	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	78.05266011586998	73.8254970352796	0.6676145796136438	0.6683090295760523
1	split_mean_prob2	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	81.35905973041635	77.94407837116563	0.6650077715451389	0.6645255001524547
