method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only
split_mean_over_zip_p0.25	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.28047178806421	52.46251580020644	0.8414495710431943	0.8502486981510247
split_mean_depth	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.8459589342439	54.46534351715561	0.8416016467140249	0.8479831812644606
split_normalized_depth	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.84681863589859	54.466320581946185	0.8416011919410211	0.8479826747758752
split_relative_depth	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.84681863589859	54.466320581946185	0.8416011919410211	0.8479826747758752
current_calibrated_abundance	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	62.732029033424595	51.832406366328804	0.8239151096773089	0.8366597306485986
current_calibrated_raw	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	62.73202903342466	51.832406366328826	0.8239151096773086	0.8366597306485984
split_mean_over_zip_p0.5	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	63.64904713202885	52.764909741781025	0.8365029876548621	0.8500858300215386
split_mean_prob	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	66.29091353435284	60.16898372841515	0.8371897993823939	0.8422811747842135
split_mean_over_zip_floor0.1	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	67.01078291454148	51.820504051356046	0.8070901856087157	0.8435802439419461
split_mean_over_zip_floor0.05	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	69.03098241545268	53.023510930597375	0.8011165819795073	0.8417579627348326
split_mean_over_zip_p0.75	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	69.10514083810908	55.201671655564816	0.8184757507592368	0.8422563860400295
split_mean_prob2	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	70.44822045872782	65.03665817880626	0.8295411781937424	0.8343596901760196
unique_mean_depth	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	71.12381162410286	65.48724366639051	0.8263878039604832	0.8308925439460878
split_mean_over_zip_floor0.01	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	76.64399832457609	59.48195152916255	0.7643376688414968	0.8051212209320756
split_mean_over_zip_p1	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	80.9483906539083	62.75118256865136	0.7465356143019871	0.7938989986765973
split_hit_mean_x_breadth	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	89.0486133849789	79.08653316330951	0.5776181268897275	0.5855613803912086
split_mean_over_zip_p1.25	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	105.77904413129806	82.31009947789333	0.5533667272477447	0.6196709802496542
