sample	gtdb_species	read_rows	truth_abundance	source_genomes	source_genome_ids	fallback_read_rows	fallback_source_genomes	fallback_source_genome_ids
0	s__Acidaminococcus intestini	708	2.6265441519846064e-05	1	ASV577.0	708	1	ASV577.0
0	s__Actinomyces urogenitalis	2280	8.458362523340258e-05	1	ASV10.0	0	0	
0	s__Aeromonas sp023093515	524	1.9439394571185503e-05	1	ASV731.3	0	0	
0	s__Agathobaculum butyriciproducens	114354	0.0042423139824300515	1	ASV337.1	0	0	
0	s__Alistipes onderdonkii	358	1.3281113084893914e-05	1	ASV166.0	0	0	
0	s__Anaerostipes hadrus	240164	0.00890962358357671	1	ASV399.6	0	0	
0	s__Anaerotruncus colihominis	2240	8.309970198369376e-05	1	ASV499.2	0	0	
0	s__Bacteroides fragilis	104128	0.003862949003641993	1	ASV134.7	104128	1	ASV134.7
0	s__Bacteroides intestinalis	1094	4.058530087953615e-05	1	ASV156.5	1094	1	ASV156.5
0	s__Bacteroides ovatus	1154044	0.042812818069674054	1	ASV150.14	0	0	
0	s__Bacteroides sp947646015	1432884	0.053157247043394217	1	ASV102.10	0	0	
0	s__Bacteroides thetaiotaomicron	451484	0.01674919011178839	2	ASV153.8,ASV99.3	0	0	
0	s__Bacteroides uniformis	12038	0.0004465867019998685	3	ASV101.4,ASV178.5,ASV98.15	0	0	
0	s__Bifidobacterium adolescentis	254	9.422912635650988e-06	1	ASV19.14	0	0	
0	s__Bifidobacterium angulatum	76	2.8194541744467526e-06	1	ASV50.0	0	0	
0	s__Bifidobacterium bifidum	21828	0.0008097769173661015	5	ASV5.11,ASV61.4,ASV68.9,ASV71.10,ASV88.2	6846	1	ASV71.10
0	s__Bifidobacterium breve	42490	0.001576297472003191	2	ASV23.7,ASV49.2	0	0	
0	s__Bifidobacterium longum	2900	0.00010758443560388924	1	ASV1.11	0	0	
0	s__Bifidobacterium pseudocatenulatum	916	3.3981842418331916e-05	4	ASV12.3,ASV511.12,ASV66.4,ASV87.11	0	0	
0	s__Blautia_A faecis	1860768	0.06903092243785441	2	ASV487.10,ASV525.6	0	0	
0	s__Blautia_A obeum	1053872	0.03909662907542826	1	ASV406.4	0	0	
0	s__Butyricimonas synergistica	49300	0.0018289354052661172	1	ASV137.1	0	0	
0	s__Campylobacter_D jejuni	194	7.197027761087763e-06	1	ASV585.5	0	0	
0	s__Catenibacterium mitsuoka_A	228346	0.00847119845945024	1	ASV551.0	0	0	
0	s__Christensenella minuta	38576	0.0014310955820191833	1	ASV329.2	0	0	
0	s__Citrobacter braakii	101572	0.0037681263079855994	1	ASV729.15	0	0	
