sample	source_genome_id	species_label	recommended_gtdb_species	recommended_resolution_rule	taxid_gtdb_species_count	ncbi_name_gtdb_species_count	gtdb_binomial_species_count	prior_wgs_or_unique_taxid_rows	prior_mapped_gtdb_species	fallback_added_rows	source_priority_case	source_priority_ok
3	ASV148.12	Bacteroides thetaiotaomicron	s__Bacteroides thetaiotaomicron	unique_gtdb_binomial	12	12	1	0		636	unmapped_source	true
3	ASV156.7	Bacteroides thetaiotaomicron	s__Bacteroides thetaiotaomicron	unique_gtdb_binomial	12	12	1	0		1332	unmapped_source	true
3	ASV399.7	Anaerostipes hadrus	s__Anaerostipes hadrus	unique_gtdb_binomial	11	11	1	0		572056	unmapped_source	true
3	ASV451.3	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	4	4	1	0		25732	unmapped_source	true
3	ASV472.11	Klebsiella pneumoniae	s__Klebsiella pneumoniae	unique_gtdb_binomial	63	63	1	0		260	unmapped_source	true
3	ASV491.8	Lactobacillus acidophilus	s__Lactobacillus acidophilus	unique_gtdb_binomial	2	2	1	0		10592	unmapped_source	true
3	ASV495.16	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		226	unmapped_source	true
3	ASV506.3	Klebsiella aerogenes	s__Klebsiella aerogenes	unique_gtdb_binomial	6	6	1	0		756	unmapped_source	true
3	ASV507.7	Faecalibacterium prausnitzii	s__Faecalibacterium prausnitzii	unique_gtdb_binomial	57	57	1	0		586276	unmapped_source	true
3	ASV514.4	Streptococcus sanguinis	s__Streptococcus sanguinis	unique_gtdb_binomial	27	27	1	0		994	unmapped_source	true
3	ASV577.0	Acidaminococcus intestini	s__Acidaminococcus intestini	unique_gtdb_binomial	5	5	1	0		65534	unmapped_source	true
3	ASV602.9	Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	unique_gtdb_binomial	4	4	1	0		158	unmapped_source	true
3	ASV614.0	Streptococcus sanguinis	s__Streptococcus sanguinis	unique_gtdb_binomial	27	27	1	0		114	unmapped_source	true
3	ASV630.10	Fusobacterium nucleatum	s__Fusobacterium nucleatum	unique_gtdb_binomial	10	10	1	0		100	unmapped_source	true
3	ASV638.0	Vibrio cholerae	s__Vibrio cholerae	unique_gtdb_binomial	4	4	1	0		4144	unmapped_source	true
3	ASV677.5	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		230	unmapped_source	true
3	ASV729.10	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		2624	unmapped_source	true
3	ASV74.8	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		5374	unmapped_source	true
3	ASV789.1	Klebsiella pneumoniae	s__Klebsiella pneumoniae	unique_gtdb_binomial	63	63	1	0		258	unmapped_source	true
3	ASV80.0	Bifidobacterium longum	s__Bifidobacterium longum	unique_gtdb_binomial	10	10	1	0		120	unmapped_source	true
4	ASV213.6	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		124324	unmapped_source	true
4	ASV245.3	Enterococcus faecalis	s__Enterococcus faecalis	unique_gtdb_binomial	8	8	1	0		516	unmapped_source	true
4	ASV338.16	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		13406	unmapped_source	true
4	ASV371.9	Dorea formicigenerans	s__Dorea formicigenerans	unique_gtdb_binomial	3	3	1	0		28162	unmapped_source	true
4	ASV437.6	Latilactobacillus sakei	s__Latilactobacillus sakei	unique_gtdb_binomial	2	2	1	0		1002	unmapped_source	true
4	ASV466.1	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	4	4	1	0		26060	unmapped_source	true
4	ASV481.0	Intestinibacter bartlettii	s__Intestinibacter bartlettii	unique_gtdb_binomial	2	2	1	0		476	unmapped_source	true
