sample	gtdb_species	read_rows	truth_abundance	source_genomes	source_genome_ids
3	s__Actinomyces urogenitalis	6630	0.00025540491502297106	1	ASV10.0
3	s__Agathobaculum butyriciproducens	49670	0.001913418119033329	1	ASV337.1
3	s__Akkermansia muciniphila	497426	0.01916214860636748	3	ASV828.13,ASV829.7,ASV830.8
3	s__Akkermansia sp004167605	460	1.7720401343976875e-05	1	ASV827.0
3	s__Alistipes onderdonkii	921866	0.03551268588123171	2	ASV165.0,ASV166.16
3	s__Anaerococcus vaginalis	836	3.2204903312097105e-05	1	ASV615.1
3	s__Anaeromassilibacillus stercoravium	302	1.1633828708436992e-05	1	ASV498.1
3	s__Anaerostipes hadrus	4628458	0.17830028992117503	1	ASV387.12
3	s__Anaerotruncus colihominis	2000	7.704522323468206e-05	1	ASV499.2
3	s__Bacillus_A cereus	268	1.0324059913447396e-05	1	ASV226.9
3	s__Bacteroides cellulosilyticus	6824	0.0002628783016767352	1	ASV101.0
3	s__Bacteroides fragilis	3534868	0.13617234708256706	3	ASV102.2,ASV194.9,ASV606.9
3	s__Bacteroides ovatus	18496	0.0007125142244743398	4	ASV134.1,ASV150.2,ASV96.12,ASV99.0
3	s__Bacteroides thetaiotaomicron	626	2.4115154872455486e-05	2	ASV153.6,ASV585.9
3	s__Barnesiella intestinihominis	162	6.240663082009247e-06	1	ASV127.7
3	s__Bifidobacterium angulatum	198	7.627477100233524e-06	1	ASV35.0
3	s__Bifidobacterium animalis_B	916	3.5286712241484385e-05	1	ASV61.11
3	s__Bifidobacterium bifidum	108	4.160442054672832e-06	1	ASV49.7
3	s__Bifidobacterium catenulatum	2962	0.00011410397561056414	2	ASV19.6,ASV88.8
3	s__Bifidobacterium longum	4002	0.0001541674916925988	4	ASV23.2,ASV60.14,ASV67.4,ASV8.0
3	s__Bifidobacterium pseudocatenulatum	2162	8.32858863166913e-05	4	ASV62.4,ASV64.9,ASV71.8,ASV87.9
3	s__Bilophila wadsworthia	45888	0.0017677256018965451	1	ASV712.0
3	s__Blautia_A ammoniilytica	808460	0.03114399058815553	1	ASV406.7
3	s__Blautia_A faecis	769148	0.029629589680254618	1	ASV406.0
3	s__Blautia_A fusiformis	818	3.1511496302984966e-05	1	ASV412.1
3	s__Blautia_A hydrogenotrophica	222462	0.00856981722561692	1	ASV410.0
3	s__Blautia_A obeum	652094	0.02512036389999838	2	ASV406.18,ASV406.2
3	s__Blautia_A sp005848555	695628	0.026797407274147707	1	ASV300.7
3	s__Catenibacterium mitsuoka_A	446	1.71810847813341e-05	1	ASV551.0
3	s__Cetobacterium_A somerae	738	2.8429687373597682e-05	1	ASV626.0
3	s__Christensenella minuta	155276	0.005981637041494246	1	ASV329.2
3	s__Clostridioides difficile	15744	0.0006064999973034172	1	ASV486.9
3	s__Clostridium paraputrificum	3972	0.00015301181334407857	1	ASV334.4
3	s__Clostridium tertium	2006	7.72763589043861e-05	1	ASV504.8
3	s__Collinsella tanakaei	585360	0.022549595936326747	1	ASV73.2
3	s__Corynebacterium hesseae	508	1.9569486701609243e-05	1	ASV31.1
3	s__Desulfovibrio fairfieldensis	186	7.165205760825432e-06	1	ASV714.0
3	s__Dorea formicigenerans	472112	0.01818698721588611	1	ASV426.7
3	s__ECMA0423 sp047199055	1126	4.3376460681126e-05	1	ASV331.10
3	s__Eggerthella lenta	69184	0.0026651483621341217	2	ASV81.10,ASV86.2
3	s__Enterocloster bolteae	16786	0.0006466405586086865	1	ASV447.2
3	s__Enterococcus faecalis	3360	0.00012943597503426587	4	ASV255.4,ASV497.8,ASV576.14,ASV596.10
3	s__Enterococcus_B durans	138	5.316120403193062e-06	1	ASV420.7
3	s__Enterococcus_D casseliflavus	952	3.667352625970866e-05	1	ASV610.0
3	s__Enterococcus_D innesii	178	6.857024867886703e-06	1	ASV256.1
3	s__Escherichia coli	1966094	0.0757390755651845	2	ASV418.2,ASV743.2
3	s__Eubacterium_G segne	136	5.23907517995838e-06	1	ASV380.6
3	s__Extibacter hylemonae	1287254	0.04958838589486871	1	ASV436.0
3	s__Faecalibacillus faecis	9258	0.0003566423383533433	1	ASV222.14
3	s__Faecalicoccus sp900546545	63638	0.0024515019581043485	2	ASV545.10,ASV547.0
3	s__Faecalitalea cylindroides	6118	0.00023568133787489243	1	ASV563.0
3	s__Finegoldia magna_H	86	3.3129445990913285e-06	1	ASV617.0
