sample	source_genome_id	taxid	species_label	unmapped_rows	taxid_gtdb_species_count	ncbi_name_gtdb_species_count	gtdb_binomial_species_count	unique_taxid_species	unique_ncbi_name_species	unique_gtdb_binomial_species	recommended_cached_resolution	recommended_resolution_rule	ambiguity_note
0	ASV579.0	626940	Phascolarctobacterium succinatutens	763090	17	17	0						taxid_candidates=17;ncbi_name_candidates=17
0	ASV783.5	562	Escherichia coli	137208	51	51	1			s__Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	taxid_candidates=51;ncbi_name_candidates=51
0	ASV134.7	817	Bacteroides fragilis	104128	22	22	1			s__Bacteroides fragilis	s__Bacteroides fragilis	unique_gtdb_binomial	taxid_candidates=22;ncbi_name_candidates=22
0	ASV476.8	1496	Clostridioides difficile	84300	9	9	1			s__Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	taxid_candidates=9;ncbi_name_candidates=9
0	ASV607.0	29466	Veillonella parvula	29434	28	28	1			s__Veillonella parvula	s__Veillonella parvula	unique_gtdb_binomial	taxid_candidates=28;ncbi_name_candidates=28
0	ASV444.5	33038	Mediterraneibacter gnavus	28894	4	4	1			s__Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	taxid_candidates=4;ncbi_name_candidates=4
0	ASV71.10	1681	Bifidobacterium bifidum	6846	3	3	1			s__Bifidobacterium bifidum	s__Bifidobacterium bifidum	unique_gtdb_binomial	taxid_candidates=3;ncbi_name_candidates=3
0	ASV74.2	28901	Salmonella enterica	1516	11	11	1			s__Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	taxid_candidates=11;ncbi_name_candidates=11
0	ASV670.1	225992	Comamonas kerstersii	1136	2	2	1			s__Comamonas kerstersii	s__Comamonas kerstersii	unique_gtdb_binomial	taxid_candidates=2;ncbi_name_candidates=2
0	ASV156.5	329854	Bacteroides intestinalis	1094	7	7	1			s__Bacteroides intestinalis	s__Bacteroides intestinalis	unique_gtdb_binomial	taxid_candidates=7;ncbi_name_candidates=7
0	ASV577.0	187327	Acidaminococcus intestini	708	5	5	1			s__Acidaminococcus intestini	s__Acidaminococcus intestini	unique_gtdb_binomial	taxid_candidates=5;ncbi_name_candidates=5
0	ASV364.1	1776384	Emergencia timonensis	654	2	2	0						taxid_candidates=2;ncbi_name_candidates=2
0	ASV627.1	76857	Fusobacterium polymorphum	546	3	3	1			s__Fusobacterium polymorphum	s__Fusobacterium polymorphum	unique_gtdb_binomial	taxid_candidates=3;ncbi_name_candidates=3
0	ASV676.10	28901	Salmonella enterica	512	11	11	1			s__Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	taxid_candidates=11;ncbi_name_candidates=11
0	ASV790.3	287	Pseudomonas aeruginosa	502	5	5	1			s__Pseudomonas aeruginosa	s__Pseudomonas aeruginosa	unique_gtdb_binomial	taxid_candidates=5;ncbi_name_candidates=5
0	ASV368.3	1496	Clostridioides difficile	328	9	9	1			s__Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	taxid_candidates=9;ncbi_name_candidates=9
0	ASV709.10	562	Escherichia coli	194	51	51	1			s__Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	taxid_candidates=51;ncbi_name_candidates=51
