method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_Pearson_union	mean_added
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.8354138579934839	0.8338762214983714	256	62	40	44.71389659144912	0.9167603713321979	3.3333333333333335
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.2_d2_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.2_d1_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.2_d2_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0.02_sx500_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0.02_sx500_ani0.93_af0.3_b0.2_d2_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0.02_sx500_ani0.93_af0.5_b0.2_d1_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0.02_sx500_ani0.93_af0.5_b0.2_d2_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0_sx300_ani0.93_af0.5_b0.2_d1_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0_sx300_ani0.93_af0.5_b0.2_d2_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0_sx500_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0_sx500_ani0.93_af0.3_b0.2_d2_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0_sx500_ani0.93_af0.5_b0.2_d1_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0_sx500_ani0.93_af0.5_b0.2_d2_top1	0,1,2	0.8316031455380747	0.8300653594771241	254	62	42	45.04576617611118	0.9167335448952277	2.6666666666666665
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.2_d1_top1	0,1,2	0.8315197003445726	0.8300653594771241	254	62	42	46.062153054370185	0.9097434684310395	2.6666666666666665
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d1_top0	0,1,2	0.8315197003445726	0.8300653594771241	254	62	42	46.062153054370185	0.9097434684310395	2.6666666666666665
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d1_top1	0,1,2	0.8315197003445726	0.8300653594771241	254	62	42	46.062153054370185	0.9097434684310395	2.6666666666666665
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d1_top2	0,1,2	0.8315197003445726	0.8300653594771241	254	62	42	46.062153054370185	0.9097434684310395	2.6666666666666665
split_rescue_p0_sx300_ani0.95_af0.3_b0.3_d1_top0	0,1,2	0.8315197003445726	0.8300653594771241	254	62	42	46.062153054370185	0.9097434684310395	2.6666666666666665
split_rescue_p0_sx300_ani0.95_af0.3_b0.3_d1_top1	0,1,2	0.8315197003445726	0.8300653594771241	254	62	42	46.062153054370185	0.9097434684310395	2.6666666666666665
split_rescue_p0_sx300_ani0.95_af0.3_b0.3_d1_top2	0,1,2	0.8315197003445726	0.8300653594771241	254	62	42	46.062153054370185	0.9097434684310395	2.6666666666666665
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.3_d1_top0	0,1,2	0.8303315528404068	0.8287112561174551	254	63	42	47.971194787148306	0.9045330800622419	3.0
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.3_d1_top1	0,1,2	0.8303315528404068	0.8287112561174551	254	63	42	47.971194787148306	0.9045330800622419	3.0
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.3_d1_top2	0,1,2	0.8303315528404068	0.8287112561174551	254	63	42	47.971194787148306	0.9045330800622419	3.0
split_rescue_p0_sx300_ani0.93_af0.3_b0.3_d1_top0	0,1,2	0.8303315528404068	0.8287112561174551	254	63	42	47.971194787148306	0.9045330800622419	3.0
split_rescue_p0_sx300_ani0.93_af0.3_b0.3_d1_top1	0,1,2	0.8303315528404068	0.8287112561174551	254	63	42	47.971194787148306	0.9045330800622419	3.0
split_rescue_p0_sx300_ani0.93_af0.3_b0.3_d1_top2	0,1,2	0.8303315528404068	0.8287112561174551	254	63	42	47.971194787148306	0.9045330800622419	3.0
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.2_d1_top2	0,1,2	0.8298577456653059	0.8284789644012944	256	66	40	47.676060780733216	0.9101052409132112	4.666666666666667
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.2_d5_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	45.365140138491974	0.9166747682740728	2.3333333333333335
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.2_d5_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	45.365140138491974	0.9166747682740728	2.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.3_b0.2_d5_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	45.365140138491974	0.9166747682740728	2.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.5_b0.2_d5_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	45.365140138491974	0.9166747682740728	2.3333333333333335
split_rescue_p0_sx300_ani0.93_af0.5_b0.2_d5_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	45.365140138491974	0.9166747682740728	2.3333333333333335
split_rescue_p0_sx500_ani0.93_af0.3_b0.2_d5_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	45.365140138491974	0.9166747682740728	2.3333333333333335
split_rescue_p0_sx500_ani0.93_af0.5_b0.2_d5_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	45.365140138491974	0.9166747682740728	2.3333333333333335
split_rescue_p0.05_sx300_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	47.50679558915166	0.8925459758902026	2.3333333333333335
split_rescue_p0.1_sx300_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.8296007573686984	0.828150572831424	253	62	43	47.50679558915166	0.8925459758902026	2.3333333333333335
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.2_d1_top0	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
