sample	source_genome_id	taxid	species_label	read_rows	mapped_rows	unmapped_rows	unmapped_pct_of_profile_scope	primary_mapping_method
0	ASV579.0	626940	Phascolarctobacterium succinatutens	763090	0	763090	4.055076644131673	unmapped
0	ASV783.5	562	Escherichia coli	137208	0	137208	0.7291262579617327	unmapped
0	ASV134.7	817	Bacteroides fragilis	104128	0	104128	0.5533384277085833	unmapped
0	ASV476.8	1496	Clostridioides difficile	733672	649372	84300	0.44797200998610914	wgs_prefix
0	ASV607.0	29466	Veillonella parvula	29434	0	29434	0.15641290797071336	unmapped
0	ASV444.5	33038	Mediterraneibacter gnavus	28894	0	28894	0.1535433363764963	unmapped
0	ASV71.10	1681	Bifidobacterium bifidum	6846	0	6846	0.036379790988907514	unmapped
0	ASV74.2	28901	Salmonella enterica	1516	0	1516	0.008056056549690884	unmapped
0	ASV670.1	225992	Comamonas kerstersii	1136	0	1136	0.00603672839079739	unmapped
0	ASV156.5	329854	Bacteroides intestinalis	1094	0	1094	0.005813539489024951	unmapped
0	ASV577.0	187327	Acidaminococcus intestini	708	0	708	0.0037623272013068243	unmapped
0	ASV364.1	1776384	Emergencia timonensis	654	0	654	0.003475370041885117	unmapped
0	ASV627.1	76857	Fusobacterium polymorphum	546	0	546	0.002901455723041703	unmapped
0	ASV676.10	28901	Salmonella enterica	512	0	512	0.0027207789930354435	unmapped
0	ASV790.3	287	Pseudomonas aeruginosa	502	0	502	0.00266763877832772	unmapped
0	ASV368.3	1496	Clostridioides difficile	328	0	328	0.001742999042413331	unmapped
0	ASV709.10	562	Escherichia coli	194	0	194	0.001030920165329836	unmapped
0	ASV737.3	562	Escherichia coli	194	0	194	0.001030920165329836	unmapped
0	ASV592.0	907	Megasphaera elsdenii	188	0	188	0.0009990360365052019	unmapped
0	ASV348.5	562	Escherichia coli	184	0	184	0.0009777799506221125	unmapped
1	ASV579.0	626940	Phascolarctobacterium succinatutens	734058	0	734058	3.167834127013034	unmapped
1	ASV134.7	817	Bacteroides fragilis	280814	0	280814	1.2118554290574288	unmapped
1	ASV476.8	1496	Clostridioides difficile	1380664	1221964	158700	0.6848713261853538	wgs_prefix
1	ASV444.5	33038	Mediterraneibacter gnavus	24668	0	24668	0.10645498345520044	unmapped
1	ASV71.10	1681	Bifidobacterium bifidum	22762	0	22762	0.09822962272609341	unmapped
1	ASV815.4	1496	Clostridioides difficile	8132	0	8132	0.0350937216417095	unmapped
1	ASV670.1	225992	Comamonas kerstersii	7870	0	7870	0.033963058204654915	unmapped
1	ASV364.1	1776384	Emergencia timonensis	5764	0	5764	0.024874595615200883	unmapped
1	ASV709.10	562	Escherichia coli	4324	0	4324	0.018660262220702394	unmapped
1	ASV783.5	562	Escherichia coli	4308	0	4308	0.018591214071874636	unmapped
1	ASV368.3	1496	Clostridioides difficile	3176	0	3176	0.013706057542310548	unmapped
1	ASV577.0	187327	Acidaminococcus intestini	2808	0	2808	0.012117950119272046	unmapped
1	ASV676.10	28901	Salmonella enterica	818	0	818	0.0035300866088192784	unmapped
1	ASV675.7	562	Escherichia coli	704	0	704	0.0030381185484214816	unmapped
1	ASV671.4	562	Escherichia coli	648	0	648	0.002796450027524318	unmapped
1	ASV689.9	562	Escherichia coli	646	0	646	0.0027878190089208484	unmapped
1	ASV74.2	28901	Salmonella enterica	506	0	506	0.00218364770667794	unmapped
1	ASV395.17	28901	Salmonella enterica	312	0	312	0.0013464389021413386	unmapped
1	ASV357.0	154046	Hungatella hathewayi	254	0	254	0.001096139362640705	unmapped
1	ASV627.1	76857	Fusobacterium polymorphum	246	0	246	0.0010616152882268245	unmapped
1	ASV607.0	29466	Veillonella parvula	220	0	220	0.000949412046381713	unmapped
1	ASV482.5	1496	Clostridioides difficile	150	0	150	0.0006473263952602589	unmapped
2	ASV466.9	33038	Mediterraneibacter gnavus	402874	0	402874	1.5069534549128132	unmapped
2	ASV577.0	187327	Acidaminococcus intestini	371112	0	371112	1.3881474370637072	unmapped
2	ASV627.8	76857	Fusobacterium polymorphum	18528	0	18528	0.06930413382999301	unmapped
2	ASV245.5	1353	Enterococcus gallinarum	14192	0	14192	0.053085290766151816	unmapped
2	ASV579.0	626940	Phascolarctobacterium succinatutens	7136	0	7136	0.026692265706543077	unmapped
2	ASV783.4	573	Klebsiella pneumoniae	5370	0	5370	0.020086528425467532	unmapped
2	ASV670.1	225992	Comamonas kerstersii	5276	0	5276	0.019734920665319684	unmapped
2	ASV440.7	59201	Salmonella enterica	2852	0	2852	0.0106679290632092	unmapped
2	ASV297.5	1496	Clostridioides difficile	1392	0	1392	0.005206787256657506	unmapped
2	ASV709.17	1685	Bifidobacterium breve	990	0	990	0.0037031030058124505	unmapped
2	ASV149.5	165179	Segatella copri	946	0	946	0.0035385206499985635	unmapped
2	ASV226.3	492670	Bacillus velezensis	780	0	780	0.0029175963076098093	unmapped
