sample	category	source_genomes	read_rows	mapped_rows	unmapped_rows	mapped_pct
0	fungal_eukaryotic	10	4294774	0	4294774	0.0
0	gtdb_profile_scope	154	18818140	17656484	1161656	93.82693507434847
0	human_host	1	501308	0	501308	0.0
0	plasmid_or_other	9	227980	0	227980	0.0
0	profile_missing	2	8901176	8901176	0	100.0
0	viral	133	523648	0	523648	0.0
1	fungal_eukaryotic	10	4248904	0	4248904	0.0
1	gtdb_profile_scope	166	23172236	21910348	1261888	94.55431059825214
1	human_host	1	466766	0	466766	0.0
1	plasmid_or_other	14	574680	0	574680	0.0
1	profile_missing	4	4389914	4389914	0	100.0
1	viral	134	414180	0	414180	0.0
2	fungal_eukaryotic	10	3394170	0	3394170	0.0
2	gtdb_profile_scope	160	26734336	25897434	836902	96.86956130124197
2	human_host	1	428164	0	428164	0.0
2	plasmid_or_other	8	3200	0	3200	0.0
2	profile_missing	9	2351870	2351870	0	100.0
2	viral	129	356212	0	356212	0.0
