panel	panel_label	method	samples	sample_count	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	official_L1_pp	official_Pearson	source
cami2_toy_mouse_gut	CAMI2 Toy Mouse	minco_current_code_refresh	5,6,7	3	0.8938387600398774	0.8776470588235294	373	10	94	13.76783712292629	0.9879766077266372	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/toymouse_current_refresh_summary.tsv
cami2_toy_mouse_gut	CAMI2 Toy Mouse	sylph_gtdb_profile	5,6,7	3	0.9528057837924288	0.943894389438944	429	13	38	6.73152294577699	0.994040272662316	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/toymouse_current_refresh_summary.tsv
cami3_toy_human_gut_gtdb_source_readmap	CAMI3 ToyGut source-readmap	minco_universal_autoexact_gtdb_source_readmap	0,1,2	3	0.8159567931704953	0.8145695364238409	246	62	50	62.7320290334245	0.8239151096773089	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_source_readmap_summary.tsv
cami3_toy_human_gut_gtdb_source_readmap	CAMI3 ToyGut source-readmap	sylph_gtdb_source_readmap	0,1,2	3	0.7415214328232254	0.7421875000000001	190	26	106	32.63284073098532	0.9457083656688968	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_source_readmap_summary.tsv
hmp_airskin_gtdb_source_abundance	HMP airskin source-abundance	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.8695844068735173	0.8479868529170089	1032	307	63	22.538526482578405	0.9809237855745332	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance	HMP airskin source-abundance	sylph_gtdb_source_abundance	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.9609328477275184	0.9649840836743976	1061	43	34	5.356745059601248	0.9979498059022434	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_gastrooral_gtdb_source_abundance	HMP gastrooral source-abundance	minco_current_raw_default_gastrooral_source_abundance	0,6	2	0.9195678271308524	0.9156626506024096	76	9	5	48.98699110632436	0.8822766995655476	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_summary.tsv
hmp_gastrooral_gtdb_source_abundance	HMP gastrooral source-abundance	sylph_gtdb_r232_gastrooral_source_abundance	0,6	2	0.9552995391705068	0.9570552147239264	78	4	3	5.063129406373072	0.9991248095933803	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_summary.tsv
cami2_toy_mouse_gut	CAMI2 Toy Mouse	minco_wrapper_zero_mass	5,6,7	3	0.8949021318102096	0.8789659224441834	374	10	93	13.690975981820754	0.9881673704508959	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_zero_scores.tsv
cami3_toy_human_gut_gtdb_source_readmap	CAMI3 ToyGut source-readmap	minco_wrapper_zero_mass	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	62.60415694820019	0.8276026158310531	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_zero_scores.tsv
hmp_airskin_gtdb_source_abundance	HMP airskin source-abundance	minco_wrapper_zero_mass	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	22.538526482578586	0.9809240826458007	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_zero_scores.tsv
hmp_gastrooral_gtdb_source_abundance	HMP gastrooral source-abundance	minco_wrapper_zero_mass	0,6	2	0.932806324110672	0.9285714285714286	78	9	3	48.98699110632455	0.8822766995655476	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_zero_scores.tsv
cami2_toy_mouse_gut	CAMI2 Toy Mouse	minco_default_candidate_preset	5,6,7	3	0.8949021318102096	0.8789659224441834	374	10	93	13.53019147920787	0.9882160988462569	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/candidate_preset_replay_scores.tsv
cami3_toy_human_gut_gtdb_source_readmap	CAMI3 ToyGut source-readmap	minco_default_candidate_preset	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	57.747234238013	0.8643207577444599	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/candidate_preset_replay_scores.tsv
hmp_airskin_gtdb_source_abundance	HMP airskin source-abundance	minco_default_candidate_preset	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	22.413096181610623	0.9810950005106674	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/candidate_preset_replay_scores.tsv
hmp_gastrooral_gtdb_source_abundance	HMP gastrooral source-abundance	minco_default_candidate_preset	0,6	2	0.932806324110672	0.9285714285714286	78	9	3	46.35794223740334	0.8962811990147186	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/candidate_preset_replay_scores.tsv
