method	panel	sample	source_profile	adjusted_profile	alpha	cap_sample_base_frac	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	capped_genus_count	min_effective_alpha	base_raw_mass_before	base_raw_mass_after	candidate_raw_mass_before	candidate_raw_mass_after	called_raw_mass_before	called_raw_mass_after
genus_xny_a0.02	cami2_toy_mouse_gut	5	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample5.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/cami2_toy_mouse_gut.sample5.genus_xny_a0.02.tsv	0.02		162	0	162	83	0	0.02	447.62143312003894	447.621433120039	0.0	0.0	447.62143312003894	447.621433120039
genus_xny_a0.02	cami2_toy_mouse_gut	6	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/cami2_toy_mouse_gut.sample6.genus_xny_a0.02.tsv	0.02		158	1	157	90	0	0.02	471.51613109747154	471.51613109747154	1.5003643291521545	1.5003643291521545	473.0164954266237	473.0164954266237
genus_xny_a0.02	cami2_toy_mouse_gut	7	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample7.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/cami2_toy_mouse_gut.sample7.genus_xny_a0.02.tsv	0.02		64	0	64	29	0	0.02	809.105830481334	809.105830481334	0.0	0.0	809.105830481334	809.105830481334
genus_xny_a0.02	cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/cami3_toy_human_gut_gtdb_source_readmap.sample0.genus_xny_a0.02.tsv	0.02		96	2	94	33	0	0.02	836.1992031056135	836.1992031056135	37.869789510247024	37.869789510247024	874.0689926158605	874.0689926158606
genus_xny_a0.02	cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/minco_candidate_preset_replay_20260629/cami3_sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/cami3_toy_human_gut_gtdb_source_readmap.sample1.genus_xny_a0.02.tsv	0.02		101	2	99	37	0	0.02	696.5458701465375	696.5458701465375	32.50918885147921	32.50918885147921	729.0550589980166	729.0550589980166
genus_xny_a0.02	cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/minco_candidate_preset_replay_20260629/cami3_sample2.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/cami3_toy_human_gut_gtdb_source_readmap.sample2.genus_xny_a0.02.tsv	0.02		116	1	115	52	0	0.02	614.1982610081561	614.1982610081559	13.511133345657417	13.511133345657417	627.7093943538135	627.7093943538133
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample0.genus_xny_a0.02.tsv	0.02		36	0	36	21	0	0.02	408.9642011941639	408.96420119416393	0.0	0.0	408.9642011941639	408.96420119416393
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	1	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample1.genus_xny_a0.02.tsv	0.02		99	0	99	54	0	0.02	797.3620335604977	797.3620335604978	0.0	0.0	797.3620335604977	797.3620335604978
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	3	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample3.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample3.genus_xny_a0.02.tsv	0.02		47	0	47	34	0	0.02	843.9592241304858	843.9592241304862	0.0	0.0	843.9592241304858	843.9592241304862
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	4	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample4.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample4.genus_xny_a0.02.tsv	0.02		137	0	137	101	0	0.02	699.6853467325391	699.6853467325391	0.0	0.0	699.6853467325391	699.6853467325391
