panel	method	sample_count	mean_L1_delta_pp	max_worse_L1_delta_pp	improved_samples	worsened_samples	mean_Pearson_delta	max_count_delta	max_F1_delta
cami2_toy_mouse_gut	genus_xny_a0.02	3	-0.04133951123061941	-0.01069020650777297	3	0	-7.863468692933159e-06	0	1.1102230246251565e-16
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.02	3	-0.052123408943032246	-0.014270703664692519	3	0	7.807753289793921e-05	0	0.0
hmp_airskin_gtdb_source_abundance	genus_xny_a0.02	24	-0.09382430129734232	0.04440714821099334	21	3	0.00013574422252299323	0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.02	2	-0.016079856166927975	0.016954733387814613	1	1	0.0001680832483127448	0	1.1102230246251565e-16
cami2_toy_mouse_gut	genus_xny_a0.05	3	-0.09723442602193237	-0.01643409332559731	3	0	-2.1004954076827193e-05	0	1.1102230246251565e-16
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.05	3	-0.1280673685427942	-0.03567675916177393	3	0	0.00018657785898449722	0	0.0
hmp_airskin_gtdb_source_abundance	genus_xny_a0.05	24	-0.2253738906472361	0.16819142258147934	21	3	0.00033213114152747897	0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.05	2	-0.040199640417396765	0.042386833469482355	1	1	0.00041697553029373946	0	1.1102230246251565e-16
cami2_toy_mouse_gut	genus_xny_a0.10	3	-0.1473736932194516	-0.015057669579784161	3	0	-4.64771712963182e-05	0	1.1102230246251565e-16
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.10	3	-0.2461808160196739	-0.07133666917084724	3	0	0.00034446173773172717	0	0.0
hmp_airskin_gtdb_source_abundance	genus_xny_a0.10	24	-0.421262655607689	0.3744985465323012	21	3	0.0006404321936392213	0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.10	2	-0.07625019040685377	0.09307184779481581	1	1	0.0008232431242957694	0	1.1102230246251565e-16
cami2_toy_mouse_gut	genus_xny_a0.15	3	-0.16300069430685996	-0.00853702342732987	3	0	-7.6378629229971e-05	0	1.1102230246251565e-16
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.15	3	-0.3638892780587071	-0.10699055019834702	3	0	0.0004737074480529735	0	0.0
hmp_airskin_gtdb_source_abundance	genus_xny_a0.15	24	-0.5991513123044951	0.5808056704830982	21	3	0.0009254056725439089	0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.15	2	-0.11146396934252589	0.14543040422776166	1	1	0.0012189287187683862	0	1.1102230246251565e-16
cami2_toy_mouse_gut	genus_xny_a0.25_cap0.005	3	-0.1562833539324243	0.019184822225343012	2	1	-0.00014931813688475368	0	1.1102230246251565e-16
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.25_cap0.005	3	-0.5978022046925892	-0.17433755442938548	3	0	0.0006474261766141742	0	0.0
hmp_airskin_gtdb_source_abundance	genus_xny_a0.25_cap0.005	24	-0.722417808397429	0.9494742433848771	20	4	0.0009724091355900327	0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.25_cap0.005	2	-0.17619340545503093	0.26154376061127493	1	1	0.001979054633162891	0	1.1102230246251565e-16
cami2_toy_mouse_gut	genus_xny_a0.25	3	-0.1562833539324243	0.019184822225343012	2	1	-0.00014931813688475368	0	1.1102230246251565e-16
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.25	3	-0.5991221733266627	-0.17829831225331816	3	0	0.0006465627869829035	0	0.0
hmp_airskin_gtdb_source_abundance	genus_xny_a0.25	24	-0.9321019613222351	0.9934199183847312	20	4	0.001427375354945128	0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.25	2	-0.17619340545503093	0.26154376061127493	1	1	0.001979054633162891	0	1.1102230246251565e-16
