panel	method	samples	sample_count	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	official_L1_pp	official_Pearson
cami2_toy_mouse_gut	genus_xny_a0.02	5,6,7	3	0.8949021318102098	0.8789659224441834	374	10	93	13.488851967977252	0.9882082353775639
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.02	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	57.69511082906997	0.8643988352773578
hmp_airskin_gtdb_source_abundance	genus_xny_a0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	22.319271880313284	0.9812307447331904
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.02	0,6	2	0.9328063241106719	0.9285714285714286	78	9	3	46.34186238123641	0.8964492822630314
cami2_toy_mouse_gut	genus_xny_a0.05	5,6,7	3	0.8949021318102098	0.8789659224441834	374	10	93	13.432957053185937	0.9881950938921801
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.05	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	57.619166869470206	0.8645073356034444
hmp_airskin_gtdb_source_abundance	genus_xny_a0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	22.18772229096339	0.981427131652195
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.05	0,6	2	0.9328063241106719	0.9285714285714286	78	9	3	46.317742596985944	0.8966981745450124
cami2_toy_mouse_gut	genus_xny_a0.10	5,6,7	3	0.8949021318102098	0.8789659224441834	374	10	93	13.382817785988417	0.9881696216749605
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.10	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	57.50105342199333	0.8646652194821917
hmp_airskin_gtdb_source_abundance	genus_xny_a0.10	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	21.991833526002935	0.9817354327043066
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.10	0,6	2	0.9328063241106719	0.9285714285714286	78	9	3	46.28169204699648	0.8971044421390144
cami2_toy_mouse_gut	genus_xny_a0.15	5,6,7	3	0.8949021318102098	0.8789659224441834	374	10	93	13.36719078490101	0.9881397202170269
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.15	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	57.38334495995429	0.8647944651925128
hmp_airskin_gtdb_source_abundance	genus_xny_a0.15	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	21.81394486930613	0.9820204061832113
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.15	0,6	2	0.9328063241106719	0.9285714285714286	78	9	3	46.24647826806081	0.8975001277334871
cami2_toy_mouse_gut	genus_xny_a0.25_cap0.005	5,6,7	3	0.8949021318102098	0.8789659224441834	374	10	93	13.373908125275447	0.9880667807093721
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.25_cap0.005	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	57.14943203332041	0.8649681839210741
hmp_airskin_gtdb_source_abundance	genus_xny_a0.25_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	21.6906783732132	0.9820674096462573
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.25_cap0.005	0,6	2	0.9328063241106719	0.9285714285714286	78	9	3	46.18174883194831	0.8982602536478815
cami2_toy_mouse_gut	genus_xny_a0.25	5,6,7	3	0.8949021318102098	0.8789659224441834	374	10	93	13.373908125275447	0.9880667807093721
cami3_toy_human_gut_gtdb_source_readmap	genus_xny_a0.25	0,1,2	3	0.8257301517275047	0.8243021346469621	251	62	45	57.14811206468634	0.8649673205314429
hmp_airskin_gtdb_source_abundance	genus_xny_a0.25	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	21.48099422028839	0.9825223758656124
hmp_gastrooral_gtdb_source_abundance	genus_xny_a0.25	0,6	2	0.9328063241106719	0.9285714285714286	78	9	3	46.18174883194831	0.8982602536478815
