panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta	method
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-0.09177228412232807	1.6747840476671882e-05	genus_xny_a0.02
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.02155604306175718	-2.9449993060426394e-05	genus_xny_a0.02
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	-0.01069020650777297	-1.0888253495044964e-05	genus_xny_a0.02
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-0.02962046847550681	7.048873113146836e-05	genus_xny_a0.02
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	-0.014270703664692519	9.080539958861156e-05	genus_xny_a0.02
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-0.1124790546888974	7.293846797373771e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-0.15860010111513034	0.00029600737957125034	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	-0.062236598777065666	2.087824414498396e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	-0.043867958589638434	4.573698975329776e-06	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-0.10433693144062417	4.9116380744673727e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	-0.046919738667435595	3.2266266958291823e-07	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	0.04440714821099334	-0.00032590194486781243	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-0.15730918964023033	6.948257857375406e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-0.30116062282105105	0.00024715758143478705	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.02068690232208681	-1.957920483608433e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.002872449186547499	0.00014730447609612174	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-0.12016350441064105	0.00044493985799953784	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.03214323415815734	6.6161934535458045e-06	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.03161141924797306	3.016011379308736e-06	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.02405984856771326	1.0796802448753695e-06	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-0.15386451905676424	3.704894896650046e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.022831806767626972	1.781134258904693e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-0.1727231418429156	0.000388520214237853	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-0.1308307819390393	0.0001094633826623781	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-0.4487916930366538	0.0011116185862714012	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.009092267708712853	8.861948912364248e-06	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.006664486743058973	1.322589063545987e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.00028138189386872625	3.723507844444196e-05	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-0.1899090788997384	0.00041398489553889917	genus_xny_a0.02
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	-0.06154038467536793	0.00017507745670963804	genus_xny_a0.02
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.016954733387814613	-7.053106467236336e-05	genus_xny_a0.02
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	-0.04911444572167056	0.00040669756129785295	genus_xny_a0.02
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-0.224367813686829	4.023389823559764e-05	genus_xny_a0.05
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.05090137105337078	-7.513011483428755e-05	genus_xny_a0.05
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	-0.01643409332559731	-2.8118645631791672e-05	genus_xny_a0.05
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-0.0673277097444327	0.00016633854895842237	genus_xny_a0.05
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	-0.03567675916177393	0.00021391267403003678	genus_xny_a0.05
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-0.281197636722176	0.00017948235396503254	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-0.39650025278782763	0.0007243696287534407	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	-0.15559149694262686	5.162220175558563e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	-0.10448522005293626	1.0691802710960374e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-0.2608423286014627	0.00011974517928314832	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	-0.11729934666857744	-1.0702738805212775e-06	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	0.16819142258147934	-0.0008220659325869351	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-0.39327297410049056	0.00017171716815733706	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-0.7489603042447186	0.0006043911109201439	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.05171725580526498	-5.145161140607257e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.007181122966365194	0.00036404274630796873	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-0.3004087610265813	0.001105449020138427	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.08035808539537115	1.631708408011967e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.0790285481198918	7.464622064579096e-06	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.0601496214192796	2.6731937354806945e-06	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-0.3815709846424298	9.152265067324805e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.05707951691908164	4.434774476724801e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-0.4204520116860877	0.0009570419186629708	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-0.3270769548475947	0.0002694363237470965	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-0.9916921503059797	0.002716500855216908	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.022730669271883386	2.17006748869375e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.016661216857670524	3.1622080680082654e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.0007034547347046782	9.142547783924648e-05	genus_xny_a0.05
