panel	sample	source_profile	adjusted_profile	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	adjusted_base_row_frac	metadata_candidate_raw_mass_before	n_calls	n_base_calls	n_candidate_calls	candidate_call_frac	abundance_entropy	top1_abundance	top3_abundance	raw_mass_sum	base_raw_mass	candidate_raw_mass	candidate_raw_frac	s_xny_median	s_xny_mean	u_xny_median	xny_max_median	s_breadth_median	u_breadth_median	s_depth_median	u_depth_median	s_zip_median	u_zip_median	probability_mean	probability_min	base_genus_count	multi_species_genus_count	max_species_per_genus	base_mass_multi_genus_frac	blend_perturb_raw_sum	blend_perturb_base_frac	blend_perturb_row_frac	blend_perturb_max_frac
cami2_toy_mouse_gut	5	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample5.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample5.genus_xny_a0.25.tsv	162.0	0.0	162.0	83.0	0.5123456790123457	0.0	162.0	162.0	0.0	0.0	2.9186326232318818	0.4168705037010741	0.5687209865705384	447.62143312003894	447.62143312003894	0.0	0.0	249.0	350.0987654320988	196.5	249.0	0.20597549999999998	0.1965	0.2773625	0.2215	0.720898	0.7208715	0.840311521890512	0.3611660369475717	105.0	26.0	9.0	0.8442072326434183	11.134360952348	0.024874503606180296	0.5123456790123457	0.003834145972927072
cami2_toy_mouse_gut	6	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample6.genus_xny_a0.25.tsv	158.0	1.0	157.0	90.0	0.5732484076433121	1.5003643291521545	158.0	157.0	1.0	0.006329113924050633	3.1406162429366646	0.2968895930101031	0.5506146653872621	473.0164954266237	471.51613109747154	1.5003643291521545	0.00317190699195161	290.5	392.10759493670884	203.5	290.5	0.24637900000000001	0.20350000000000001	0.3188185	0.264	0.7120545	0.7410405	0.8187490901742945	0.1710221196407425	94.0	27.0	12.0	0.8207859226205523	10.750628231953886	0.022800128188470232	0.5732484076433121	0.0027737954809709184
cami2_toy_mouse_gut	7	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample7.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample7.genus_xny_a0.25.tsv	64.0	0.0	64.0	29.0	0.453125	0.0	64.0	64.0	0.0	0.0	2.6307759714083243	0.2322788332677496	0.5258560952722275	809.105830481334	809.105830481334	0.0	0.0	455.5	557.171875	383.5	455.5	0.4066955	0.3835	0.6096425	0.5365	0.780851	0.71704	0.8480815400757893	0.2537453255923714	46.0	11.0	5.0	0.6212019710664737	7.558129801081325	0.00934133646841356	0.453125	0.0014893146725594214
cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample0.genus_xny_a0.25.tsv	96.0	2.0	94.0	33.0	0.35106382978723405	37.869789510247024	96.0	94.0	2.0	0.020833333333333332	3.1587324125221588	0.2882640129044611	0.41586877304345554	874.0689926158605	836.1992031056135	37.869789510247024	0.043325858519374566	236.0	344.7083333333333	87.0	236.0	0.1197795	0.087	0.240166	0.1325	0.395238	0.6990315	0.7028875639931177	0.031777948666301	70.0	9.0	6.0	0.2779315671802909	26.46186144557599	0.03164540380724784	0.35106382978723405	0.0050052198355252054
cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/minco_candidate_preset_replay_20260629/cami3_sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample1.genus_xny_a0.25.tsv	101.0	2.0	99.0	37.0	0.37373737373737376	32.50918885147921	101.0	99.0	2.0	0.019801980198019802	3.401164941326245	0.1626741984148899	0.3340887860053828	729.0550589980166	696.5458701465375	32.50918885147921	0.044590855587997025	204.0	346.23762376237624	103.0	204.0	0.123561	0.103	0.190651	0.116	0.508718	0.708367	0.7184498101174217	0.0454671462075862	73.0	11.0	6.0	0.26681890451551654	18.019523020278335	0.025869829673223724	0.37373737373737376	0.00662839233691929
cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/minco_candidate_preset_replay_20260629/cami3_sample2.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample2.genus_xny_a0.25.tsv	116.0	1.0	115.0	52.0	0.45217391304347826	13.511133345657417	116.0	115.0	1.0	0.008620689655172414	3.106540468188764	0.2225394570998194	0.3959364382681906	627.7093943538135	614.1982610081561	13.511133345657417	0.02152450396184728	111.0	273.91379310344826	34.0	111.0	0.06446750000000001	0.034	0.13451200000000002	0.0695	0.350171	1.0	0.6596479121052998	0.1138787574495514	77.0	14.0	8.0	0.6618999137123793	10.433269806579913	0.01698681104934188	0.45217391304347826	0.003318818005300225
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample0.genus_xny_a0.25.tsv	36.0	0.0	36.0	21.0	0.5833333333333334	0.0	36.0	36.0	0.0	0.0	2.312764224857559	0.4012979127775566	0.6192855417270018	408.9642011941639	408.9642011941639	0.0	0.0	622.0	583.2222222222222	369.5	622.0	0.4579	0.3695	1.2599595	0.401	0.65008	1.0	0.7779897524555616	0.3577064869556492	23.0	8.0	6.0	0.875944010633818	16.763328515330073	0.04098972102296883	0.5833333333333334	0.010878063357414751
hmp_airskin_gtdb_source_abundance	1	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample1.genus_xny_a0.25.tsv	99.0	0.0	99.0	54.0	0.5454545454545454	0.0	99.0	99.0	0.0	0.0	2.3487521486960277	0.4509201316584091	0.6914413394442369	797.3620335604977	797.3620335604977	0.0	0.0	412.0	432.57575757575756	132.0	412.0	0.194308	0.132	0.643812	0.145	0.772362	1.0	0.6526832247296572	0.3749368973642101	56.0	19.0	8.0	0.7174211999200178	15.204383641600348	0.019068356658151264	0.5454545454545454	0.0025979638183399522
hmp_airskin_gtdb_source_abundance	10	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample10.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample10.genus_xny_a0.25.tsv	69.0	0.0	69.0	46.0	0.6666666666666666	0.0	69.0	69.0	0.0	0.0	2.6950136586876883	0.2076503416393362	0.5142230242631106	544.9605847625855	544.9605847625855	0.0	0.0	409.0	491.231884057971	250.0	409.0	0.282367	0.25	0.5689	0.264	0.665448	1.0	0.8117746856157045	0.3723527197478625	31.0	8.0	23.0	0.7164407433296367	9.755391925497605	0.0179010963329533	0.6666666666666666	0.003505970427112533
hmp_airskin_gtdb_source_abundance	11	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample11.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample11.genus_xny_a0.25.tsv	32.0	0.0	32.0	20.0	0.625	0.0	32.0	32.0	0.0	0.0	2.5306329745367555	0.1894421312224603	0.4667641340632604	721.1873437604959	721.1873437604959	0.0	0.0	922.5	851.5625	554.5	922.5	0.6840310000000001	0.5545	3.5829895	0.8175	0.6910810000000001	1.0	0.846857413231869	0.4616591226730817	16.0	4.0	10.0	0.9501531916994842	11.54865239684571	0.016013387501543543	0.625	0.0038802177668525064
