rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	switched_samples	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	base_mass_multi_genus_frac	>=	0.37501510201405147	32	27	-0.8147591133020246	0.0392577798145055	24	3	-0.47857948950326246	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	base_mass_multi_genus_frac	>=	0.37501510201405147	32	27	-0.8147591133020246	0.0392577798145055	24	3	-0.47857948950326246	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	u_xny_median	<=	650.0500000000001	32	26	-0.8120279538154003	0.0392577798145055	24	2	-0.5062671550132118	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	u_breadth_median	<=	0.65005	32	26	-0.8120279538154003	0.0392577798145055	24	2	-0.5062671550132118	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	u_xny_median	<=	650.0500000000001	32	26	-0.8120279538154003	0.0392577798145055	24	2	-0.5062671550132118	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	u_breadth_median	<=	0.65005	32	26	-0.8120279538154003	0.0392577798145055	24	2	-0.5062671550132118	-0.15628335393242426	4	0
single	max_species_per_genus	>=	5.0				32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	candidate_added_rows	>=	0.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	metadata_candidate_raw_mass_before	>=	0.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	n_candidate_calls	>=	0.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	candidate_call_frac	>=	0.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	candidate_raw_mass	>=	0.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	candidate_raw_frac	>=	0.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	u_zip_median	<=	1.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	probability_min	>=	0.0	32	31	-0.8119521994626808	0.2615437606112749	26	5	-0.47627334765893015	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	blend_perturb_max_frac	>=	0.001848269724903565	32	27	-0.8114742966580801	0.2204793383230292	24	3	-0.5074814959147032	-0.16267829467420525	4	0
single	s_depth_median	<=	5.294014250000002				32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	s_depth_median	<=	5.294014250000002	32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	candidate_added_rows	>=	0.0	32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	n_candidate_calls	>=	0.0	32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	candidate_call_frac	>=	0.0	32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	candidate_raw_mass	>=	0.0	32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	candidate_raw_frac	>=	0.0	32	28	-0.8095537152408103	0.2615437606112749	25	3	-0.4754738529183066	-0.15628335393242426	4	0
