panel	sample	source_profile	adjusted_profile	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	base_raw_mass_before	base_raw_mass_after	candidate_raw_mass_before	candidate_raw_mass_after	called_raw_mass_before	called_raw_mass_after
cami2_toy_mouse_gut	5	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample5.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample5.genus_xny_a0.25.tsv	162	0	162	83	447.62143312003894	447.62143312003894	0.0	0.0	447.62143312003894	447.62143312003894
cami2_toy_mouse_gut	6	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample6.genus_xny_a0.25.tsv	158	1	157	90	471.51613109747154	471.51613109747143	1.5003643291521545	1.5003643291521545	473.0164954266237	473.0164954266236
cami2_toy_mouse_gut	7	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample7.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample7.genus_xny_a0.25.tsv	64	0	64	29	809.105830481334	809.105830481334	0.0	0.0	809.105830481334	809.105830481334
cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample0.genus_xny_a0.25.tsv	96	2	94	33	836.1992031056135	836.1992031056135	37.869789510247024	37.869789510247024	874.0689926158605	874.0689926158606
cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/minco_candidate_preset_replay_20260629/cami3_sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample1.genus_xny_a0.25.tsv	101	2	99	37	696.5458701465375	696.5458701465375	32.50918885147921	32.50918885147921	729.0550589980166	729.0550589980166
cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/minco_candidate_preset_replay_20260629/cami3_sample2.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample2.genus_xny_a0.25.tsv	116	1	115	52	614.1982610081561	614.1982610081559	13.511133345657417	13.511133345657417	627.7093943538135	627.7093943538133
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample0.genus_xny_a0.25.tsv	36	0	36	21	408.9642011941639	408.9642011941639	0.0	0.0	408.9642011941639	408.9642011941639
hmp_airskin_gtdb_source_abundance	1	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample1.genus_xny_a0.25.tsv	99	0	99	54	797.3620335604977	797.3620335604978	0.0	0.0	797.3620335604977	797.3620335604978
hmp_airskin_gtdb_source_abundance	3	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample3.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample3.genus_xny_a0.25.tsv	47	0	47	34	843.9592241304858	843.9592241304861	0.0	0.0	843.9592241304858	843.9592241304861
hmp_airskin_gtdb_source_abundance	4	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample4.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample4.genus_xny_a0.25.tsv	137	0	137	101	699.6853467325391	699.6853467325391	0.0	0.0	699.6853467325391	699.6853467325391
hmp_airskin_gtdb_source_abundance	5	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample5.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample5.genus_xny_a0.25.tsv	26	0	26	14	573.7486646829607	573.7486646829607	0.0	0.0	573.7486646829607	573.7486646829607
hmp_airskin_gtdb_source_abundance	6	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample6.genus_xny_a0.25.tsv	17	1	16	2	982.4895310475591	982.4895310475591	12.345963447143628	12.345963447143628	994.8354944947027	994.8354944947027
hmp_airskin_gtdb_source_abundance	7	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample7.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample7.genus_xny_a0.25.tsv	89	0	89	69	687.4666704624319	687.4666704624318	0.0	0.0	687.4666704624319	687.4666704624318
hmp_airskin_gtdb_source_abundance	9	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample9.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample9.genus_xny_a0.25.tsv	102	0	102	70	699.3135248795265	699.3135248795265	0.0	0.0	699.3135248795265	699.3135248795265
hmp_airskin_gtdb_source_abundance	10	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample10.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample10.genus_xny_a0.25.tsv	69	0	69	46	544.9605847625855	544.9605847625854	0.0	0.0	544.9605847625855	544.9605847625854
