sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	adaptive_call_filter_switch	adaptive_call_filter_applied	profile	adaptive_call_filter_removed_n	adaptive_call_filter_input_call_n	adaptive_call_filter_output_call_n	observed_called_n	adaptive_call_filter_max_xny_median	adaptive_call_filter_max_xny_median_threshold	adaptive_call_filter_min_xny_threshold	expected_offline_method	panel	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_taxid_mapped	pred_rows_name_mapped	raw_ref_rows	raw_ref_taxids	raw_ref_taxids_gtdb_mapped	truth_species	pred_species	added_species	rule
5	default_candidate_preset_genus_xny_blend_a0.25	198.0	162.0	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	16.824759128008335	15.053776473397667	0.9915299468586941	0.9918953859681928	162.0	off	False	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample5.genus_xny_a0.25.tsv	0.0	162.0	162.0	162.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut											
6	default_candidate_preset_genus_xny_blend_a0.25	201.0	158.0	154	4	47	0.9746835443037974	0.7661691542288557	0.8579387186629526	22.041678531749483	19.221640581387028	0.9732999251203178	0.9740521541152756	158.0	off	False	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample6.genus_xny_a0.25.tsv	0.0	157.0	157.0	158.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut											
7	default_candidate_preset_genus_xny_blend_a0.25	68.0	64.0	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.935713461840072	5.846307321041642	0.9982524849081442	0.998252802044648	64.0	off	False	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami2_toy_mouse_gut.sample7.genus_xny_a0.25.tsv	0.0	64.0	64.0	64.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut											
0	default_candidate_preset_genus_xny_blend_a0.25	93.0	96.0	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	62.01520900826966	51.460750652029105	0.917312978371606	0.9280241333972251	96.0	off	False	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample0.genus_xny_a0.25.tsv	0.0	94.0	94.0	96.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	96.0	0.0	0.0	91045.0	18736.0	18736.0				
1	default_candidate_preset_genus_xny_blend_a0.25	104.0	101.0	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	67.015306799961	57.410178000373676	0.7222917081916653	0.739142353558909	101.0	off	False	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample1.genus_xny_a0.25.tsv	0.0	99.0	99.0	101.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	101.0	0.0	0.0	99413.0	20580.0	20580.0				
2	default_candidate_preset_genus_xny_blend_a0.25	99.0	116.0	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	42.413820385828366	32.36723363956162	0.9552972750310571	0.9649943539752359	116.0	off	False	/tmp/minco_candidate_preset_genus_xny_blend_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample2.genus_xny_a0.25.tsv	0.0	115.0	115.0	116.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	116.0	0.0	0.0	86694.0	18601.0	18601.0				
0	default_candidate_preset_genus_xny_blend_a0.25			29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	17.472039114512704		0.9926113001405401					/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample0.genus_xny_a0.25.tsv									hmp_airskin_gtdb_source_abundance								33.0	36.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
1	default_candidate_preset_genus_xny_blend_a0.25			51	48	0	0.5151515151515151	1.0	0.6799999999999999	17.451515483794044		0.9976331035941132					/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample1.genus_xny_a0.25.tsv									hmp_airskin_gtdb_source_abundance								51.0	99.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
3	default_candidate_preset_genus_xny_blend_a0.25			45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	12.261684173035142		0.9970534017231042					/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample3.genus_xny_a0.25.tsv									hmp_airskin_gtdb_source_abundance								47.0	47.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
4	default_candidate_preset_genus_xny_blend_a0.25			102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	27.42252927995227		0.988876372118678					/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample4.genus_xny_a0.25.tsv									hmp_airskin_gtdb_source_abundance								106.0	137.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
