panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-0.3604516992112128	0.0001474939558435695
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.12758318481140307	-0.00042499074776858325
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	0.019184822225343012	-0.00017045761872924725
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-0.21390354382198495	0.0005029658601811704
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	-0.17829831225331816	0.000632800006745593
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-1.405164663904685	0.0008039224940219469
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-1.3083261671230417	0.003107529092145511
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	-0.6543682062985354	0.0002391601786195796
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	-0.40898281665071323	2.8854872328953896e-05
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-1.3042116430070756	0.0004981038952731609
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	0.22047933832302924	-6.787075957503941e-05
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	0.9934199183847312	-0.004356730943256837
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-1.9084639294891446	0.0007935989082550332
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-3.660652842040335	0.002590859672079504
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.22948079177677627	-0.0003395893207547296
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.03925777981450551	0.0016802246019942402
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-1.502043805132793	0.005302618800899106
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.36990879580028313	7.41819026744972e-05
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.39514274059928844	3.4822818692381574e-05
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.30074810709632604	1.2503844268429987e-05
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-1.7946883252753452	0.0004216208534645327
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.18236812622439658	0.00021574343627628334
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-1.6065348807958415	0.004319837867809206
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-1.1795410956905208	0.0012079228280493792
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-3.8685596546653365	0.011605302675176232
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.1136533463594418	9.343545644890927e-05
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.08330608428846631	0.0001105239094181254
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.0035172736734416787	0.00040204156331280494
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-1.9940551545845153	0.004377088275318353
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	-0.7620848690312627	0.001905224089765567
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.26154376061127493	-0.0009013947566667291
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	-0.6139305715213368	0.004859504022992511
