panel	sample	profile	profile_strategy_values	candidate_rescue_switch_values	candidate_surface_switch_values	called_rows	candidate_added_rows	candidate_rescue_added_rows	candidate_surface_added_rows	nonzero_candidate_rows	candidate_added_abundance_sum	candidate_added_raw_sum	candidate_added_norm_mass_sum	base_called_raw_mass	max_candidate_raw_mass_delta
cami2_toy_mouse_gut	5	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample5.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	162	0	0	0	0	0.0	0.0	0.0	447.62143312003894	0.0
cami2_toy_mouse_gut	6	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample6.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	158	1	1	0	1	0.0031719069919516	1.5003643291521545	0.003182	471.51613109747154	0.0
cami2_toy_mouse_gut	7	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample7.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	64	0	0	0	0	0.0	0.0	0.0	809.105830481334	0.0
cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample0.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	96	2	2	0	2	0.043325858519374504	37.869789510247024	0.045288	836.1992031056135	0.0
cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/minco_candidate_preset_replay_20260629/cami3_sample1.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	101	2	2	0	2	0.0445908555879969	32.50918885147921	0.046672000000000005	696.5458701465375	3.552713678800501e-15
cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/minco_candidate_preset_replay_20260629/cami3_sample2.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	116	1	1	0	1	0.0215245039618472	13.511133345657417	0.021998	614.1982610081561	1.7763568394002505e-15
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample0.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	36	0	0	0	0	0.0	0.0	0.0	408.9642011941639	0.0
hmp_airskin_gtdb_source_abundance	1	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample1.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	99	0	0	0	0	0.0	0.0	0.0	797.3620335604977	0.0
hmp_airskin_gtdb_source_abundance	3	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample3.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	47	0	0	0	0	0.0	0.0	0.0	843.9592241304858	0.0
hmp_airskin_gtdb_source_abundance	4	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample4.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	137	0	0	0	0	0.0	0.0	0.0	699.6853467325391	0.0
