wall_clock	max_rss_kb	exit_status	panel	sample	command	elapsed_s	time_log	status
0:13.20	2196672	0	cami2_toy_mouse_gut	5	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/cami2_toy_mouse_gut.sample5.candidate_preset.time.log	reused
0:13.18	2225572	0	cami2_toy_mouse_gut	6	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/cami2_toy_mouse_gut.sample6.candidate_preset.time.log	reused
0:12.79	2196288	0	cami2_toy_mouse_gut	7	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/cami2_toy_mouse_gut.sample7.candidate_preset.time.log	reused
0:08.02	1573020	0	cami3_toy_human_gut_gtdb_source_readmap	0	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample0.candidate_preset.time.log	reused
0:08.26	1600804	0	cami3_toy_human_gut_gtdb_source_readmap	1	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample1.candidate_preset.time.log	reused
0:08.07	1545040	0	cami3_toy_human_gut_gtdb_source_readmap	2	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/cami3_toy_human_gut_gtdb_source_readmap.sample2.candidate_preset.time.log	reused
0:15.81	3304592	0	hmp_airskin_gtdb_source_abundance	0	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample0.candidate_preset.time.log	reused
0:15.08	3224420	0	hmp_airskin_gtdb_source_abundance	1	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample1.candidate_preset.time.log	reused
0:13.95	3023156	0	hmp_airskin_gtdb_source_abundance	3	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample3.candidate_preset.time.log	reused
0:15.24	3228868	0	hmp_airskin_gtdb_source_abundance	4	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample4.candidate_preset.time.log	reused
0:15.21	3217472	0	hmp_airskin_gtdb_source_abundance	5	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample5.candidate_preset.time.log	reused
0:14.31	3098328	0	hmp_airskin_gtdb_source_abundance	6	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample6.candidate_preset.time.log	reused
0:14.85	3154232	0	hmp_airskin_gtdb_source_abundance	7	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample7.candidate_preset.time.log	reused
0:15.03	3188032	0	hmp_airskin_gtdb_source_abundance	9	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample9.candidate_preset.time.log	reused
0:14.94	3208004	0	hmp_airskin_gtdb_source_abundance	10	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample10.candidate_preset.time.log	reused
0:15.36	3263400	0	hmp_airskin_gtdb_source_abundance	11	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample11.candidate_preset.time.log	reused
0:14.58	3113504	0	hmp_airskin_gtdb_source_abundance	13	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample13.candidate_preset.time.log	reused
0:14.47	3091248	0	hmp_airskin_gtdb_source_abundance	14	reuse existing default candidate preset profile	0.000	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample14.candidate_preset.time.log	reused
