panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	0.0	0.0
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-7.105427357601002e-15	-1.1102230246251565e-16
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	1.7763568394002505e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	1.7763568394002505e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	-1.4210854715202004e-14	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	0.0	0.0
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	0.0	0.0
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.06393292946720841	1.9691890824513614e-05
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-3.552713678800501e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.1400053407704025	6.875536360995138e-05
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.0	0.0
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	0.0	0.0
