method	panels	mean_panel_pooled_F1	mean_panel_L1_union_pp	mean_panel_Pearson_union	mean_panel_added_mass_before_norm	mean_delta_L1_union_pp	max_worse_L1_union_pp	mean_delta_Pearson_union	improved_samples_L1	worsened_samples_L1	unchanged_samples_L1	mean_sample_added_mass_before_norm
depth_share_alpha0.05	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.62167374952078	0.932210072338933	0.0010987762701767567	-0.027216999074855044	0.0	0.00010298333900158842	9.0	0.0	17.0	0.00025229604012594857
depth_share_alpha0.1	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.4817632407527	0.9327951271238799	0.0021975525403535134	-0.05424899565559006	0.0	0.00020193133455164415	9.0	0.0	17.0	0.0005045920802518971
depth_share_alpha0.25	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.072053167246146	0.9344001551709078	0.005493881350883784	-0.1335755899881013	0.0	0.0004741934820137568	9.0	0.0	17.0	0.001261480200629743
depth_share_alpha0.25_cap0.001	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.68360424891356	0.9318313630853238	0.0006970717756097375	-0.032188755007164685	0.0	6.349406654810618e-05	9.0	0.0	17.0	0.00044074789343336165
depth_share_alpha0.25_cap0.003	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.54545822701632	0.9322477349006937	0.001745976359382686	-0.06074404233115181	0.0	0.0001430519019808157	9.0	0.0	17.0	0.0006848794327064969
depth_share_alpha0.25_cap0.005	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.46913038105025	0.93258054709107	0.0023613399989237784	-0.07248678786439317	0.0	0.00019425377742330843	9.0	0.0	17.0	0.0007795507618666651
depth_share_alpha0.25_cap0.01	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.309095025651814	0.9333408620394001	0.0036113399989237778	-0.09710761177184454	0.0	0.0003112253079356518	9.0	0.0	17.0	0.0009718584541743573
depth_share_alpha0.25_cap0.02	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.072053167246146	0.9344001551709078	0.005493881350883784	-0.1335755899881013	0.0	0.0004741934820137568	9.0	0.0	17.0	0.001261480200629743
depth_share_alpha0.25_cap0.05	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.072053167246146	0.9344001551709078	0.005493881350883784	-0.1335755899881013	0.0	0.0004741934820137568	9.0	0.0	17.0	0.001261480200629743
depth_share_alpha0.5	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	34.66864247860119	0.9365633244849383	0.010987762701767568	-0.22252481477566807	0.0	0.0008442436717309325	9.0	0.0	17.0	0.002522960401259486
depth_share_alpha0.5_cap0.001	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.6823815741916	0.9318329128586126	0.0007351724332488599	-0.03444600064770716	0.0	6.63551864657155e-05	9.0	0.0	17.0	0.0005110875690748183
depth_share_alpha0.5_cap0.003	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.534366162423794	0.9322586876407424	0.001935983050155951	-0.08122170004043096	0.0	0.00016327234514744543	9.0	0.0	17.0	0.001035661015672525
depth_share_alpha0.5_cap0.005	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.47788495687829	0.9326451940806901	0.0029776497168226175	-0.09595635424380607	0.0	0.00023690510192510603	9.0	0.0	17.0	0.0012664302464417557
depth_share_alpha0.5_cap0.01	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.34579540993668	0.933446443908023	0.004722679997847557	-0.11834744072405524	0.0	0.000364723582974731	9.0	0.0	17.0	0.0015591015237333302
depth_share_alpha0.5_cap0.02	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.03727498524223	0.9348304413589499	0.0072226799978475555	-0.1658121214462782	0.0	0.0005776462677327035	9.0	0.0	17.0	0.0019437169083487147
depth_share_alpha0.5_cap0.05	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	34.66864247860119	0.9365633244849383	0.010987762701767568	-0.22252481477566807	0.0	0.0008442436717309325	9.0	0.0	17.0	0.002522960401259486
depth_share_alpha1	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	34.446091779559254	0.9389270696511203	0.021975525403535135	-0.2912400954461842	0.16472350460291807	0.0012636072779770814	6.0	3.0	17.0	0.005045920802518972
depth_share_alpha10	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	51.70339311881955	0.8046551232148925	0.21975525403535137	3.9456274944826886	52.870964247995246	-0.022755846831025585	1.0	8.0	17.0	0.05045920802518971
depth_share_alpha1_cap0.001	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.68205601941458	0.9318329575924964	0.0007411781998310532	-0.03504702485143286	0.0	6.643777209746328e-05	9.0	0.0	17.0	0.0005221751381496367
depth_share_alpha1_cap0.003	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.53368664040544	0.9322662066742575	0.0021663008054936973	-0.08247620222815365	0.10066114792182645	0.00017715363779063055	7.0	2.0	17.0	0.0014608630255268256
depth_share_alpha1_cap0.005	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.466998872791436	0.9326595508501161	0.003351132766978569	-0.11605374025030867	0.12035381839978498	0.0002634099070187472	7.0	2.0	17.0	0.0019559374159604345
