sample	source_genome_id	source_accession	raw_abundance	gtdb_species	mapping_method
0	OTU_97.14013.0	GCA_001307585.1	4.0	s__Bordetella pertussis	exact_accession
0	OTU_97.44483.0	GCA_000331995.1	20.0	s__Thermoclostridium stercorarium	exact_accession
0	OTU_97.18736.0	GCA_000261025.1	3.0	s__Prevotella intermedia	exact_accession
0	OTU_97.4094.1	GCA_000967115.1	0.99337365854	s__Clostridium_G tetani	exact_accession
0	OTU_97.4094.0	GCA_000833105.2	0.00662634145972	s__Clostridium beijerinckii	exact_accession
0	OTU_97.40136.0	GCA_001013565.1	2.0	s__Bordetella pertussis	exact_accession
0	OTU_97.7551.0	GCA_000265365.1	1.0	s__Alistipes finegoldii	exact_accession
0	OTU_97.6890.0	GCA_001304715.1	2.0	s__Megasphaera elsdenii	exact_accession
0	OTU_97.17701.0	GCA_001697245.1	2.0	s__Thermoclostridium stercorarium	exact_accession
0	OTU_97.20552.0	GCA_001605425.1	1.0	s__Bordetella pertussis	exact_accession
0	OTU_97.7000.0	GCA_001698185.1	13.0	s__Bordetella pseudohinzii	exact_accession
0	OTU_97.30392.0	GCA_000190535.1	2.0	s__Odoribacter splanchnicus	exact_accession
0	OTU_97.43183.0	GCA_000092345.1	1.0	s__Clostridium_F botulinum	exact_accession
0	OTU_97.1070.0	GCA_000212675.2	1.0	s__Desulfocurvibacter africanus	exact_accession
0	OTU_97.2576.0	GCA_001856695.1	1.0	s__Clostridium_I pasteurianum	exact_accession
0	OTU_97.18340.0	GCA_001858005.1	1.0	s__Butyrivibrio hungatei	exact_accession
0	OTU_97.3310.0	GCA_000243135.3	1.0	s__Desulfitobacterium dichloroeliminans	exact_accession
0	OTU_97.15599.0	GCA_001465175.1	1.0	s__Clostridium butyricum	exact_accession
0	OTU_97.10120.0	GCA_001307665.1	5.0	s__Bordetella pertussis	exact_accession
0	OTU_97.36636.0	GCA_001686505.1	1.0	s__Bordetella pertussis	exact_accession
0	OTU_97.40665.0	GCA_000011065.1	1.0	s__Bacteroides thetaiotaomicron	exact_accession
0	OTU_97.326.0	GCA_001456065.2	6.32885841882	s__Clostridium butyricum	exact_accession
0	OTU_97.326.1	GCA_000473995.1	1.67114158118	s__Clostridium saccharobutylicum	exact_accession
0	OTU_97.45053.0	GCA_000012185.1	0.988682335505	s__Haemophilus influenzae	exact_accession
