panel	sample	profile	unique	split	out	table_source	auto_exact_split_used	candidate_abundance_policy	status	added_rows	nonzero_added_rows	added_raw_mass	added_abundance_mass	base_called_raw_mass	max_added_raw_mass_delta	added_policy_values	added_species	added_accessions
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	408.9642011941639	0.0			
hmp_airskin_gtdb_source_abundance	1	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	797.3620335604977	0.0			
hmp_airskin_gtdb_source_abundance	3	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	843.9592241304858	0.0			
hmp_airskin_gtdb_source_abundance	4	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	699.6853467325391	0.0			
hmp_airskin_gtdb_source_abundance	5	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	573.7486646829607	0.0			
hmp_airskin_gtdb_source_abundance	6	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	override_saved_table		normalized-depth-alpha2	replayed	1	1	12.345963447143628	0.0124100552457815	982.4895310475591	0.0	normalized-depth-alpha2	s__Bifidobacterium swidsinskii	GCF_003397705.1
hmp_airskin_gtdb_source_abundance	7	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	687.4666704624319	0.0			
hmp_airskin_gtdb_source_abundance	9	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	699.3135248795265	0.0			
hmp_airskin_gtdb_source_abundance	10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	544.9605847625855	0.0			
hmp_airskin_gtdb_source_abundance	11	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_split_exact_unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample11.integrated_candidate_surface_abundance.tsv	override_saved_table		normalized-depth-alpha2	replayed	0	0	0.0	0.0	721.1873437604959	0.0			
hmp_airskin_gtdb_source_abundance	13	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface_abundance.tsv	work	False	normalized-depth-alpha2	replayed	0	0	0.0	0.0	73.84212257489807	0.0			
hmp_airskin_gtdb_source_abundance	14	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	2	2	4.808989707376749	0.0069158381034475	690.5499292614517	4.440892098500626e-16	normalized-depth-alpha2	s__Streptococcus pneumoniae,s__Streptococcus pseudopneumoniae	GCF_001457635.1,GCF_002087075.1
hmp_airskin_gtdb_source_abundance	15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	2	2	2.9999323836804885	0.0044540724797256	670.5257898257688	8.881784197001252e-16	normalized-depth-alpha2	s__Streptococcus mitis_AK,s__Streptococcus pneumoniae	GCF_001281025.1,GCF_001457635.1
hmp_airskin_gtdb_source_abundance	16	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	700.4183300548	0.0			
hmp_airskin_gtdb_source_abundance	17	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	765.7900750735467	0.0			
hmp_airskin_gtdb_source_abundance	18	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	1	1	3.741833027399443	0.0048345139313216	770.2414630299387	4.440892098500626e-16	normalized-depth-alpha2	s__Streptococcus pneumoniae	GCF_001457635.1
