wall_clock	max_rss_kb	exit_status	panel	sample	command	elapsed_s	time_log
0:15.46	3307312	0	hmp_airskin_gtdb_source_abundance	0	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	15.606	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.abundance.time.log
0:15.01	3226168	0	hmp_airskin_gtdb_source_abundance	1	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface_abundance.tsv	15.144	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.abundance.time.log
0:13.66	3026204	0	hmp_airskin_gtdb_source_abundance	3	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface_abundance.tsv	13.797	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.abundance.time.log
0:15.11	3230536	0	hmp_airskin_gtdb_source_abundance	4	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface_abundance.tsv	15.247	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.abundance.time.log
0:14.83	3214540	0	hmp_airskin_gtdb_source_abundance	5	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface_abundance.tsv	14.968	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.abundance.time.log
0:14.32	3101332	0	hmp_airskin_gtdb_source_abundance	6	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv --split-table /tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	14.459	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.abundance.time.log
0:14.56	3155316	0	hmp_airskin_gtdb_source_abundance	7	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface_abundance.tsv	14.689	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.abundance.time.log
0:14.93	3189680	0	hmp_airskin_gtdb_source_abundance	9	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface_abundance.tsv	15.068	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.abundance.time.log
0:15.14	3209412	0	hmp_airskin_gtdb_source_abundance	10	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface_abundance.tsv	15.272	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.abundance.time.log
0:15.15	3265028	0	hmp_airskin_gtdb_source_abundance	11	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample11.abundance.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv --split-table /tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_split_exact_unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-abundance-policy normalized-depth-alpha2 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample11.integrated_candidate_surface_abundance.tsv	15.288	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample11.abundance.time.log
