panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	L1_delta_pp	Pearson_delta
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-1.0658141036401503e-14	0.0
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	1.7763568394002505e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	7.105427357601002e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	1.4210854715202004e-14	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-7.105427357601002e-15	2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-3.552713678800501e-15	2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	7.105427357601002e-15	0.0
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	3.552713678800501e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-3.552713678800501e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	2.842170943040401e-14	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	1.7763568394002505e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-7.105427357601002e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	1.4210854715202004e-14	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-2.842170943040401e-14	4.440892098500626e-16
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-7.105427357601002e-15	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	1.0658141036401503e-14	0.0
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	5.329070518200751e-15	0.0
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-1.0658141036401503e-14	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	-3.375077994860476e-14	-2.220446049250313e-16
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	0.0	3.3306690738754696e-16
