panel	sample	profile	unique	split	out	table_source	auto_exact_split_used	status	added_rows	zero_mass_violations	added_species	added_accessions
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	1	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	3	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	4	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	5	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	6	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface.tsv	override_saved_table		replayed	1	0	s__Bifidobacterium swidsinskii	GCF_003397705.1
hmp_airskin_gtdb_source_abundance	7	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	9	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	11	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_split_exact_unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample11.integrated_candidate_surface.tsv	override_saved_table		replayed	0	0		
hmp_airskin_gtdb_source_abundance	13	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface.tsv	work	False	replayed	0	0		
hmp_airskin_gtdb_source_abundance	14	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface.tsv	work	True	replayed	2	0	s__Streptococcus pneumoniae,s__Streptococcus pseudopneumoniae	GCF_001457635.1,GCF_002087075.1
hmp_airskin_gtdb_source_abundance	15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface.tsv	work	True	replayed	2	0	s__Streptococcus mitis_AK,s__Streptococcus pneumoniae	GCF_001281025.1,GCF_001457635.1
hmp_airskin_gtdb_source_abundance	16	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	17	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	18	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface.tsv	work	True	replayed	1	0	s__Streptococcus pneumoniae	GCF_001457635.1
hmp_airskin_gtdb_source_abundance	19	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface.tsv	work	True	replayed	4	0	s__Haemophilus influenzae_D,s__Haemophilus influenzae_E,s__Haemophilus influenzae_I,s__Streptococcus salivarius_D	GCF_002094975.1,GCF_003494325.1,GCF_019703545.1,GCF_900475755.1
hmp_airskin_gtdb_source_abundance	20	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface.tsv	work	True	replayed	0	0		
hmp_airskin_gtdb_source_abundance	21	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface.tsv	work	True	replayed	0	0		
