wall_clock	max_rss_kb	exit_status	panel	sample	command	elapsed_s	time_log
mm:ss or m:ss): 0:15.42	3305968	0	hmp_airskin_gtdb_source_abundance	0	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample0.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /tmp/minco_current_code_hmp_airskin0_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface.tsv	15.572	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample0.time.log
mm:ss or m:ss): 0:14.85	3226188	0	hmp_airskin_gtdb_source_abundance	1	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample1.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface.tsv	14.987	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample1.time.log
mm:ss or m:ss): 0:13.61	3025628	0	hmp_airskin_gtdb_source_abundance	3	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample3.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface.tsv	13.745	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample3.time.log
mm:ss or m:ss): 0:15.01	3230092	0	hmp_airskin_gtdb_source_abundance	4	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample4.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface.tsv	15.142	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample4.time.log
mm:ss or m:ss): 0:14.83	3214596	0	hmp_airskin_gtdb_source_abundance	5	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample5.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface.tsv	14.960	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample5.time.log
mm:ss or m:ss): 0:14.33	3100492	0	hmp_airskin_gtdb_source_abundance	6	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample6.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv --split-table /tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface.tsv	14.459	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample6.time.log
mm:ss or m:ss): 0:14.63	3154788	0	hmp_airskin_gtdb_source_abundance	7	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample7.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface.tsv	14.770	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample7.time.log
mm:ss or m:ss): 0:14.82	3189560	0	hmp_airskin_gtdb_source_abundance	9	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample9.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface.tsv	14.949	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample9.time.log
mm:ss or m:ss): 0:14.94	3205272	0	hmp_airskin_gtdb_source_abundance	10	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample10.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface.tsv	15.077	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample10.time.log
mm:ss or m:ss): 0:15.11	3264992	0	hmp_airskin_gtdb_source_abundance	11	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample11.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample11_unique_zip_unfiltered.tsv --split-table /tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_split_exact_unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample11.integrated_candidate_surface.tsv	15.243	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample11.time.log
