panel	sample	comparison	status	TP_delta	FP_delta	FN_delta	F1_delta	L1_delta_pp	Pearson_delta
hmp_airskin_gtdb_source_abundance	0	offline_raw_cache_rule	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	1	offline_raw_cache_rule	compared	0	0	0	0.0	7.105427357601002e-15	0.0
hmp_airskin_gtdb_source_abundance	3	offline_raw_cache_rule	compared	0	0	0	1.1102230246251565e-16	1.7763568394002505e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	4	offline_raw_cache_rule	compared	0	0	0	0.0	-1.0658141036401503e-14	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	5	offline_raw_cache_rule	compared	0	0	0	0.0	-3.552713678800501e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	6	offline_raw_cache_rule	compared	0	0	0	1.1102230246251565e-16	-7.105427357601002e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	7	offline_raw_cache_rule	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	9	offline_raw_cache_rule	compared	0	0	0	1.1102230246251565e-16	1.4210854715202004e-14	0.0
hmp_airskin_gtdb_source_abundance	10	offline_raw_cache_rule	compared	0	0	0	-1.1102230246251565e-16	7.105427357601002e-15	0.0
hmp_airskin_gtdb_source_abundance	11	offline_raw_cache_rule	compared	0	0	0	-1.1102230246251565e-16	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	13	offline_raw_cache_rule	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	14	offline_raw_cache_rule	compared	0	0	0	0.0	1.7763568394002505e-15	0.0
hmp_airskin_gtdb_source_abundance	15	offline_raw_cache_rule	compared	0	0	0	0.0	-1.7763568394002505e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	16	offline_raw_cache_rule	compared	0	0	0	0.0	-8.881784197001252e-16	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	17	offline_raw_cache_rule	compared	0	0	0	0.0	-7.105427357601002e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	18	offline_raw_cache_rule	compared	0	0	0	1.1102230246251565e-16	-3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	19	offline_raw_cache_rule	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	20	offline_raw_cache_rule	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	21	offline_raw_cache_rule	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	22	offline_raw_cache_rule	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	23	offline_raw_cache_rule	compared	0	0	0	0.0	-3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	24	offline_raw_cache_rule	compared	0	0	0	0.0	-3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	25	offline_raw_cache_rule	compared	0	0	0	0.0	1.4210854715202004e-14	0.0
hmp_airskin_gtdb_source_abundance	28	offline_raw_cache_rule	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	0	offline_raw_cache_rule	compared	0	0	0	0.0	-3.552713678800501e-15	0.0
hmp_gastrooral_gtdb_source_abundance	6	offline_raw_cache_rule	compared	0	0	0	-1.1102230246251565e-16	1.4210854715202004e-14	0.0
