panel	sample	comparison	status	TP_delta	FP_delta	FN_delta	F1_delta	L1_delta_pp	Pearson_delta
hmp_airskin_gtdb_source_abundance	0	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	1	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	3	postprocessor	compared	0	0	0	1.1102230246251565e-16	1.7763568394002505e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	4	postprocessor	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	5	postprocessor	compared	0	0	0	0.0	1.7763568394002505e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	6	postprocessor	compared	0	0	0	1.1102230246251565e-16	-3.552713678800501e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	7	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	9	postprocessor	compared	0	0	0	1.1102230246251565e-16	0.0	0.0
hmp_airskin_gtdb_source_abundance	10	postprocessor	compared	0	0	0	-1.1102230246251565e-16	0.0	0.0
hmp_airskin_gtdb_source_abundance	11	postprocessor	compared	0	0	0	-1.1102230246251565e-16	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	13	postprocessor	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	14	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	15	postprocessor	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	16	postprocessor	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	17	postprocessor	compared	0	0	0	0.0	-3.552713678800501e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	18	postprocessor	compared	0	0	0	1.1102230246251565e-16	0.0	0.0
hmp_airskin_gtdb_source_abundance	19	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	20	postprocessor	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	21	postprocessor	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	22	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	23	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	24	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	25	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	28	postprocessor	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	0	postprocessor	compared	0	0	0	0.0	0.0	0.0
hmp_gastrooral_gtdb_source_abundance	6	postprocessor	compared	0	0	0	-1.1102230246251565e-16	0.0	0.0
