method	panel_count	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	decision
current_calls	4	32	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	current_default
max_xny_ge_10	4	32	0.022400398708633057	-0.029108822212270513	10	3	0.003734476433136902	-0.017062048623576853	1	1	-0.005114988998257131	0.004574861329302848	-1.8934377810555375e-05	f1_tradeoff_not_default
s_xny_ge_10	4	32	0.022400398708633057	-0.029108822212270513	10	3	0.003734476433136902	-0.017062048623576853	1	1	-0.005114988998257131	0.004574861329302848	-1.8934377810555375e-05	f1_tradeoff_not_default
max_real_min_af_ge_0.02	4	32	0.02020504930133488	-0.057081741787624374	10	3	-0.002955090398404553	-0.04429763123283592	1	1	-0.11739898366518264	0.0	3.737404861990992e-05	f1_tradeoff_not_default
s_real_min_af_ge_0.02	4	32	0.02020504930133488	-0.057081741787624374	10	3	-0.002955090398404553	-0.04429763123283592	1	1	-0.11739898366518264	0.0	3.737404861990992e-05	f1_tradeoff_not_default
min_xny_ge_10	4	32	0.018251457037883455	-0.0934838581897407	12	3	-0.011835545547369014	-0.08191709513141399	1	1	-0.418120387456528	0.0	0.000593436372976635	f1_tradeoff_not_default
drop_prob_lt_0.7_and_realaf_lt_0.05	4	32	0.016554788882178414	-0.12103365715386505	13	3	-0.016507715092527075	-0.10126597125620385	2	1	-0.38380511807355405	0.0	0.0005932310794077682	f1_tradeoff_not_default
drop_prob_lt_0.7_and_xny_lt_50	4	32	0.016554788882178414	-0.12103365715386505	13	3	-0.016507715092527075	-0.10126597125620385	2	1	-0.38380511807355405	0.0	0.0005932310794077682	f1_tradeoff_not_default
drop_prob_lt_0.5_and_zipaf_lt_0.2	4	32	0.0006041532165188615	-0.03900048495367403	8	3	-0.004227195877862744	-0.020244938438258364	1	1	-0.6593480501816558	0.0	0.00090008920699685	f1_tradeoff_not_default
split_unique_breadth_ratio_le_3	4	32	0.009653839428257864	-0.013879892662163384	14	4	0.002071544067448333	-0.00906658798395954	2	1	-1.7350299357537275	2.138856582825383	0.0010500369411666766	f1_tradeoff_not_default
min_xny_ge_25	4	32	0.024379814304293163	-0.17663195775935803	15	4	-0.024085761186964705	-0.14950045031658887	2	2	-2.210246547502165	0.0	0.002101922723079349	f1_tradeoff_not_default
min_breadth_ge_0.02	4	32	0.02328049130431978	-0.15364902189697893	13	4	-0.01951122822712853	-0.12419065209354962	1	2	-1.9301314768875577	0.0	0.002018346323168687	f1_tradeoff_not_default
drop_prob_lt_0.5_and_breadth_lt_0.05	4	32	0.020140322328266534	-0.09968847352024923	12	4	-0.01090147426401028	-0.07736628450326033	1	2	-1.085029310913729	0.0	0.000978120756395768	f1_tradeoff_not_default
drop_prob_lt_0.7_and_xny_lt_25	4	32	0.019184399606277023	-0.06410965640174571	10	4	-0.006077368257305815	-0.056777678274501975	1	2	-0.1259108370457767	0.0	4.6064598799199635e-05	f1_tradeoff_not_default
drop_prob_lt_0.5_and_xny_lt_25	4	32	0.018893633241776772	-0.04554295744579906	9	4	-0.0021434404350646197	-0.03754173569321573	1	2	-0.1024721132567466	0.0	4.736698536916134e-05	f1_tradeoff_not_default
drop_prob_lt_0.9_and_xny_lt_25	4	32	0.01882228517991287	-0.06422185732530561	10	4	-0.007043006727610213	-0.060640232155719564	1	2	-0.12606879805654475	0.0	3.857820010294555e-05	f1_tradeoff_not_default
drop_prob_lt_0.7_and_breadth_lt_0.05	4	32	0.018237675191268652	-0.14274518584863405	13	4	-0.021694820813241977	-0.12221117461038522	1	2	-1.157114296924925	0.0	0.0011005775564089625	f1_tradeoff_not_default
drop_prob_lt_0.95_and_xny_lt_25	4	32	0.018160266631600506	-0.0784106454421094	10	4	-0.00880838952310986	-0.06770176333771816	1	2	-0.12604165864862243	0.0	3.8604641778332976e-05	f1_tradeoff_not_default
drop_prob_lt_0.5_and_realaf_lt_0.05	4	32	0.017723641818802073	-0.08550407635712864	11	4	-0.008406291540348804	-0.06438906810141076	1	2	-0.36369888666100764	0.0	0.0004971843438858585	f1_tradeoff_not_default
drop_prob_lt_0.5_and_xny_lt_50	4	32	0.017723641818802073	-0.08550407635712864	11	4	-0.008406291540348804	-0.06438906810141076	1	2	-0.36369888666100764	0.0	0.0004971843438858585	f1_tradeoff_not_default
