method	panel_count	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	decision
current_calls	4	35	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	current_default
max_xny_ge_10	4	35	0.024464716895241673	-0.029108822212270513	11	3	0.004136814114514914	-0.017062048623576853	1	1	-0.005017995439225586	0.004574861329302848	-3.80694348300998e-05	f1_tradeoff_not_default
s_xny_ge_10	4	35	0.024464716895241673	-0.029108822212270513	11	3	0.004136814114514914	-0.017062048623576853	1	1	-0.005017995439225586	0.004574861329302848	-3.80694348300998e-05	f1_tradeoff_not_default
max_real_min_af_ge_0.02	4	35	0.022644281657495293	-0.057081741787624374	12	3	-0.0025054934405159823	-0.04429763123283592	1	1	-0.10902656198312986	0.0	1.2574085139359172e-05	f1_tradeoff_not_default
s_real_min_af_ge_0.02	4	35	0.022644281657495293	-0.057081741787624374	12	3	-0.0025054934405159823	-0.04429763123283592	1	1	-0.10902656198312986	0.0	1.2574085139359172e-05	f1_tradeoff_not_default
min_xny_ge_10	4	35	0.021093736646953114	-0.0934838581897407	14	3	-0.011367865745468358	-0.08191709513141399	1	1	-0.3863942628975905	0.0	0.0005193829721348551	f1_tradeoff_not_default
drop_prob_lt_0.7_and_realaf_lt_0.05	4	35	0.019306900702837953	-0.12103365715386505	15	3	-0.01611873078399892	-0.10126597125620385	2	1	-0.35259788487078375	0.0	0.0005207862275739724	f1_tradeoff_not_default
drop_prob_lt_0.7_and_xny_lt_50	4	35	0.019306900702837953	-0.12103365715386505	15	3	-0.01611873078399892	-0.10126597125620385	2	1	-0.35259788487078375	0.0	0.0005207862275739724	f1_tradeoff_not_default
drop_prob_lt_0.5_and_zipaf_lt_0.2	4	35	0.0005523686551029591	-0.03900048495367403	8	3	-0.0043198668480518565	-0.020244938438258364	1	1	-0.6028325030232281	0.0	0.0008229387035399771	f1_tradeoff_not_default
split_unique_breadth_ratio_le_3	4	35	0.009373816971158076	-0.013879892662163384	16	4	0.0018683811124198257	-0.00906658798395954	2	1	-1.6668083933442865	2.138856582825383	0.0009845856868364367	f1_tradeoff_not_default
min_xny_ge_25	4	35	0.027274006724871135	-0.17663195775935803	17	4	-0.023890997435820738	-0.14950045031658887	2	2	-2.0531218578569064	0.0	0.0018987766057373592	f1_tradeoff_not_default
min_breadth_ge_0.02	4	35	0.026268911410609757	-0.15364902189697893	15	4	-0.019191198090927508	-0.12419065209354962	1	2	-1.7970166504378373	0.0	0.001822363897247611	f1_tradeoff_not_default
drop_prob_lt_0.5_and_breadth_lt_0.05	4	35	0.023010227745898	-0.09968847352024923	14	4	-0.010437498615146978	-0.07736628450326033	1	2	-1.0017566238993811	0.0	0.0008700035876771389	f1_tradeoff_not_default
drop_prob_lt_0.7_and_xny_lt_25	4	35	0.021711116222013823	-0.06410965640174571	12	4	-0.005634129161937035	-0.056777678274501975	1	2	-0.11680882793110159	0.0	2.051973101756691e-05	f1_tradeoff_not_default
drop_prob_lt_0.7_and_breadth_lt_0.05	4	35	0.021702773009481726	-0.14274518584863405	15	4	-0.02118159768017408	-0.12221117461038522	1	2	-1.0703872462556965	0.0	0.0009794793384491898	f1_tradeoff_not_default
drop_prob_lt_0.5_and_xny_lt_25	4	35	0.021445272688756453	-0.04554295744579906	11	4	-0.0016254504699459993	-0.03754173569321573	1	2	-0.09537913760970262	0.0	2.1710484452960468e-05	f1_tradeoff_not_default
drop_prob_lt_0.9_and_xny_lt_25	4	35	0.021380040175052312	-0.06422185732530561	12	4	-0.006599767632241432	-0.060640232155719564	1	2	-0.11695324942666094	0.0	1.3675023638134602e-05	f1_tradeoff_not_default
drop_prob_lt_0.95_and_xny_lt_25	4	35	0.02077476607373815	-0.0784106454421094	12	4	-0.00836515042774108	-0.06770176333771816	1	2	-0.11692843625370339	0.0	1.3699198884203106e-05	f1_tradeoff_not_default
drop_prob_lt_0.5_and_realaf_lt_0.05	4	35	0.02037556624489387	-0.08550407635712864	13	4	-0.007938188463759571	-0.06438906810141076	1	2	-0.33421504472216984	0.0	0.00043297206938251216	f1_tradeoff_not_default
drop_prob_lt_0.5_and_xny_lt_50	4	35	0.02037556624489387	-0.08550407635712864	13	4	-0.007938188463759571	-0.06438906810141076	1	2	-0.33421504472216984	0.0	0.00043297206938251216	f1_tradeoff_not_default
