panel	sample	gtdb_species	is_truth_species	calibrated_probability	calibrated_abundance	reported_ani	max_xny	max_breadth	max_real_min_af	max_zip_af	max_mean_depth	max_depth_cv	profile
cami2_toy_mouse_gut	5	s__TWA4 sp000875945	True	0.9950983601076756	7.87272400125435e-05	1.0	37.0	0.035201	0.037	1.0	0.03524	5.25085	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Companilactobacillus crustorum	True	0.9899300742799062	7.548789557388891e-05	1.0	48.0	0.033402	0.048	1.0	0.03379	5.5	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ruminococcus flavefaciens_G	True	0.9875520079187594	0.0001019209461933	1.0	53.0	0.045205	0.053	1.0	0.045622	4.775932	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Anaerovorax odorimutans	True	0.981305462772693	0.0001388539408552	1.0	64.0	0.062154	0.064	1.0	0.062154	3.889606	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Eubacterium_Q sp900199595	True	0.9793789346978946	0.0001380005411479	1.0	65.0	0.061295	0.065	1.0	0.061772	3.958114	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__AC2028 sp000702085	True	0.9765582589245932	0.000145430927081	1.0	68.0	0.063396	0.068	1.0	0.065098	3.923448	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Alteromonas aggregata	True	0.972525168724128	0.0025844564140697	0.995222	668.0	0.617122	0.668	0.900215	1.041421	1.11434	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Anaeromicropila_A populeti	True	0.96945161777618	0.0029575805700337	0.998175	725.0	0.705013	0.725	0.960641	1.27177	0.917139	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Papillibacter cinnamivorans	True	0.9693935226659308	0.0032744357051621	0.999316	776.0	0.757594	0.776	0.985058	1.443807	0.856653	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Porphyromonas sp000467855	True	0.9691335112130268	0.0026342641348822	0.995517	682.0	0.627433	0.682	0.906091	1.06842	1.085825	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Robiginitomaculum antarcticum	True	0.9687344977792672	0.0151246362074387	0.999286	998.0	0.98329	0.998	0.98442	6.664633	0.417312	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Culturomica lanea	True	0.968719783859413	0.0192320371976723	0.99883	999.0	0.974401	0.999	0.974579	8.389831	0.398868	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Geosporobacter ferrireducens	True	0.9678029338447054	0.001554127535329	0.997822	493.0	0.477805	0.493	0.953216	0.663115	1.277518	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Adlercreutzia mucosicola	True	0.9657807200082102	0.0011808546186263	0.992215	395.0	0.345935	0.395	0.8426	0.445378	1.613562	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Porphyromonas gingivalis	True	0.9653360340183558	0.0101373746168932	0.988387	863.0	0.766256	0.863	0.774542	3.514644	0.956802	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Prevotella buccae	True	0.9650428316545496	0.0509045413506367	0.996462	1000.0	0.925119	1.0	0.925119	21.079728	0.416863	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Halodesulfovibrio aestuarii	True	0.9643964058732024	0.0013063226126689	1.0	459.0	0.446229	0.459	1.0	0.584738	1.316353	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Pseudobacteroides cellulosolvens	True	0.9643765797193532	0.0013926173904325	0.998351	484.0	0.447338	0.484	0.964375	0.601158	1.357636	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Bilophila wadsworthia	True	0.96424929136701	0.0429249850231734	0.993579	1000.0	0.868269	1.0	0.868269	16.683045	0.61618	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Lactobacillus kefiranofaciens	True	0.9638833594656048	0.0041233975774269	0.99515	832.0	0.75687	0.832	0.898801	1.658936	0.996971	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
