method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	mean_panel_added_mass_before_norm	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson_union	improved_samples_L1	worsened_samples_L1	unchanged_samples_L1	improved_panels_L1	worsened_panels_L1	mean_added_mass_before_norm
normalized_depth_alpha0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.940015610810185	0.9190686552598033	0.00047568072916666674	-0.023335526826279096	0.0	0.00013306811657083292	13.0	0.0	19.0	4.0	0.0	0.0001814859375
normalized_depth_alpha0.1	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.874311526857056	0.919455435796742	0.0009513614583333335	-0.04646746252572265	0.0	0.00026497207287968366	13.0	0.0	19.0	4.0	0.0	0.000362971875
normalized_depth_alpha0.25	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.683872669581696	0.920593015795066	0.0023784036458333337	-0.11341709991178317	0.0	0.0006536359864479542	13.0	0.0	19.0	4.0	0.0	0.0009074296875
normalized_depth_alpha0.25_cap0.001	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.90349700998776	0.9191704709553139	0.0007414921875	-0.04412242837366598	0.0	0.00018598440094006255	13.0	0.0	19.0	4.0	0.0	0.0003919765625
normalized_depth_alpha0.25_cap0.003	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.787394907533034	0.9199773559647462	0.001595330729166667	-0.08444493203665926	0.0	0.0004704909885219592	13.0	0.0	19.0	4.0	0.0	0.000690390625
normalized_depth_alpha0.25_cap0.005	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.73043158999555	0.9203695350600846	0.0020154973958333338	-0.10177736980832097	0.0	0.0005977658027025677	13.0	0.0	19.0	4.0	0.0	0.000816703125
normalized_depth_alpha0.25_cap0.01	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.683872669581696	0.920593015795066	0.0023784036458333337	-0.11341709991178317	0.0	0.0006536359864479542	13.0	0.0	19.0	4.0	0.0	0.0009074296875
normalized_depth_alpha0.25_cap0.02	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.683872669581696	0.920593015795066	0.0023784036458333337	-0.11341709991178317	0.0	0.0006536359864479542	13.0	0.0	19.0	4.0	0.0	0.0009074296875
normalized_depth_alpha0.25_cap0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.683872669581696	0.920593015795066	0.0023784036458333337	-0.11341709991178317	0.0	0.0006536359864479542	13.0	0.0	19.0	4.0	0.0	0.0009074296875
normalized_depth_alpha0.5	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.36963831829364	0.9224119495186542	0.004756807291666667	-0.22388419968472362	0.0	0.0012775584137691282	13.0	0.0	19.0	4.0	0.0	0.001814859375
