sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	adaptive_call_filter_switch	adaptive_call_filter_applied	profile	adaptive_call_filter_removed_n	adaptive_call_filter_input_call_n	adaptive_call_filter_output_call_n	observed_called_n	adaptive_call_filter_max_xny_median	adaptive_call_filter_max_xny_median_threshold	adaptive_call_filter_min_xny_threshold	expected_offline_method	panel	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_taxid_mapped	pred_rows_name_mapped	raw_ref_rows	raw_ref_taxids	raw_ref_taxids_gtdb_mapped	truth_species	pred_species	added_species	rule	called_rows	candidate_added_rows	candidate_rescue_added_rows	candidate_surface_added_rows	nonzero_candidate_rows	candidate_added_abundance_sum	candidate_added_raw_sum	candidate_added_norm_mass_sum	base_called_raw_mass	max_candidate_raw_mass_delta	candidate_abundance_policy_values
5	wrapper_candidate_abundance_normalized_depth_alpha2	198.0	162.0	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.1858881796192	15.41422817260888	0.9913799211896311	0.9917478920123491	162.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample5.normalized_depth_alpha2.tsv	0.0	162.0	162.0	162.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut												162	0	0	0	0	0.0	0.0	0.0	447.62143312003894	0.0	
6	wrapper_candidate_abundance_normalized_depth_alpha2	201.0	158.0	154	4	47	0.9746835443037974	0.7661691542288557	0.8579387186629526	22.197831247677264	19.34922376619843	0.9737092917093676	0.9744771448630442	158.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample6.normalized_depth_alpha2.tsv	0.0	157.0	157.0	158.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut												158	1	1	0	1	0.0031719069919516	1.5003643291521545	0.003182	471.51613109747154	0.0	normalized-depth-alpha2
7	wrapper_candidate_abundance_normalized_depth_alpha2	68.0	64.0	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.91652863961473	5.827122498816299	0.9984227538812765	0.9984232596633772	64.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/toymouse_sample7.normalized_depth_alpha2.tsv	0.0	64.0	64.0	64.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut												64	0	0	0	0	0.0	0.0	0.0	809.105830481334	0.0	
0	wrapper_candidate_abundance_normalized_depth_alpha2	93.0	96.0	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	62.229112552091635	51.34032277230055	0.9168100125114247	0.9279167037769093	96.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample0.normalized_depth_alpha2.tsv	0.0	94.0	94.0	96.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	96.0	0.0	0.0	91045.0	18736.0	18736.0					96	2	2	0	2	0.043325858519374504	37.869789510247024	0.045288	836.1992031056135	0.0	normalized-depth-alpha2
1	wrapper_candidate_abundance_normalized_depth_alpha2	104.0	101.0	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	67.19360511221431	57.62110828776238	0.7216589081849197	0.738517015915491	101.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample1.normalized_depth_alpha2.tsv	0.0	99.0	99.0	101.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	101.0	0.0	0.0	99413.0	20580.0	20580.0					101	2	2	0	2	0.0445908555879969	32.50918885147921	0.046672000000000005	696.5458701465375	3.552713678800501e-15	normalized-depth-alpha2
2	wrapper_candidate_abundance_normalized_depth_alpha2	99.0	116.0	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	43.81898504973305	33.20731346381674	0.9544933525370352	0.965283703719262	116.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/cami3_sample2.normalized_depth_alpha2.tsv	0.0	115.0	115.0	116.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	116.0	0.0	0.0	86694.0	18601.0	18601.0					116	1	1	0	1	0.0215245039618472	13.511133345657417	0.021998	614.1982610081561	1.7763568394002505e-15	normalized-depth-alpha2
0	wrapper_candidate_abundance_normalized_depth_alpha2			29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	18.780365281635746		0.9895037710483946					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								33.0	36.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	36	0	0	0	0	0.0	0.0	0.0	408.9642011941639	0.0	
1	wrapper_candidate_abundance_normalized_depth_alpha2			51	48	0	0.5151515151515151	1.0	0.6799999999999999	18.10588369009258		0.9973939434154936					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample1.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								51.0	99.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	99	0	0	0	0	0.0	0.0	0.0	797.3620335604977	0.0	
3	wrapper_candidate_abundance_normalized_depth_alpha2			45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	12.670666989685857		0.9970245468507751					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								47.0	47.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	47	0	0	0	0	0.0	0.0	0.0	843.9592241304858	0.0	
4	wrapper_candidate_abundance_normalized_depth_alpha2			102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	28.726740922959344		0.9883782682234047					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								106.0	137.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	137	0	0	0	0	0.0	0.0	0.0	699.6853467325391	0.0	
