panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-4.405364961712621e-13	-1.1102230246251565e-16
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.22810650476370142	0.0005757513633481981
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	0.0007951262262766434	-4.1577761480393605e-06
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	4.197135531156782	-0.013677354017710752
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	0.2558537523432989	-0.0029986726210252668
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-4.057912148882316	0.030164089328674315
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	7.105427357601002e-15	0.0
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	1.7763568394002505e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-1.0658141036401503e-14	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	-3.552713678800501e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	-0.11332774370839616	0.0002253060927850381
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	1.4210854715202004e-14	0.0
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	7.105427357601002e-15	0.0
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.0	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	5.329070518200751e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	1.5987211554602254e-14	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-8.881784197001252e-16	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-7.105427357601002e-15	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	1.5987211554602254e-14	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-1.4210854715202004e-14	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	0.0	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-3.552713678800501e-15	0.0
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	1.2434497875801753e-14	2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	4.973799150320701e-14	1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	0.0	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	-4.973799150320701e-14	0.0
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	2.842170943040401e-14	0.0
