panel	sample	F1_delta_vs_zero	official_L1_delta_vs_zero_pp	official_Pearson_delta_vs_zero
cami2_toy_mouse_gut	5	0.0	8.881784197001252e-15	0.0
cami2_toy_mouse_gut	6	0.0	-0.4823535078386634	0.00014618518608322528
cami2_toy_mouse_gut	7	0.0	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	0	0.0	-4.682985723261908	0.020434171782620192
cami3_toy_human_gut_gtdb_source_readmap	1	0.0	-8.1260164911414	0.07554276897463219
cami3_toy_human_gut_gtdb_source_readmap	2	0.0	-1.7617659161582537	0.014177484982968114
hmp_airskin_gtdb_source_abundance	0	0.0	1.0658141036401503e-14	0.0
hmp_airskin_gtdb_source_abundance	1	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	3	0.0	1.2434497875801753e-14	2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	4	0.0	1.0658141036401503e-14	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	5	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	6	0.0	-1.022642520276488	0.0022430976883031084
hmp_airskin_gtdb_source_abundance	7	0.0	-1.0658141036401503e-14	0.0
hmp_airskin_gtdb_source_abundance	9	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	10	0.0	-1.7763568394002505e-14	0.0
hmp_airskin_gtdb_source_abundance	11	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	13	0.0	1.4210854715202004e-14	2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	14	0.0	-0.5765952733694704	0.00025638782020931394
hmp_airskin_gtdb_source_abundance	15	0.0	-0.24213422714795918	9.832190651981598e-05
hmp_airskin_gtdb_source_abundance	16	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	17	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	18	0.0	-0.6119950783834636	0.0003653837102463031
hmp_airskin_gtdb_source_abundance	19	0.0	-0.008773795660644623	0.0006006593416738593
hmp_airskin_gtdb_source_abundance	20	0.0	3.552713678800501e-15	-1.1102230246251565e-16
hmp_airskin_gtdb_source_abundance	21	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	22	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	23	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	24	0.0	-0.2939445646954635	0.00036935859054165743
hmp_airskin_gtdb_source_abundance	25	0.0	-0.05030349346000662	8.0372444875354e-05
hmp_airskin_gtdb_source_abundance	28	0.0	1.4210854715202004e-14	1.1102230246251565e-16
hmp_gastrooral_gtdb_source_abundance	0	0.0	-5.021026640292961	0.02706343578013659
hmp_gastrooral_gtdb_source_abundance	6	0.0	-0.23707109754946032	0.0009455631182055946
