sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	adaptive_call_filter_switch	adaptive_call_filter_applied	profile	adaptive_call_filter_removed_n	adaptive_call_filter_input_call_n	adaptive_call_filter_output_call_n	observed_called_n	adaptive_call_filter_max_xny_median	adaptive_call_filter_max_xny_median_threshold	adaptive_call_filter_min_xny_threshold	expected_offline_method	panel	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_taxid_mapped	pred_rows_name_mapped	raw_ref_rows	raw_ref_taxids	raw_ref_taxids_gtdb_mapped	truth_species	pred_species	added_species	rule
5	wrapper_candidate_abundance_zero_mass	198.0	162.0	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619198	15.41422817260887	0.9913799211896314	0.9917478920123491	162.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/cami2_toy_mouse_gut.sample5.zero_mass.tsv	0.0	162.0	162.0	162.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut											
6	wrapper_candidate_abundance_zero_mass	201.0	158.0	154	4	47	0.9746835443037974	0.7661691542288557	0.8579387186629526	22.68924902452201	19.831577274037095	0.9735598323797227	0.9743309596769609	158.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/cami2_toy_mouse_gut.sample6.zero_mass.tsv	0.0	157.0	157.0	158.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut											
7	wrapper_candidate_abundance_zero_mass	68.0	64.0	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.91652863961473	5.827122498816299	0.9984227538812765	0.9984232596633772	64.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/cami2_toy_mouse_gut.sample7.zero_mass.tsv	0.0	64.0	64.0	64.0	0.0	0.0	0.0	current_calls	cami2_toy_mouse_gut											
0	wrapper_candidate_abundance_zero_mass	93.0	96.0	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	66.91209827535354	55.53017698401524	0.8963758407288045	0.9076491318961766	96.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/cami3_toy_human_gut_gtdb_source_readmap.sample0.zero_mass.tsv	0.0	94.0	94.0	96.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	96.0	0.0	0.0	91045.0	18736.0	18736.0				
1	wrapper_candidate_abundance_zero_mass	104.0	101.0	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	75.31962160335571	65.30035720711295	0.6461161392102875	0.6617536413444998	101.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/cami3_toy_human_gut_gtdb_source_readmap.sample1.zero_mass.tsv	0.0	99.0	99.0	101.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	101.0	0.0	0.0	99413.0	20580.0	20580.0				
2	wrapper_candidate_abundance_zero_mass	99.0	116.0	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	45.580750965891305	34.73564382842803	0.940315867554067	0.9509419056969276	116.0	off	False	/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/cami3_toy_human_gut_gtdb_source_readmap.sample2.zero_mass.tsv	0.0	115.0	115.0	116.0	0.0	0.0	0.0	current_calls	cami3_toy_human_gut_gtdb_source_readmap	0.0	116.0	0.0	0.0	86694.0	18601.0	18601.0				
0	wrapper_candidate_abundance_zero_mass			29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	18.780365281635735		0.9895037710483946					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample0.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								33.0	36.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
1	wrapper_candidate_abundance_zero_mass			51	48	0	0.5151515151515151	1.0	0.6799999999999999	18.10588369009258		0.9973939434154936					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample1.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								51.0	99.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
3	wrapper_candidate_abundance_zero_mass			45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	12.670666989685845		0.9970245468507749					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample3.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								47.0	47.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
4	wrapper_candidate_abundance_zero_mass			102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	28.726740922959333		0.9883782682234049					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample4.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								106.0	137.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
