panel	sample	gtdb_species	rescued_truth_status	truth_abundance_pct	candidate_source	ANI	XnY	breadth	real_af	current_called_species	profile_path
cami3_toy_human_gut_gtdb_source_readmap	1	s__Bacteroides sp947646015	TP	15.924624629214765	emitted_profile	1.0	797.0	0.391942	0.797	99	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv
hmp_gastrooral_gtdb_source_abundance	0	s__Clostridium_F botulinum	TP	8.611111111111212	hmp_raw_best_row_cache	0.987029	958.0	0.751749	0.958	34	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv
cami3_toy_human_gut_gtdb_source_readmap	0	s__Faecalibacterium taiwanense	TP	7.001106272164052	emitted_profile	0.951724	731.0	0.34574	0.731	94	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv
cami3_toy_human_gut_gtdb_source_readmap	2	s__Blautia_A fusiformis	TP	6.817498937318965	emitted_profile	0.94097	757.0	0.272897	0.757	115	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv
cami3_toy_human_gut_gtdb_source_readmap	0	s__Bacteroides sp947646015	TP	5.395369923404407	emitted_profile	1.0	759.0	0.372802	0.759	94	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv
cami3_toy_human_gut_gtdb_source_readmap	1	s__Faecalibacterium taiwanense	TP	3.084311479482599	emitted_profile	0.951523	727.0	0.344217	0.727	99	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv
hmp_airskin_gtdb_source_abundance	6	s__Bifidobacterium swidsinskii	TP	1.886792452830171	hmp_raw_best_row_cache	0.967075	824.0	0.414117	0.824	16	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv
hmp_airskin_gtdb_source_abundance	18	s__Streptococcus pneumoniae	TP	1.7391304347829428	hmp_raw_best_row_cache	0.940563	893.0	0.27046	0.893	26	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv
hmp_airskin_gtdb_source_abundance	14	s__Streptococcus pneumoniae	TP	1.4598540145984116	hmp_raw_best_row_cache	0.939047	887.0	0.261584	0.887	30	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv
hmp_airskin_gtdb_source_abundance	15	s__Streptococcus pneumoniae	TP	1.2762190825972712	hmp_raw_best_row_cache	0.93879	870.0	0.260062	0.87	22	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv
cami2_toy_mouse_gut	6	s__Bacteroides thetaiotaomicron	TP	0.775594622544518	emitted_profile	0.953456	718.0	0.34658	0.718	157	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv
hmp_airskin_gtdb_source_abundance	24	s__Limosilactobacillus reuteri_L	TP	0.7407407407406406	hmp_raw_best_row_cache	0.950465	872.0	0.336123	0.872	26	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv
hmp_airskin_gtdb_source_abundance	14	s__Streptococcus pseudopneumoniae	TP	0.7299270072992409	hmp_raw_best_row_cache	0.920236	703.0	0.172825	0.703	30	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	s__Streptococcus salivarius_D	TP	0.5519346756101331	hmp_raw_best_row_cache	0.938856	755.0	0.260258	0.755	147	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
hmp_gastrooral_gtdb_source_abundance	6	s__Flavobacterium psychrophilum	TP	0.33691256937809116	hmp_raw_best_row_cache	1.0	819.0	0.748461	0.819	51	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv
hmp_airskin_gtdb_source_abundance	15	s__Streptococcus mitis_AK	TP	0.27481636806846027	hmp_raw_best_row_cache	0.903202	896.0	0.110369	0.896	22	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_E	TP	0.22026431718061126	hmp_raw_best_row_cache	0.947534	882.0	0.314122	0.882	147	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_D	TP	0.19654810335066114	hmp_raw_best_row_cache	0.953232	802.0	0.349069	0.802	147	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
hmp_airskin_gtdb_source_abundance	25	s__Limosilactobacillus reuteri_L	TP	0.19646365422395035	hmp_raw_best_row_cache	0.938477	735.0	0.255821	0.735	76	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_I	FP	0.0	hmp_raw_best_row_cache	0.934587	776.0	0.236613	0.776	147	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
