method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	total_TP	total_FP	total_FN	total_rescued_TP	total_rescued_FP	mean_delta_F1	min_delta_F1	mean_delta_L1_pp	total_TP_delta	total_FP_delta	total_FN_delta	improved_samples_F1	worsened_samples_F1	unchanged_samples_F1	worsened_panels_F1
cross_rescue_ani0.9_xny100_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny100_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny100_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny10_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny10_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny10_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny25_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny25_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny25_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny300_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny300_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny300_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny500_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny500_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny500_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny50_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny50_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny50_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.01_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.01_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.01_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.05_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.05_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.05_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.1_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.1_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.1_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.9_xny700_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	1746	389	193	19	1	0.007318855410098409	0.0	0.0	19.0	1.0	-19.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny100_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny100_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny100_br0.15_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny100_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny10_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny10_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny10_br0.15_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny10_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
